idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
68,The family spent a surprising five months in London.,The family spent,a five surprising months,five surprising months,a surprising five months,five surprising months,a five months,a surprising months
69,The family spent a surprising five years in London.,The family spent,a five surprising years,five surprising years,a surprising five years,five surprising years,a five years,a surprising years
70,The family spent a surprising five hours in London.,The family spent,a five surprising hours,five surprising hours,a surprising five hours,five surprising hours,a five hours,a surprising hours
71,The family spent a surprising twenty days in London.,The family spent,a twenty surprising days,twenty surprising days,a surprising twenty days,twenty surprising days,a twenty days,a surprising days
72,The family spent a surprising twenty weeks in London.,The family spent,a twenty surprising weeks,twenty surprising weeks,a surprising twenty weeks,twenty surprising weeks,a twenty weeks,a surprising weeks
73,The family spent a surprising twenty months in London.,The family spent,a twenty surprising months,twenty surprising months,a surprising twenty months,twenty surprising months,a twenty months,a surprising months
74,The family spent a surprising twenty years in London.,The family spent,a twenty surprising years,twenty surprising years,a surprising twenty years,twenty surprising years,a twenty years,a surprising years
75,The family spent a surprising twenty hours in London.,The family spent,a twenty surprising hours,twenty surprising hours,a surprising twenty hours,twenty surprising hours,a twenty hours,a surprising hours
76,The family spent a devastating three days in London.,The family spent,a three devastating days,three devastating days,a devastating three days,three devastating days,a three days,a devastating days
77,The family spent a devastating three weeks in London.,The family spent,a three devastating weeks,three devastating weeks,a devastating three weeks,three devastating weeks,a three weeks,a devastating weeks
78,The family spent a devastating three months in London.,The family spent,a three devastating months,three devastating months,a devastating three months,three devastating months,a three months,a devastating months
79,The family spent a devastating three years in London.,The family spent,a three devastating years,three devastating years,a devastating three years,three devastating years,a three years,a devastating years
80,The family spent a devastating three hours in London.,The family spent,a three devastating hours,three devastating hours,a devastating three hours,three devastating hours,a three hours,a devastating hours
81,The family spent a devastating five days in London.,The family spent,a five devastating days,five devastating days,a devastating five days,five devastating days,a five days,a devastating days
82,The family spent a devastating five weeks in London.,The family spent,a five devastating weeks,five devastating weeks,a devastating five weeks,five devastating weeks,a five weeks,a devastating weeks
83,The family spent a devastating five months in London.,The family spent,a five devastating months,five devastating months,a devastating five months,five devastating months,a five months,a devastating months
84,The family spent a devastating five years in London.,The family spent,a five devastating years,five devastating years,a devastating five years,five devastating years,a five years,a devastating years
85,The family spent a devastating five hours in London.,The family spent,a five devastating hours,five devastating hours,a devastating five hours,five devastating hours,a five hours,a devastating hours
86,The family spent a devastating twenty days in London.,The family spent,a twenty devastating days,twenty devastating days,a devastating twenty days,twenty devastating days,a twenty days,a devastating days
87,The family spent a devastating twenty weeks in London.,The family spent,a twenty devastating weeks,twenty devastating weeks,a devastating twenty weeks,twenty devastating weeks,a twenty weeks,a devastating weeks
88,The family spent a devastating twenty months in London.,The family spent,a twenty devastating months,twenty devastating months,a devastating twenty months,twenty devastating months,a twenty months,a devastating months
89,The family spent a devastating twenty years in London.,The family spent,a twenty devastating years,twenty devastating years,a devastating twenty years,twenty devastating years,a twenty years,a devastating years
90,The family spent a devastating twenty hours in London.,The family spent,a twenty devastating hours,twenty devastating hours,a devastating twenty hours,twenty devastating hours,a twenty hours,a devastating hours
91,The family spent a pathetic three days in London.,The family spent,a three pathetic days,three pathetic days,a pathetic three days,three pathetic days,a three days,a pathetic days
92,The family spent a pathetic three weeks in London.,The family spent,a three pathetic weeks,three pathetic weeks,a pathetic three weeks,three pathetic weeks,a three weeks,a pathetic weeks
93,The family spent a pathetic three months in London.,The family spent,a three pathetic months,three pathetic months,a pathetic three months,three pathetic months,a three months,a pathetic months
94,The family spent a pathetic three years in London.,The family spent,a three pathetic years,three pathetic years,a pathetic three years,three pathetic years,a three years,a pathetic years
95,The family spent a pathetic three hours in London.,The family spent,a three pathetic hours,three pathetic hours,a pathetic three hours,three pathetic hours,a three hours,a pathetic hours
96,The family spent a pathetic five days in London.,The family spent,a five pathetic days,five pathetic days,a pathetic five days,five pathetic days,a five days,a pathetic days
97,The family spent a pathetic five weeks in London.,The family spent,a five pathetic weeks,five pathetic weeks,a pathetic five weeks,five pathetic weeks,a five weeks,a pathetic weeks
98,The family spent a pathetic five months in London.,The family spent,a five pathetic months,five pathetic months,a pathetic five months,five pathetic months,a five months,a pathetic months
99,The family spent a pathetic five years in London.,The family spent,a five pathetic years,five pathetic years,a pathetic five years,five pathetic years,a five years,a pathetic years
100,The family spent a pathetic five hours in London.,The family spent,a five pathetic hours,five pathetic hours,a pathetic five hours,five pathetic hours,a five hours,a pathetic hours
101,The family spent a pathetic twenty days in London.,The family spent,a twenty pathetic days,twenty pathetic days,a pathetic twenty days,twenty pathetic days,a twenty days,a pathetic days
102,The family spent a pathetic twenty weeks in London.,The family spent,a twenty pathetic weeks,twenty pathetic weeks,a pathetic twenty weeks,twenty pathetic weeks,a twenty weeks,a pathetic weeks
103,The family spent a pathetic twenty months in London.,The family spent,a twenty pathetic months,twenty pathetic months,a pathetic twenty months,twenty pathetic months,a twenty months,a pathetic months
104,The family spent a pathetic twenty years in London.,The family spent,a twenty pathetic years,twenty pathetic years,a pathetic twenty years,twenty pathetic years,a twenty years,a pathetic years
105,The family spent a pathetic twenty hours in London.,The family spent,a twenty pathetic hours,twenty pathetic hours,a pathetic twenty hours,twenty pathetic hours,a twenty hours,a pathetic hours
106,The family spent a remarkable three days in London.,The family spent,a three remarkable days,three remarkable days,a remarkable three days,three remarkable days,a three days,a remarkable days
107,The family spent a remarkable three weeks in London.,The family spent,a three remarkable weeks,three remarkable weeks,a remarkable three weeks,three remarkable weeks,a three weeks,a remarkable weeks
108,The family spent a remarkable three months in London.,The family spent,a three remarkable months,three remarkable months,a remarkable three months,three remarkable months,a three months,a remarkable months
109,The family spent a remarkable three years in London.,The family spent,a three remarkable years,three remarkable years,a remarkable three years,three remarkable years,a three years,a remarkable years
110,The family spent a remarkable three hours in London.,The family spent,a three remarkable hours,three remarkable hours,a remarkable three hours,three remarkable hours,a three hours,a remarkable hours
111,The family spent a remarkable five days in London.,The family spent,a five remarkable days,five remarkable days,a remarkable five days,five remarkable days,a five days,a remarkable days
112,The family spent a remarkable five weeks in London.,The family spent,a five remarkable weeks,five remarkable weeks,a remarkable five weeks,five remarkable weeks,a five weeks,a remarkable weeks
113,The family spent a remarkable five months in London.,The family spent,a five remarkable months,five remarkable months,a remarkable five months,five remarkable months,a five months,a remarkable months
114,The family spent a remarkable five years in London.,The family spent,a five remarkable years,five remarkable years,a remarkable five years,five remarkable years,a five years,a remarkable years
115,The family spent a remarkable five hours in London.,The family spent,a five remarkable hours,five remarkable hours,a remarkable five hours,five remarkable hours,a five hours,a remarkable hours
116,The family spent a remarkable twenty days in London.,The family spent,a twenty remarkable days,twenty remarkable days,a remarkable twenty days,twenty remarkable days,a twenty days,a remarkable days
117,The family spent a remarkable twenty weeks in London.,The family spent,a twenty remarkable weeks,twenty remarkable weeks,a remarkable twenty weeks,twenty remarkable weeks,a twenty weeks,a remarkable weeks
118,The family spent a remarkable twenty months in London.,The family spent,a twenty remarkable months,twenty remarkable months,a remarkable twenty months,twenty remarkable months,a twenty months,a remarkable months
119,The family spent a remarkable twenty years in London.,The family spent,a twenty remarkable years,twenty remarkable years,a remarkable twenty years,twenty remarkable years,a twenty years,a remarkable years
120,The family spent a remarkable twenty hours in London.,The family spent,a twenty remarkable hours,twenty remarkable hours,a remarkable twenty hours,twenty remarkable hours,a twenty hours,a remarkable hours
121,The family spent a mediocre three days in London.,The family spent,a three mediocre days,three mediocre days,a mediocre three days,three mediocre days,a three days,a mediocre days
122,The family spent a mediocre three weeks in London.,The family spent,a three mediocre weeks,three mediocre weeks,a mediocre three weeks,three mediocre weeks,a three weeks,a mediocre weeks
123,The family spent a mediocre three months in London.,The family spent,a three mediocre months,three mediocre months,a mediocre three months,three mediocre months,a three months,a mediocre months
124,The family spent a mediocre three years in London.,The family spent,a three mediocre years,three mediocre years,a mediocre three years,three mediocre years,a three years,a mediocre years
125,The family spent a mediocre three hours in London.,The family spent,a three mediocre hours,three mediocre hours,a mediocre three hours,three mediocre hours,a three hours,a mediocre hours
126,The family spent a mediocre five days in London.,The family spent,a five mediocre days,five mediocre days,a mediocre five days,five mediocre days,a five days,a mediocre days
127,The family spent a mediocre five weeks in London.,The family spent,a five mediocre weeks,five mediocre weeks,a mediocre five weeks,five mediocre weeks,a five weeks,a mediocre weeks
128,The family spent a mediocre five months in London.,The family spent,a five mediocre months,five mediocre months,a mediocre five months,five mediocre months,a five months,a mediocre months
129,The family spent a mediocre five years in London.,The family spent,a five mediocre years,five mediocre years,a mediocre five years,five mediocre years,a five years,a mediocre years
130,The family spent a mediocre five hours in London.,The family spent,a five mediocre hours,five mediocre hours,a mediocre five hours,five mediocre hours,a five hours,a mediocre hours
131,The family spent a mediocre twenty days in London.,The family spent,a twenty mediocre days,twenty mediocre days,a mediocre twenty days,twenty mediocre days,a twenty days,a mediocre days
132,The family spent a mediocre twenty weeks in London.,The family spent,a twenty mediocre weeks,twenty mediocre weeks,a mediocre twenty weeks,twenty mediocre weeks,a twenty weeks,a mediocre weeks
133,The family spent a mediocre twenty months in London.,The family spent,a twenty mediocre months,twenty mediocre months,a mediocre twenty months,twenty mediocre months,a twenty months,a mediocre months
134,The family spent a mediocre twenty years in London.,The family spent,a twenty mediocre years,twenty mediocre years,a mediocre twenty years,twenty mediocre years,a twenty years,a mediocre years
135,The family spent a mediocre twenty hours in London.,The family spent,a twenty mediocre hours,twenty mediocre hours,a mediocre twenty hours,twenty mediocre hours,a twenty hours,a mediocre hours
136,The family spent an unsatisfying three days in London.,The family spent,a three unsatisfying days,three unsatisfying days,an unsatisfying three days,three unsatisfying days,a three days,an unsatisfying days
137,The family spent an unsatisfying three weeks in London.,The family spent,a three unsatisfying weeks,three unsatisfying weeks,an unsatisfying three weeks,three unsatisfying weeks,a three weeks,an unsatisfying weeks
138,The family spent an unsatisfying three months in London.,The family spent,a three unsatisfying months,three unsatisfying months,an unsatisfying three months,three unsatisfying months,a three months,an unsatisfying months
139,The family spent an unsatisfying three years in London.,The family spent,a three unsatisfying years,three unsatisfying years,an unsatisfying three years,three unsatisfying years,a three years,an unsatisfying years
140,The family spent an unsatisfying three hours in London.,The family spent,a three unsatisfying hours,three unsatisfying hours,an unsatisfying three hours,three unsatisfying hours,a three hours,an unsatisfying hours
141,The family spent an unsatisfying five days in London.,The family spent,a five unsatisfying days,five unsatisfying days,an unsatisfying five days,five unsatisfying days,a five days,an unsatisfying days
142,The family spent an unsatisfying five weeks in London.,The family spent,a five unsatisfying weeks,five unsatisfying weeks,an unsatisfying five weeks,five unsatisfying weeks,a five weeks,an unsatisfying weeks
143,The family spent an unsatisfying five months in London.,The family spent,a five unsatisfying months,five unsatisfying months,an unsatisfying five months,five unsatisfying months,a five months,an unsatisfying months
144,The family spent an unsatisfying five years in London.,The family spent,a five unsatisfying years,five unsatisfying years,an unsatisfying five years,five unsatisfying years,a five years,an unsatisfying years
145,The family spent an unsatisfying five hours in London.,The family spent,a five unsatisfying hours,five unsatisfying hours,an unsatisfying five hours,five unsatisfying hours,a five hours,an unsatisfying hours
146,The family spent an unsatisfying twenty days in London.,The family spent,a twenty unsatisfying days,twenty unsatisfying days,an unsatisfying twenty days,twenty unsatisfying days,a twenty days,an unsatisfying days
147,The family spent an unsatisfying twenty weeks in London.,The family spent,a twenty unsatisfying weeks,twenty unsatisfying weeks,an unsatisfying twenty weeks,twenty unsatisfying weeks,a twenty weeks,an unsatisfying weeks
148,The family spent an unsatisfying twenty months in London.,The family spent,a twenty unsatisfying months,twenty unsatisfying months,an unsatisfying twenty months,twenty unsatisfying months,a twenty months,an unsatisfying months
149,The family spent an unsatisfying twenty years in London.,The family spent,a twenty unsatisfying years,twenty unsatisfying years,an unsatisfying twenty years,twenty unsatisfying years,a twenty years,an unsatisfying years
150,The family spent an unsatisfying twenty hours in London.,The family spent,a twenty unsatisfying hours,twenty unsatisfying hours,an unsatisfying twenty hours,twenty unsatisfying hours,a twenty hours,an unsatisfying hours
151,The family spent a lovely three days in London.,The family spent,a three lovely days,three lovely days,a lovely three days,three lovely days,a three days,a lovely days
152,The family spent a lovely three weeks in London.,The family spent,a three lovely weeks,three lovely weeks,a lovely three weeks,three lovely weeks,a three weeks,a lovely weeks
153,The family spent a lovely three months in London.,The family spent,a three lovely months,three lovely months,a lovely three months,three lovely months,a three months,a lovely months
154,The family spent a lovely three years in London.,The family spent,a three lovely years,three lovely years,a lovely three years,three lovely years,a three years,a lovely years
155,The family spent a lovely three hours in London.,The family spent,a three lovely hours,three lovely hours,a lovely three hours,three lovely hours,a three hours,a lovely hours
156,The family spent a lovely five days in London.,The family spent,a five lovely days,five lovely days,a lovely five days,five lovely days,a five days,a lovely days
157,The family spent a lovely five weeks in London.,The family spent,a five lovely weeks,five lovely weeks,a lovely five weeks,five lovely weeks,a five weeks,a lovely weeks
158,The family spent a lovely five months in London.,The family spent,a five lovely months,five lovely months,a lovely five months,five lovely months,a five months,a lovely months
159,The family spent a lovely five years in London.,The family spent,a five lovely years,five lovely years,a lovely five years,five lovely years,a five years,a lovely years
160,The family spent a lovely five hours in London.,The family spent,a five lovely hours,five lovely hours,a lovely five hours,five lovely hours,a five hours,a lovely hours
161,The family spent a lovely twenty days in London.,The family spent,a twenty lovely days,twenty lovely days,a lovely twenty days,twenty lovely days,a twenty days,a lovely days
162,The family spent a lovely twenty weeks in London.,The family spent,a twenty lovely weeks,twenty lovely weeks,a lovely twenty weeks,twenty lovely weeks,a twenty weeks,a lovely weeks
163,The family spent a lovely twenty months in London.,The family spent,a twenty lovely months,twenty lovely months,a lovely twenty months,twenty lovely months,a twenty months,a lovely months
164,The family spent a lovely twenty years in London.,The family spent,a twenty lovely years,twenty lovely years,a lovely twenty years,twenty lovely years,a twenty years,a lovely years
165,The family spent a lovely twenty hours in London.,The family spent,a twenty lovely hours,twenty lovely hours,a lovely twenty hours,twenty lovely hours,a twenty hours,a lovely hours
166,The family spent a beautiful three days in London.,The family spent,a three beautiful days,three beautiful days,a beautiful three days,three beautiful days,a three days,a beautiful days
167,The family spent a beautiful three weeks in London.,The family spent,a three beautiful weeks,three beautiful weeks,a beautiful three weeks,three beautiful weeks,a three weeks,a beautiful weeks
168,The family spent a beautiful three months in London.,The family spent,a three beautiful months,three beautiful months,a beautiful three months,three beautiful months,a three months,a beautiful months
169,The family spent a beautiful three years in London.,The family spent,a three beautiful years,three beautiful years,a beautiful three years,three beautiful years,a three years,a beautiful years
170,The family spent a beautiful three hours in London.,The family spent,a three beautiful hours,three beautiful hours,a beautiful three hours,three beautiful hours,a three hours,a beautiful hours
171,The family spent a beautiful five days in London.,The family spent,a five beautiful days,five beautiful days,a beautiful five days,five beautiful days,a five days,a beautiful days
172,The family spent a beautiful five weeks in London.,The family spent,a five beautiful weeks,five beautiful weeks,a beautiful five weeks,five beautiful weeks,a five weeks,a beautiful weeks
173,The family spent a beautiful five months in London.,The family spent,a five beautiful months,five beautiful months,a beautiful five months,five beautiful months,a five months,a beautiful months
174,The family spent a beautiful five years in London.,The family spent,a five beautiful years,five beautiful years,a beautiful five years,five beautiful years,a five years,a beautiful years
175,The family spent a beautiful five hours in London.,The family spent,a five beautiful hours,five beautiful hours,a beautiful five hours,five beautiful hours,a five hours,a beautiful hours
176,The family spent a beautiful twenty days in London.,The family spent,a twenty beautiful days,twenty beautiful days,a beautiful twenty days,twenty beautiful days,a twenty days,a beautiful days
177,The family spent a beautiful twenty weeks in London.,The family spent,a twenty beautiful weeks,twenty beautiful weeks,a beautiful twenty weeks,twenty beautiful weeks,a twenty weeks,a beautiful weeks
178,The family spent a beautiful twenty months in London.,The family spent,a twenty beautiful months,twenty beautiful months,a beautiful twenty months,twenty beautiful months,a twenty months,a beautiful months
179,The family spent a beautiful twenty years in London.,The family spent,a twenty beautiful years,twenty beautiful years,a beautiful twenty years,twenty beautiful years,a twenty years,a beautiful years
180,The family spent a beautiful twenty hours in London.,The family spent,a twenty beautiful hours,twenty beautiful hours,a beautiful twenty hours,twenty beautiful hours,a twenty hours,a beautiful hours
181,The family spent an enchanting three days in London.,The family spent,a three enchanting days,three enchanting days,an enchanting three days,three enchanting days,a three days,an enchanting days
182,The family spent an enchanting three weeks in London.,The family spent,a three enchanting weeks,three enchanting weeks,an enchanting three weeks,three enchanting weeks,a three weeks,an enchanting weeks
183,The family spent an enchanting three months in London.,The family spent,a three enchanting months,three enchanting months,an enchanting three months,three enchanting months,a three months,an enchanting months
184,The family spent an enchanting three years in London.,The family spent,a three enchanting years,three enchanting years,an enchanting three years,three enchanting years,a three years,an enchanting years
185,The family spent an enchanting three hours in London.,The family spent,a three enchanting hours,three enchanting hours,an enchanting three hours,three enchanting hours,a three hours,an enchanting hours
186,The family spent an enchanting five days in London.,The family spent,a five enchanting days,five enchanting days,an enchanting five days,five enchanting days,a five days,an enchanting days
187,The family spent an enchanting five weeks in London.,The family spent,a five enchanting weeks,five enchanting weeks,an enchanting five weeks,five enchanting weeks,a five weeks,an enchanting weeks
188,The family spent an enchanting five months in London.,The family spent,a five enchanting months,five enchanting months,an enchanting five months,five enchanting months,a five months,an enchanting months
189,The family spent an enchanting five years in London.,The family spent,a five enchanting years,five enchanting years,an enchanting five years,five enchanting years,a five years,an enchanting years
190,The family spent an enchanting five hours in London.,The family spent,a five enchanting hours,five enchanting hours,an enchanting five hours,five enchanting hours,a five hours,an enchanting hours
191,The family spent an enchanting twenty days in London.,The family spent,a twenty enchanting days,twenty enchanting days,an enchanting twenty days,twenty enchanting days,a twenty days,an enchanting days
192,The family spent an enchanting twenty weeks in London.,The family spent,a twenty enchanting weeks,twenty enchanting weeks,an enchanting twenty weeks,twenty enchanting weeks,a twenty weeks,an enchanting weeks
193,The family spent an enchanting twenty months in London.,The family spent,a twenty enchanting months,twenty enchanting months,an enchanting twenty months,twenty enchanting months,a twenty months,an enchanting months
194,The family spent an enchanting twenty years in London.,The family spent,a twenty enchanting years,twenty enchanting years,an enchanting twenty years,twenty enchanting years,a twenty years,an enchanting years
195,The family spent an enchanting twenty hours in London.,The family spent,a twenty enchanting hours,twenty enchanting hours,an enchanting twenty hours,twenty enchanting hours,a twenty hours,an enchanting hours
196,The family spent a soothing three days in London.,The family spent,a three soothing days,three soothing days,a soothing three days,three soothing days,a three days,a soothing days
197,The family spent a soothing three weeks in London.,The family spent,a three soothing weeks,three soothing weeks,a soothing three weeks,three soothing weeks,a three weeks,a soothing weeks
198,The family spent a soothing three months in London.,The family spent,a three soothing months,three soothing months,a soothing three months,three soothing months,a three months,a soothing months
199,The family spent a soothing three years in London.,The family spent,a three soothing years,three soothing years,a soothing three years,three soothing years,a three years,a soothing years
200,The family spent a soothing three hours in London.,The family spent,a three soothing hours,three soothing hours,a soothing three hours,three soothing hours,a three hours,a soothing hours
