,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
30,31,The family spent an impressive three days in London.,The family spent,an impressive three days,three impressive days,an impressive three days,three impressive days,a three days,an impressive days
31,32,The family spent an impressive three weeks in London.,The family spent,an impressive three weeks,three impressive weeks,an impressive three weeks,three impressive weeks,a three weeks,an impressive weeks
32,33,The family spent an impressive three months in London.,The family spent,an impressive three months,three impressive months,an impressive three months,three impressive months,a three months,an impressive months
33,34,The family spent an impressive three years in London.,The family spent,an impressive three years,three impressive years,an impressive three years,three impressive years,a three years,an impressive years
34,35,The family spent an impressive three hours in London.,The family spent,an impressive three hours,three impressive hours,an impressive three hours,three impressive hours,a three hours,an impressive hours
35,36,The family spent an impressive five days in London.,The family spent,an impressive five days,five impressive days,an impressive five days,five impressive days,a five days,an impressive days
36,37,The family spent an impressive five weeks in London.,The family spent,an impressive five weeks,five impressive weeks,an impressive five weeks,five impressive weeks,a five weeks,an impressive weeks
37,38,The family spent an impressive five months in London.,The family spent,an impressive five months,five impressive months,an impressive five months,five impressive months,a five months,an impressive months
38,39,The family spent an impressive five years in London.,The family spent,an impressive five years,five impressive years,an impressive five years,five impressive years,a five years,an impressive years
39,40,The family spent an impressive five hours in London.,The family spent,an impressive five hours,five impressive hours,an impressive five hours,five impressive hours,a five hours,an impressive hours
40,41,The family spent an impressive twenty days in London.,The family spent,an impressive twenty days,twenty impressive days,an impressive twenty days,twenty impressive days,a twenty days,an impressive days
41,42,The family spent an impressive twenty weeks in London.,The family spent,an impressive twenty weeks,twenty impressive weeks,an impressive twenty weeks,twenty impressive weeks,a twenty weeks,an impressive weeks
42,43,The family spent an impressive twenty months in London.,The family spent,an impressive twenty months,twenty impressive months,an impressive twenty months,twenty impressive months,a twenty months,an impressive months
43,44,The family spent an impressive twenty years in London.,The family spent,an impressive twenty years,twenty impressive years,an impressive twenty years,twenty impressive years,a twenty years,an impressive years
44,45,The family spent an impressive twenty hours in London.,The family spent,an impressive twenty hours,twenty impressive hours,an impressive twenty hours,twenty impressive hours,a twenty hours,an impressive hours
45,46,The family spent a disappointing three days in London.,The family spent,a disappointing three days,three disappointing days,a disappointing three days,three disappointing days,a three days,a disappointing days
46,47,The family spent a disappointing three weeks in London.,The family spent,a disappointing three weeks,three disappointing weeks,a disappointing three weeks,three disappointing weeks,a three weeks,a disappointing weeks
47,48,The family spent a disappointing three months in London.,The family spent,a disappointing three months,three disappointing months,a disappointing three months,three disappointing months,a three months,a disappointing months
48,49,The family spent a disappointing three years in London.,The family spent,a disappointing three years,three disappointing years,a disappointing three years,three disappointing years,a three years,a disappointing years
49,50,The family spent a disappointing three hours in London.,The family spent,a disappointing three hours,three disappointing hours,a disappointing three hours,three disappointing hours,a three hours,a disappointing hours
50,51,The family spent a disappointing five days in London.,The family spent,a disappointing five days,five disappointing days,a disappointing five days,five disappointing days,a five days,a disappointing days
51,52,The family spent a disappointing five weeks in London.,The family spent,a disappointing five weeks,five disappointing weeks,a disappointing five weeks,five disappointing weeks,a five weeks,a disappointing weeks
52,53,The family spent a disappointing five months in London.,The family spent,a disappointing five months,five disappointing months,a disappointing five months,five disappointing months,a five months,a disappointing months
53,54,The family spent a disappointing five years in London.,The family spent,a disappointing five years,five disappointing years,a disappointing five years,five disappointing years,a five years,a disappointing years
54,55,The family spent a disappointing five hours in London.,The family spent,a disappointing five hours,five disappointing hours,a disappointing five hours,five disappointing hours,a five hours,a disappointing hours
55,56,The family spent a disappointing twenty days in London.,The family spent,a disappointing twenty days,twenty disappointing days,a disappointing twenty days,twenty disappointing days,a twenty days,a disappointing days
56,57,The family spent a disappointing twenty weeks in London.,The family spent,a disappointing twenty weeks,twenty disappointing weeks,a disappointing twenty weeks,twenty disappointing weeks,a twenty weeks,a disappointing weeks
57,58,The family spent a disappointing twenty months in London.,The family spent,a disappointing twenty months,twenty disappointing months,a disappointing twenty months,twenty disappointing months,a twenty months,a disappointing months
58,59,The family spent a disappointing twenty years in London.,The family spent,a disappointing twenty years,twenty disappointing years,a disappointing twenty years,twenty disappointing years,a twenty years,a disappointing years
59,60,The family spent a disappointing twenty hours in London.,The family spent,a disappointing twenty hours,twenty disappointing hours,a disappointing twenty hours,twenty disappointing hours,a twenty hours,a disappointing hours
60,61,The family spent a surprising three days in London.,The family spent,a surprising three days,three surprising days,a surprising three days,three surprising days,a three days,a surprising days
61,62,The family spent a surprising three weeks in London.,The family spent,a surprising three weeks,three surprising weeks,a surprising three weeks,three surprising weeks,a three weeks,a surprising weeks
62,63,The family spent a surprising three months in London.,The family spent,a surprising three months,three surprising months,a surprising three months,three surprising months,a three months,a surprising months
63,64,The family spent a surprising three years in London.,The family spent,a surprising three years,three surprising years,a surprising three years,three surprising years,a three years,a surprising years
64,65,The family spent a surprising three hours in London.,The family spent,a surprising three hours,three surprising hours,a surprising three hours,three surprising hours,a three hours,a surprising hours
65,66,The family spent a surprising five days in London.,The family spent,a surprising five days,five surprising days,a surprising five days,five surprising days,a five days,a surprising days
66,67,The family spent a surprising five weeks in London.,The family spent,a surprising five weeks,five surprising weeks,a surprising five weeks,five surprising weeks,a five weeks,a surprising weeks
67,68,The family spent a surprising five months in London.,The family spent,a surprising five months,five surprising months,a surprising five months,five surprising months,a five months,a surprising months
68,69,The family spent a surprising five years in London.,The family spent,a surprising five years,five surprising years,a surprising five years,five surprising years,a five years,a surprising years
69,70,The family spent a surprising five hours in London.,The family spent,a surprising five hours,five surprising hours,a surprising five hours,five surprising hours,a five hours,a surprising hours
70,71,The family spent a surprising twenty days in London.,The family spent,a surprising twenty days,twenty surprising days,a surprising twenty days,twenty surprising days,a twenty days,a surprising days
71,72,The family spent a surprising twenty weeks in London.,The family spent,a surprising twenty weeks,twenty surprising weeks,a surprising twenty weeks,twenty surprising weeks,a twenty weeks,a surprising weeks
72,73,The family spent a surprising twenty months in London.,The family spent,a surprising twenty months,twenty surprising months,a surprising twenty months,twenty surprising months,a twenty months,a surprising months
73,74,The family spent a surprising twenty years in London.,The family spent,a surprising twenty years,twenty surprising years,a surprising twenty years,twenty surprising years,a twenty years,a surprising years
74,75,The family spent a surprising twenty hours in London.,The family spent,a surprising twenty hours,twenty surprising hours,a surprising twenty hours,twenty surprising hours,a twenty hours,a surprising hours
75,76,The family spent a devastating three days in London.,The family spent,a devastating three days,three devastating days,a devastating three days,three devastating days,a three days,a devastating days
76,77,The family spent a devastating three weeks in London.,The family spent,a devastating three weeks,three devastating weeks,a devastating three weeks,three devastating weeks,a three weeks,a devastating weeks
77,78,The family spent a devastating three months in London.,The family spent,a devastating three months,three devastating months,a devastating three months,three devastating months,a three months,a devastating months
78,79,The family spent a devastating three years in London.,The family spent,a devastating three years,three devastating years,a devastating three years,three devastating years,a three years,a devastating years
79,80,The family spent a devastating three hours in London.,The family spent,a devastating three hours,three devastating hours,a devastating three hours,three devastating hours,a three hours,a devastating hours
80,81,The family spent a devastating five days in London.,The family spent,a devastating five days,five devastating days,a devastating five days,five devastating days,a five days,a devastating days
81,82,The family spent a devastating five weeks in London.,The family spent,a devastating five weeks,five devastating weeks,a devastating five weeks,five devastating weeks,a five weeks,a devastating weeks
82,83,The family spent a devastating five months in London.,The family spent,a devastating five months,five devastating months,a devastating five months,five devastating months,a five months,a devastating months
83,84,The family spent a devastating five years in London.,The family spent,a devastating five years,five devastating years,a devastating five years,five devastating years,a five years,a devastating years
84,85,The family spent a devastating five hours in London.,The family spent,a devastating five hours,five devastating hours,a devastating five hours,five devastating hours,a five hours,a devastating hours
85,86,The family spent a devastating twenty days in London.,The family spent,a devastating twenty days,twenty devastating days,a devastating twenty days,twenty devastating days,a twenty days,a devastating days
86,87,The family spent a devastating twenty weeks in London.,The family spent,a devastating twenty weeks,twenty devastating weeks,a devastating twenty weeks,twenty devastating weeks,a twenty weeks,a devastating weeks
87,88,The family spent a devastating twenty months in London.,The family spent,a devastating twenty months,twenty devastating months,a devastating twenty months,twenty devastating months,a twenty months,a devastating months
88,89,The family spent a devastating twenty years in London.,The family spent,a devastating twenty years,twenty devastating years,a devastating twenty years,twenty devastating years,a twenty years,a devastating years
89,90,The family spent a devastating twenty hours in London.,The family spent,a devastating twenty hours,twenty devastating hours,a devastating twenty hours,twenty devastating hours,a twenty hours,a devastating hours
90,91,The family spent a pathetic three days in London.,The family spent,a pathetic three days,three pathetic days,a pathetic three days,three pathetic days,a three days,a pathetic days
91,92,The family spent a pathetic three weeks in London.,The family spent,a pathetic three weeks,three pathetic weeks,a pathetic three weeks,three pathetic weeks,a three weeks,a pathetic weeks
92,93,The family spent a pathetic three months in London.,The family spent,a pathetic three months,three pathetic months,a pathetic three months,three pathetic months,a three months,a pathetic months
93,94,The family spent a pathetic three years in London.,The family spent,a pathetic three years,three pathetic years,a pathetic three years,three pathetic years,a three years,a pathetic years
94,95,The family spent a pathetic three hours in London.,The family spent,a pathetic three hours,three pathetic hours,a pathetic three hours,three pathetic hours,a three hours,a pathetic hours
95,96,The family spent a pathetic five days in London.,The family spent,a pathetic five days,five pathetic days,a pathetic five days,five pathetic days,a five days,a pathetic days
96,97,The family spent a pathetic five weeks in London.,The family spent,a pathetic five weeks,five pathetic weeks,a pathetic five weeks,five pathetic weeks,a five weeks,a pathetic weeks
97,98,The family spent a pathetic five months in London.,The family spent,a pathetic five months,five pathetic months,a pathetic five months,five pathetic months,a five months,a pathetic months
98,99,The family spent a pathetic five years in London.,The family spent,a pathetic five years,five pathetic years,a pathetic five years,five pathetic years,a five years,a pathetic years
99,100,The family spent a pathetic five hours in London.,The family spent,a pathetic five hours,five pathetic hours,a pathetic five hours,five pathetic hours,a five hours,a pathetic hours
100,101,The family spent a pathetic twenty days in London.,The family spent,a pathetic twenty days,twenty pathetic days,a pathetic twenty days,twenty pathetic days,a twenty days,a pathetic days
101,102,The family spent a pathetic twenty weeks in London.,The family spent,a pathetic twenty weeks,twenty pathetic weeks,a pathetic twenty weeks,twenty pathetic weeks,a twenty weeks,a pathetic weeks
102,103,The family spent a pathetic twenty months in London.,The family spent,a pathetic twenty months,twenty pathetic months,a pathetic twenty months,twenty pathetic months,a twenty months,a pathetic months
103,104,The family spent a pathetic twenty years in London.,The family spent,a pathetic twenty years,twenty pathetic years,a pathetic twenty years,twenty pathetic years,a twenty years,a pathetic years
104,105,The family spent a pathetic twenty hours in London.,The family spent,a pathetic twenty hours,twenty pathetic hours,a pathetic twenty hours,twenty pathetic hours,a twenty hours,a pathetic hours
105,106,The family spent a remarkable three days in London.,The family spent,a remarkable three days,three remarkable days,a remarkable three days,three remarkable days,a three days,a remarkable days
106,107,The family spent a remarkable three weeks in London.,The family spent,a remarkable three weeks,three remarkable weeks,a remarkable three weeks,three remarkable weeks,a three weeks,a remarkable weeks
107,108,The family spent a remarkable three months in London.,The family spent,a remarkable three months,three remarkable months,a remarkable three months,three remarkable months,a three months,a remarkable months
108,109,The family spent a remarkable three years in London.,The family spent,a remarkable three years,three remarkable years,a remarkable three years,three remarkable years,a three years,a remarkable years
109,110,The family spent a remarkable three hours in London.,The family spent,a remarkable three hours,three remarkable hours,a remarkable three hours,three remarkable hours,a three hours,a remarkable hours
110,111,The family spent a remarkable five days in London.,The family spent,a remarkable five days,five remarkable days,a remarkable five days,five remarkable days,a five days,a remarkable days
111,112,The family spent a remarkable five weeks in London.,The family spent,a remarkable five weeks,five remarkable weeks,a remarkable five weeks,five remarkable weeks,a five weeks,a remarkable weeks
112,113,The family spent a remarkable five months in London.,The family spent,a remarkable five months,five remarkable months,a remarkable five months,five remarkable months,a five months,a remarkable months
113,114,The family spent a remarkable five years in London.,The family spent,a remarkable five years,five remarkable years,a remarkable five years,five remarkable years,a five years,a remarkable years
114,115,The family spent a remarkable five hours in London.,The family spent,a remarkable five hours,five remarkable hours,a remarkable five hours,five remarkable hours,a five hours,a remarkable hours
115,116,The family spent a remarkable twenty days in London.,The family spent,a remarkable twenty days,twenty remarkable days,a remarkable twenty days,twenty remarkable days,a twenty days,a remarkable days
116,117,The family spent a remarkable twenty weeks in London.,The family spent,a remarkable twenty weeks,twenty remarkable weeks,a remarkable twenty weeks,twenty remarkable weeks,a twenty weeks,a remarkable weeks
117,118,The family spent a remarkable twenty months in London.,The family spent,a remarkable twenty months,twenty remarkable months,a remarkable twenty months,twenty remarkable months,a twenty months,a remarkable months
118,119,The family spent a remarkable twenty years in London.,The family spent,a remarkable twenty years,twenty remarkable years,a remarkable twenty years,twenty remarkable years,a twenty years,a remarkable years
119,120,The family spent a remarkable twenty hours in London.,The family spent,a remarkable twenty hours,twenty remarkable hours,a remarkable twenty hours,twenty remarkable hours,a twenty hours,a remarkable hours
120,121,The family spent a mediocre three days in London.,The family spent,a mediocre three days,three mediocre days,a mediocre three days,three mediocre days,a three days,a mediocre days
121,122,The family spent a mediocre three weeks in London.,The family spent,a mediocre three weeks,three mediocre weeks,a mediocre three weeks,three mediocre weeks,a three weeks,a mediocre weeks
122,123,The family spent a mediocre three months in London.,The family spent,a mediocre three months,three mediocre months,a mediocre three months,three mediocre months,a three months,a mediocre months
123,124,The family spent a mediocre three years in London.,The family spent,a mediocre three years,three mediocre years,a mediocre three years,three mediocre years,a three years,a mediocre years
124,125,The family spent a mediocre three hours in London.,The family spent,a mediocre three hours,three mediocre hours,a mediocre three hours,three mediocre hours,a three hours,a mediocre hours
125,126,The family spent a mediocre five days in London.,The family spent,a mediocre five days,five mediocre days,a mediocre five days,five mediocre days,a five days,a mediocre days
126,127,The family spent a mediocre five weeks in London.,The family spent,a mediocre five weeks,five mediocre weeks,a mediocre five weeks,five mediocre weeks,a five weeks,a mediocre weeks
127,128,The family spent a mediocre five months in London.,The family spent,a mediocre five months,five mediocre months,a mediocre five months,five mediocre months,a five months,a mediocre months
128,129,The family spent a mediocre five years in London.,The family spent,a mediocre five years,five mediocre years,a mediocre five years,five mediocre years,a five years,a mediocre years
129,130,The family spent a mediocre five hours in London.,The family spent,a mediocre five hours,five mediocre hours,a mediocre five hours,five mediocre hours,a five hours,a mediocre hours
130,131,The family spent a mediocre twenty days in London.,The family spent,a mediocre twenty days,twenty mediocre days,a mediocre twenty days,twenty mediocre days,a twenty days,a mediocre days
131,132,The family spent a mediocre twenty weeks in London.,The family spent,a mediocre twenty weeks,twenty mediocre weeks,a mediocre twenty weeks,twenty mediocre weeks,a twenty weeks,a mediocre weeks
132,133,The family spent a mediocre twenty months in London.,The family spent,a mediocre twenty months,twenty mediocre months,a mediocre twenty months,twenty mediocre months,a twenty months,a mediocre months
133,134,The family spent a mediocre twenty years in London.,The family spent,a mediocre twenty years,twenty mediocre years,a mediocre twenty years,twenty mediocre years,a twenty years,a mediocre years
134,135,The family spent a mediocre twenty hours in London.,The family spent,a mediocre twenty hours,twenty mediocre hours,a mediocre twenty hours,twenty mediocre hours,a twenty hours,a mediocre hours
135,136,The family spent an unsatisfying three days in London.,The family spent,an unsatisfying three days,three unsatisfying days,an unsatisfying three days,three unsatisfying days,a three days,an unsatisfying days
136,137,The family spent an unsatisfying three weeks in London.,The family spent,an unsatisfying three weeks,three unsatisfying weeks,an unsatisfying three weeks,three unsatisfying weeks,a three weeks,an unsatisfying weeks
137,138,The family spent an unsatisfying three months in London.,The family spent,an unsatisfying three months,three unsatisfying months,an unsatisfying three months,three unsatisfying months,a three months,an unsatisfying months
138,139,The family spent an unsatisfying three years in London.,The family spent,an unsatisfying three years,three unsatisfying years,an unsatisfying three years,three unsatisfying years,a three years,an unsatisfying years
139,140,The family spent an unsatisfying three hours in London.,The family spent,an unsatisfying three hours,three unsatisfying hours,an unsatisfying three hours,three unsatisfying hours,a three hours,an unsatisfying hours
140,141,The family spent an unsatisfying five days in London.,The family spent,an unsatisfying five days,five unsatisfying days,an unsatisfying five days,five unsatisfying days,a five days,an unsatisfying days
141,142,The family spent an unsatisfying five weeks in London.,The family spent,an unsatisfying five weeks,five unsatisfying weeks,an unsatisfying five weeks,five unsatisfying weeks,a five weeks,an unsatisfying weeks
142,143,The family spent an unsatisfying five months in London.,The family spent,an unsatisfying five months,five unsatisfying months,an unsatisfying five months,five unsatisfying months,a five months,an unsatisfying months
143,144,The family spent an unsatisfying five years in London.,The family spent,an unsatisfying five years,five unsatisfying years,an unsatisfying five years,five unsatisfying years,a five years,an unsatisfying years
144,145,The family spent an unsatisfying five hours in London.,The family spent,an unsatisfying five hours,five unsatisfying hours,an unsatisfying five hours,five unsatisfying hours,a five hours,an unsatisfying hours
145,146,The family spent an unsatisfying twenty days in London.,The family spent,an unsatisfying twenty days,twenty unsatisfying days,an unsatisfying twenty days,twenty unsatisfying days,a twenty days,an unsatisfying days
146,147,The family spent an unsatisfying twenty weeks in London.,The family spent,an unsatisfying twenty weeks,twenty unsatisfying weeks,an unsatisfying twenty weeks,twenty unsatisfying weeks,a twenty weeks,an unsatisfying weeks
147,148,The family spent an unsatisfying twenty months in London.,The family spent,an unsatisfying twenty months,twenty unsatisfying months,an unsatisfying twenty months,twenty unsatisfying months,a twenty months,an unsatisfying months
148,149,The family spent an unsatisfying twenty years in London.,The family spent,an unsatisfying twenty years,twenty unsatisfying years,an unsatisfying twenty years,twenty unsatisfying years,a twenty years,an unsatisfying years
149,150,The family spent an unsatisfying twenty hours in London.,The family spent,an unsatisfying twenty hours,twenty unsatisfying hours,an unsatisfying twenty hours,twenty unsatisfying hours,a twenty hours,an unsatisfying hours
150,151,The family spent a lovely three days in London.,The family spent,a lovely three days,three lovely days,a lovely three days,three lovely days,a three days,a lovely days
151,152,The family spent a lovely three weeks in London.,The family spent,a lovely three weeks,three lovely weeks,a lovely three weeks,three lovely weeks,a three weeks,a lovely weeks
152,153,The family spent a lovely three months in London.,The family spent,a lovely three months,three lovely months,a lovely three months,three lovely months,a three months,a lovely months
153,154,The family spent a lovely three years in London.,The family spent,a lovely three years,three lovely years,a lovely three years,three lovely years,a three years,a lovely years
154,155,The family spent a lovely three hours in London.,The family spent,a lovely three hours,three lovely hours,a lovely three hours,three lovely hours,a three hours,a lovely hours
155,156,The family spent a lovely five days in London.,The family spent,a lovely five days,five lovely days,a lovely five days,five lovely days,a five days,a lovely days
156,157,The family spent a lovely five weeks in London.,The family spent,a lovely five weeks,five lovely weeks,a lovely five weeks,five lovely weeks,a five weeks,a lovely weeks
157,158,The family spent a lovely five months in London.,The family spent,a lovely five months,five lovely months,a lovely five months,five lovely months,a five months,a lovely months
158,159,The family spent a lovely five years in London.,The family spent,a lovely five years,five lovely years,a lovely five years,five lovely years,a five years,a lovely years
159,160,The family spent a lovely five hours in London.,The family spent,a lovely five hours,five lovely hours,a lovely five hours,five lovely hours,a five hours,a lovely hours
160,161,The family spent a lovely twenty days in London.,The family spent,a lovely twenty days,twenty lovely days,a lovely twenty days,twenty lovely days,a twenty days,a lovely days
161,162,The family spent a lovely twenty weeks in London.,The family spent,a lovely twenty weeks,twenty lovely weeks,a lovely twenty weeks,twenty lovely weeks,a twenty weeks,a lovely weeks
162,163,The family spent a lovely twenty months in London.,The family spent,a lovely twenty months,twenty lovely months,a lovely twenty months,twenty lovely months,a twenty months,a lovely months
163,164,The family spent a lovely twenty years in London.,The family spent,a lovely twenty years,twenty lovely years,a lovely twenty years,twenty lovely years,a twenty years,a lovely years
164,165,The family spent a lovely twenty hours in London.,The family spent,a lovely twenty hours,twenty lovely hours,a lovely twenty hours,twenty lovely hours,a twenty hours,a lovely hours
165,166,The family spent a beautiful three days in London.,The family spent,a beautiful three days,three beautiful days,a beautiful three days,three beautiful days,a three days,a beautiful days
166,167,The family spent a beautiful three weeks in London.,The family spent,a beautiful three weeks,three beautiful weeks,a beautiful three weeks,three beautiful weeks,a three weeks,a beautiful weeks
167,168,The family spent a beautiful three months in London.,The family spent,a beautiful three months,three beautiful months,a beautiful three months,three beautiful months,a three months,a beautiful months
168,169,The family spent a beautiful three years in London.,The family spent,a beautiful three years,three beautiful years,a beautiful three years,three beautiful years,a three years,a beautiful years
169,170,The family spent a beautiful three hours in London.,The family spent,a beautiful three hours,three beautiful hours,a beautiful three hours,three beautiful hours,a three hours,a beautiful hours
170,171,The family spent a beautiful five days in London.,The family spent,a beautiful five days,five beautiful days,a beautiful five days,five beautiful days,a five days,a beautiful days
171,172,The family spent a beautiful five weeks in London.,The family spent,a beautiful five weeks,five beautiful weeks,a beautiful five weeks,five beautiful weeks,a five weeks,a beautiful weeks
172,173,The family spent a beautiful five months in London.,The family spent,a beautiful five months,five beautiful months,a beautiful five months,five beautiful months,a five months,a beautiful months
173,174,The family spent a beautiful five years in London.,The family spent,a beautiful five years,five beautiful years,a beautiful five years,five beautiful years,a five years,a beautiful years
174,175,The family spent a beautiful five hours in London.,The family spent,a beautiful five hours,five beautiful hours,a beautiful five hours,five beautiful hours,a five hours,a beautiful hours
175,176,The family spent a beautiful twenty days in London.,The family spent,a beautiful twenty days,twenty beautiful days,a beautiful twenty days,twenty beautiful days,a twenty days,a beautiful days
176,177,The family spent a beautiful twenty weeks in London.,The family spent,a beautiful twenty weeks,twenty beautiful weeks,a beautiful twenty weeks,twenty beautiful weeks,a twenty weeks,a beautiful weeks
177,178,The family spent a beautiful twenty months in London.,The family spent,a beautiful twenty months,twenty beautiful months,a beautiful twenty months,twenty beautiful months,a twenty months,a beautiful months
178,179,The family spent a beautiful twenty years in London.,The family spent,a beautiful twenty years,twenty beautiful years,a beautiful twenty years,twenty beautiful years,a twenty years,a beautiful years
179,180,The family spent a beautiful twenty hours in London.,The family spent,a beautiful twenty hours,twenty beautiful hours,a beautiful twenty hours,twenty beautiful hours,a twenty hours,a beautiful hours
180,181,The family spent an enchanting three days in London.,The family spent,an enchanting three days,three enchanting days,an enchanting three days,three enchanting days,a three days,an enchanting days
181,182,The family spent an enchanting three weeks in London.,The family spent,an enchanting three weeks,three enchanting weeks,an enchanting three weeks,three enchanting weeks,a three weeks,an enchanting weeks
182,183,The family spent an enchanting three months in London.,The family spent,an enchanting three months,three enchanting months,an enchanting three months,three enchanting months,a three months,an enchanting months
183,184,The family spent an enchanting three years in London.,The family spent,an enchanting three years,three enchanting years,an enchanting three years,three enchanting years,a three years,an enchanting years
184,185,The family spent an enchanting three hours in London.,The family spent,an enchanting three hours,three enchanting hours,an enchanting three hours,three enchanting hours,a three hours,an enchanting hours
185,186,The family spent an enchanting five days in London.,The family spent,an enchanting five days,five enchanting days,an enchanting five days,five enchanting days,a five days,an enchanting days
186,187,The family spent an enchanting five weeks in London.,The family spent,an enchanting five weeks,five enchanting weeks,an enchanting five weeks,five enchanting weeks,a five weeks,an enchanting weeks
187,188,The family spent an enchanting five months in London.,The family spent,an enchanting five months,five enchanting months,an enchanting five months,five enchanting months,a five months,an enchanting months
188,189,The family spent an enchanting five years in London.,The family spent,an enchanting five years,five enchanting years,an enchanting five years,five enchanting years,a five years,an enchanting years
189,190,The family spent an enchanting five hours in London.,The family spent,an enchanting five hours,five enchanting hours,an enchanting five hours,five enchanting hours,a five hours,an enchanting hours
190,191,The family spent an enchanting twenty days in London.,The family spent,an enchanting twenty days,twenty enchanting days,an enchanting twenty days,twenty enchanting days,a twenty days,an enchanting days
191,192,The family spent an enchanting twenty weeks in London.,The family spent,an enchanting twenty weeks,twenty enchanting weeks,an enchanting twenty weeks,twenty enchanting weeks,a twenty weeks,an enchanting weeks
192,193,The family spent an enchanting twenty months in London.,The family spent,an enchanting twenty months,twenty enchanting months,an enchanting twenty months,twenty enchanting months,a twenty months,an enchanting months
