idx,corruption,aann,corrupted_construction,diff
18,no_modifier,an incredible three months,a three months,2.1349029541015625
18,no_numeral,an incredible three months,an incredible months,1.8541979789733887
20,order_swap,an incredible three hours,a three incredible hours,2.3024675846099854
20,no_article,an incredible three hours,incredible three hours,2.1241939067840576
20,no_modifier,an incredible three hours,a three hours,2.447479486465454
20,no_numeral,an incredible three hours,an incredible hours,1.8027379512786865
24,order_swap,an incredible five years,a five incredible years,1.9365768432617188
24,no_article,an incredible five years,incredible five years,1.8586463928222656
24,no_modifier,an incredible five years,a five years,2.409031391143799
24,no_numeral,an incredible five years,an incredible years,1.7010183334350586
26,order_swap,an incredible twenty days,a twenty incredible days,1.9014220237731934
26,no_article,an incredible twenty days,incredible twenty days,2.0466432571411133
26,no_modifier,an incredible twenty days,a twenty days,2.534882068634033
26,no_numeral,an incredible twenty days,an incredible days,0.9689297676086426
32,order_swap,an impressive three weeks,a three impressive weeks,1.9274265766143799
32,no_article,an impressive three weeks,impressive three weeks,1.8648626804351807
32,no_modifier,an impressive three weeks,a three weeks,1.2556378841400146
32,no_numeral,an impressive three weeks,an impressive weeks,2.228311777114868
35,order_swap,an impressive three hours,a three impressive hours,2.276359796524048
35,no_article,an impressive three hours,impressive three hours,1.981299638748169
35,no_modifier,an impressive three hours,a three hours,2.002883195877075
35,no_numeral,an impressive three hours,an impressive hours,2.076990842819214
38,order_swap,an impressive five months,a five impressive months,2.203819751739502
38,no_article,an impressive five months,impressive five months,1.820953369140625
38,no_modifier,an impressive five months,a five months,1.6897063255310059
38,no_numeral,an impressive five months,an impressive months,2.20473051071167
43,order_swap,an impressive twenty months,a twenty impressive months,2.3899965286254883
43,no_article,an impressive twenty months,impressive twenty months,2.085846424102783
43,no_modifier,an impressive twenty months,a twenty months,2.171170234680176
43,no_numeral,an impressive twenty months,an impressive months,1.2508444786071777
45,order_swap,an impressive twenty hours,a twenty impressive hours,2.5882978439331055
45,no_article,an impressive twenty hours,impressive twenty hours,2.076900005340576
45,no_modifier,an impressive twenty hours,a twenty hours,2.5553030967712402
45,no_numeral,an impressive twenty hours,an impressive hours,1.144002914428711
46,order_swap,a disappointing three days,a three disappointing days,1.9957609176635742
46,no_article,a disappointing three days,disappointing three days,2.0895400047302246
46,no_modifier,a disappointing three days,a three days,1.1392335891723633
46,no_numeral,a disappointing three days,a disappointing days,1.9571118354797363
50,order_swap,a disappointing three hours,a three disappointing hours,2.2215301990509033
50,no_article,a disappointing three hours,disappointing three hours,2.2098238468170166
50,no_modifier,a disappointing three hours,a three hours,1.8989784717559814
50,no_numeral,a disappointing three hours,a disappointing hours,1.715961217880249
51,order_swap,a disappointing five days,a five disappointing days,2.0015251636505127
51,no_article,a disappointing five days,disappointing five days,2.1625540256500244
51,no_modifier,a disappointing five days,a five days,1.2423169612884521
51,no_numeral,a disappointing five days,a disappointing days,1.7250211238861084
59,order_swap,a disappointing twenty years,a twenty disappointing years,1.8472938537597656
59,no_article,a disappointing twenty years,disappointing twenty years,2.1920480728149414
59,no_modifier,a disappointing twenty years,a twenty years,1.7665715217590332
59,no_numeral,a disappointing twenty years,a disappointing years,0.8688011169433594
62,order_swap,a surprising three weeks,a three surprising weeks,2.512576103210449
62,no_article,a surprising three weeks,surprising three weeks,3.5253448486328125
62,no_modifier,a surprising three weeks,a three weeks,0.2898411750793457
62,no_numeral,a surprising three weeks,a surprising weeks,3.012401580810547
63,order_swap,a surprising three months,a three surprising months,2.7147369384765625
63,no_article,a surprising three months,surprising three months,3.4610891342163086
63,no_modifier,a surprising three months,a three months,0.4217658042907715
63,no_numeral,a surprising three months,a surprising months,3.162531852722168
64,order_swap,a surprising three years,a three surprising years,2.48513126373291
64,no_article,a surprising three years,surprising three years,3.5041866302490234
64,no_modifier,a surprising three years,a three years,0.7166566848754883
64,no_numeral,a surprising three years,a surprising years,2.8772435188293457
66,order_swap,a surprising five days,a five surprising days,2.5339012145996094
66,no_article,a surprising five days,surprising five days,3.352841377258301
66,no_modifier,a surprising five days,a five days,0.38019323348999023
66,no_numeral,a surprising five days,a surprising days,3.1543679237365723
68,order_swap,a surprising five months,a five surprising months,2.7704386711120605
68,no_article,a surprising five months,surprising five months,3.446715831756592
68,no_modifier,a surprising five months,a five months,0.6505894660949707
68,no_numeral,a surprising five months,a surprising months,2.9693737030029297
69,order_swap,a surprising five years,a five surprising years,2.4377474784851074
69,no_article,a surprising five years,surprising five years,3.375682830810547
69,no_modifier,a surprising five years,a five years,0.6141438484191895
69,no_numeral,a surprising five years,a surprising years,2.8285651206970215
74,order_swap,a surprising twenty years,a twenty surprising years,2.911897659301758
74,no_article,a surprising twenty years,surprising twenty years,3.476128578186035
74,no_modifier,a surprising twenty years,a twenty years,0.9105000495910645
74,no_numeral,a surprising twenty years,a surprising years,2.379729747772217
75,order_swap,a surprising twenty hours,a twenty surprising hours,3.1063461303710938
75,no_article,a surprising twenty hours,surprising twenty hours,3.52498722076416
75,no_modifier,a surprising twenty hours,a twenty hours,1.4651007652282715
75,no_numeral,a surprising twenty hours,a surprising hours,1.836881160736084
77,order_swap,a devastating three weeks,a three devastating weeks,1.5008091926574707
77,no_article,a devastating three weeks,devastating three weeks,1.4713220596313477
77,no_modifier,a devastating three weeks,a three weeks,1.731860637664795
77,no_numeral,a devastating three weeks,a devastating weeks,1.3115386962890625
78,order_swap,a devastating three months,a three devastating months,1.5207493305206299
78,no_article,a devastating three months,devastating three months,1.4105556011199951
78,no_modifier,a devastating three months,a three months,2.006441354751587
78,no_numeral,a devastating three months,a devastating months,1.3024003505706787
79,order_swap,a devastating three years,a three devastating years,1.3718516826629639
79,no_article,a devastating three years,devastating three years,1.3374316692352295
79,no_modifier,a devastating three years,a three years,2.4242055416107178
79,no_numeral,a devastating three years,a devastating years,1.3243463039398193
81,order_swap,a devastating five days,a five devastating days,1.5604641437530518
81,no_article,a devastating five days,devastating five days,1.3954732418060303
81,no_modifier,a devastating five days,a five days,1.8069179058074951
81,no_numeral,a devastating five days,a devastating days,1.52695631980896
82,order_swap,a devastating five weeks,a five devastating weeks,1.558868646621704
82,no_article,a devastating five weeks,devastating five weeks,1.4858067035675049
82,no_modifier,a devastating five weeks,a five weeks,2.13863205909729
82,no_numeral,a devastating five weeks,a devastating weeks,1.177607774734497
84,order_swap,a devastating five years,a five devastating years,1.440934658050537
84,no_article,a devastating five years,devastating five years,1.369476318359375
84,no_modifier,a devastating five years,a five years,2.3624520301818848
84,no_numeral,a devastating five years,a devastating years,1.3164281845092773
88,order_swap,a devastating twenty months,a twenty devastating months,1.695199728012085
88,no_article,a devastating twenty months,devastating twenty months,1.57218337059021
88,no_modifier,a devastating twenty months,a twenty months,3.227947950363159
88,no_numeral,a devastating twenty months,a devastating months,0.6665794849395752
90,order_swap,a devastating twenty hours,a twenty devastating hours,1.7665784358978267
90,no_article,a devastating twenty hours,devastating twenty hours,1.4889409542083736
90,no_modifier,a devastating twenty hours,a twenty hours,3.096065282821655
90,no_numeral,a devastating twenty hours,a devastating hours,0.7302830219268794
94,order_swap,a pathetic three years,a three pathetic years,1.3237133026123047
94,no_article,a pathetic three years,pathetic three years,1.9861493110656738
94,no_modifier,a pathetic three years,a three years,0.8962583541870117
94,no_numeral,a pathetic three years,a pathetic years,1.833604335784912
95,order_swap,a pathetic three hours,a three pathetic hours,1.5217223167419434
95,no_article,a pathetic three hours,pathetic three hours,2.044297695159912
95,no_modifier,a pathetic three hours,a three hours,1.0823235511779785
95,no_numeral,a pathetic three hours,a pathetic hours,1.8659353256225586
98,order_swap,a pathetic five months,a five pathetic months,1.5503497123718262
98,no_article,a pathetic five months,pathetic five months,1.997640609741211
98,no_modifier,a pathetic five months,a five months,0.7519083023071289
98,no_numeral,a pathetic five months,a pathetic months,1.9150667190551758
101,order_swap,a pathetic twenty days,a twenty pathetic days,1.5244135856628418
101,no_article,a pathetic twenty days,pathetic twenty days,2.0472474098205566
101,no_modifier,a pathetic twenty days,a twenty days,1.1134815216064453
101,no_numeral,a pathetic twenty days,a pathetic days,1.3212103843688965
105,order_swap,a pathetic twenty hours,a twenty pathetic hours,1.7654690742492676
105,no_article,a pathetic twenty hours,pathetic twenty hours,2.2055864334106445
105,no_modifier,a pathetic twenty hours,a twenty hours,1.879037857055664
105,no_numeral,a pathetic twenty hours,a pathetic hours,1.1772418022155762
107,order_swap,a remarkable three weeks,a three remarkable weeks,2.2425637245178223
107,no_article,a remarkable three weeks,remarkable three weeks,2.94061279296875
107,no_modifier,a remarkable three weeks,a three weeks,0.928828239440918
107,no_numeral,a remarkable three weeks,a remarkable weeks,3.003647804260254
110,order_swap,a remarkable three hours,a three remarkable hours,2.9395971298217773
110,no_article,a remarkable three hours,remarkable three hours,3.0745577812194824
110,no_modifier,a remarkable three hours,a three hours,1.4546666145324707
110,no_numeral,a remarkable three hours,a remarkable hours,3.0366015434265137
114,order_swap,a remarkable five years,a five remarkable years,2.3124597072601323
114,no_article,a remarkable five years,remarkable five years,2.791768312454224
114,no_modifier,a remarkable five years,a five years,1.4349415302276616
114,no_numeral,a remarkable five years,a remarkable years,2.638891458511353
119,order_swap,a remarkable twenty years,a twenty remarkable years,2.679727077484131
119,no_article,a remarkable twenty years,remarkable twenty years,3.113790512084961
119,no_modifier,a remarkable twenty years,a twenty years,1.768846035003662
119,no_numeral,a remarkable twenty years,a remarkable years,2.227604389190674
120,order_swap,a remarkable twenty hours,a twenty remarkable hours,2.91876220703125
120,no_article,a remarkable twenty hours,remarkable twenty hours,3.215463638305664
120,no_modifier,a remarkable twenty hours,a twenty hours,1.7373747825622559
120,no_numeral,a remarkable twenty hours,a remarkable hours,1.8339018821716309
126,order_swap,a mediocre five days,a five mediocre days,1.3433120250701904
126,no_article,a mediocre five days,mediocre five days,1.7369482517242432
126,no_modifier,a mediocre five days,a five days,1.3287370204925537
126,no_numeral,a mediocre five days,a mediocre days,1.365710973739624
130,order_swap,a mediocre five hours,a five mediocre hours,1.616687536239624
130,no_article,a mediocre five hours,mediocre five hours,1.857954740524292
130,no_modifier,a mediocre five hours,a five hours,2.2219254970550537
130,no_numeral,a mediocre five hours,a mediocre hours,1.3568460941314697
135,order_swap,a mediocre twenty hours,a twenty mediocre hours,1.64339017868042
135,no_article,a mediocre twenty hours,mediocre twenty hours,1.8629341125488281
135,no_modifier,a mediocre twenty hours,a twenty hours,2.674992084503174
135,no_numeral,a mediocre twenty hours,a mediocre hours,0.7549476623535156
140,order_swap,an unsatisfying three hours,a three unsatisfying hours,1.4441428184509277
140,no_article,an unsatisfying three hours,unsatisfying three hours,1.6890649795532227
140,no_modifier,an unsatisfying three hours,a three hours,1.822411060333252
140,no_numeral,an unsatisfying three hours,an unsatisfying hours,1.3330998420715332
141,order_swap,an unsatisfying five days,a five unsatisfying days,1.1797840595245366
141,no_article,an unsatisfying five days,unsatisfying five days,1.5877754688262944
141,no_modifier,an unsatisfying five days,a five days,1.1278760433197026
141,no_numeral,an unsatisfying five days,an unsatisfying days,1.5267970561981206
143,order_swap,an unsatisfying five months,a five unsatisfying months,1.2958531379699707
143,no_article,an unsatisfying five months,unsatisfying five months,1.5655436515808105
143,no_modifier,an unsatisfying five months,a five months,1.5656986236572266
143,no_numeral,an unsatisfying five months,an unsatisfying months,1.2770090103149414
144,order_swap,an unsatisfying five years,a five unsatisfying years,1.005174160003662
144,no_article,an unsatisfying five years,unsatisfying five years,1.3389997482299805
144,no_modifier,an unsatisfying five years,a five years,1.5007262229919434
144,no_numeral,an unsatisfying five years,an unsatisfying years,1.2485499382019043
147,order_swap,an unsatisfying twenty weeks,a twenty unsatisfying weeks,1.3051719665527344
147,no_article,an unsatisfying twenty weeks,unsatisfying twenty weeks,1.7321076393127441
147,no_modifier,an unsatisfying twenty weeks,a twenty weeks,2.324848175048828
147,no_numeral,an unsatisfying twenty weeks,an unsatisfying weeks,0.1920299530029297
151,order_swap,a lovely three days,a three lovely days,1.6909756660461426
151,no_article,a lovely three days,lovely three days,1.9389455318450928
151,no_modifier,a lovely three days,a three days,2.1660869121551514
151,no_numeral,a lovely three days,a lovely days,1.5734679698944092
153,order_swap,a lovely three months,a three lovely months,1.739126205444336
153,no_article,a lovely three months,lovely three months,1.9371132850646973
153,no_modifier,a lovely three months,a three months,2.015888214111328
153,no_numeral,a lovely three months,a lovely months,1.3521971702575684
154,order_swap,a lovely three years,a three lovely years,1.440314769744873
154,no_article,a lovely three years,lovely three years,1.92116117477417
154,no_modifier,a lovely three years,a three years,2.05092191696167
154,no_numeral,a lovely three years,a lovely years,1.0492148399353027
155,order_swap,a lovely three hours,a three lovely hours,1.9439818859100342
155,no_article,a lovely three hours,lovely three hours,2.1134231090545654
155,no_modifier,a lovely three hours,a three hours,2.629199743270874
155,no_numeral,a lovely three hours,a lovely hours,1.2715904712677002
157,order_swap,a lovely five weeks,a five lovely weeks,1.7021121978759766
157,no_article,a lovely five weeks,lovely five weeks,2.1582274436950684
157,no_modifier,a lovely five weeks,a five weeks,2.2795538902282715
157,no_numeral,a lovely five weeks,a lovely weeks,0.9498817920684814
158,order_swap,a lovely five months,a five lovely months,1.6696200370788574
158,no_article,a lovely five months,lovely five months,1.9413843154907227
158,no_modifier,a lovely five months,a five months,2.0553832054138184
158,no_numeral,a lovely five months,a lovely months,0.9697146415710449
160,order_swap,a lovely five hours,a five lovely hours,1.8510339260101318
160,no_article,a lovely five hours,lovely five hours,2.0828616619110107
160,no_modifier,a lovely five hours,a five hours,2.6246283054351807
160,no_numeral,a lovely five hours,a lovely hours,0.8365762233734131
161,order_swap,a lovely twenty days,a twenty lovely days,1.8314909934997559
161,no_article,a lovely twenty days,lovely twenty days,1.7802443504333496
161,no_modifier,a lovely twenty days,a twenty days,2.5868096351623535
161,no_numeral,a lovely twenty days,a lovely days,0.2505760192871094
167,order_swap,a beautiful three weeks,a three beautiful weeks,1.5622496604919434
167,no_article,a beautiful three weeks,beautiful three weeks,2.7389469146728516
167,no_modifier,a beautiful three weeks,a three weeks,0.9936313629150391
167,no_numeral,a beautiful three weeks,a beautiful weeks,2.129056453704834
168,order_swap,a beautiful three months,a three beautiful months,1.4664936065673828
168,no_article,a beautiful three months,beautiful three months,2.717960834503174
168,no_modifier,a beautiful three months,a three months,0.7055907249450684
168,no_numeral,a beautiful three months,a beautiful months,1.931492805480957
171,order_swap,a beautiful five days,a five beautiful days,1.4385955333709712
171,no_article,a beautiful five days,beautiful five days,2.463170766830444
171,no_modifier,a beautiful five days,a five days,1.0248320102691646
171,no_numeral,a beautiful five days,a beautiful days,1.794835805892944
173,order_swap,a beautiful five months,a five beautiful months,1.3353309631347656
173,no_article,a beautiful five months,beautiful five months,2.8617000579833984
173,no_modifier,a beautiful five months,a five months,0.6739559173583984
173,no_numeral,a beautiful five months,a beautiful months,1.4778804779052734
177,order_swap,a beautiful twenty weeks,a twenty beautiful weeks,1.633063793182373
177,no_article,a beautiful twenty weeks,beautiful twenty weeks,3.1871848106384277
177,no_modifier,a beautiful twenty weeks,a twenty weeks,1.4131889343261719
177,no_numeral,a beautiful twenty weeks,a beautiful weeks,0.11426019668579102
179,order_swap,a beautiful twenty years,a twenty beautiful years,1.5848069190979004
179,no_article,a beautiful twenty years,beautiful twenty years,2.781982898712158
179,no_modifier,a beautiful twenty years,a twenty years,0.8627910614013672
179,no_numeral,a beautiful twenty years,a beautiful years,0.989501953125
180,order_swap,a beautiful twenty hours,a twenty beautiful hours,1.9717035293579102
180,no_article,a beautiful twenty hours,beautiful twenty hours,2.839040756225586
180,no_modifier,a beautiful twenty hours,a twenty hours,1.4686007499694824
180,no_numeral,a beautiful twenty hours,a beautiful hours,0.7660160064697266
185,order_swap,an enchanting three hours,a three enchanting hours,1.5888972282409668
185,no_article,an enchanting three hours,enchanting three hours,1.3052234649658203
185,no_modifier,an enchanting three hours,a three hours,2.3596930503845215
185,no_numeral,an enchanting three hours,an enchanting hours,1.0325255393981934
188,order_swap,an enchanting five months,a five enchanting months,1.257976770401001
188,no_article,an enchanting five months,enchanting five months,1.2650892734527588
188,no_modifier,an enchanting five months,a five months,1.9431602954864502
188,no_numeral,an enchanting five months,an enchanting months,0.9757711887359619
189,order_swap,an enchanting five years,a five enchanting years,1.0070252418518066
189,no_article,an enchanting five years,enchanting five years,1.1842145919799805
189,no_modifier,an enchanting five years,a five years,1.757617473602295
189,no_numeral,an enchanting five years,an enchanting years,0.9524335861206055
197,order_swap,a soothing three weeks,a three soothing weeks,1.5028700828552246
197,no_article,a soothing three weeks,soothing three weeks,2.4332547187805176
197,no_modifier,a soothing three weeks,a three weeks,0.7118344306945801
197,no_numeral,a soothing three weeks,a soothing weeks,1.8572449684143066
199,order_swap,a soothing three years,a three soothing years,1.177739143371582
199,no_article,a soothing three years,soothing three years,2.0083794593811035
199,no_modifier,a soothing three years,a three years,0.6574387550354004
199,no_numeral,a soothing three years,a soothing years,1.5842838287353516
200,order_swap,a soothing three hours,a three soothing hours,1.538848876953125
200,no_article,a soothing three hours,soothing three hours,2.440277099609375
200,no_modifier,a soothing three hours,a three hours,1.3140387535095215
200,no_numeral,a soothing three hours,a soothing hours,1.513397216796875
203,order_swap,a soothing five months,a five soothing months,1.2163820266723633
203,no_article,a soothing five months,soothing five months,2.3131918907165527
203,no_modifier,a soothing five months,a five months,0.771336555480957
203,no_numeral,a soothing five months,a soothing months,1.5211687088012695
205,order_swap,a soothing five hours,a five soothing hours,1.1611213684082031
205,no_article,a soothing five hours,soothing five hours,2.362438201904297
205,no_modifier,a soothing five hours,a five hours,1.421159267425537
205,no_numeral,a soothing five hours,a soothing hours,1.1900749206542969
208,order_swap,a soothing twenty months,a twenty soothing months,1.271026611328125
208,no_article,a soothing twenty months,soothing twenty months,2.3333897590637207
208,no_modifier,a soothing twenty months,a twenty months,1.3231353759765625
208,no_numeral,a soothing twenty months,a soothing months,0.6376175880432129
209,order_swap,a soothing twenty years,a twenty soothing years,1.2302474975585938
209,no_article,a soothing twenty years,soothing twenty years,2.124546527862549
209,no_modifier,a soothing twenty years,a twenty years,0.8200473785400391
209,no_numeral,a soothing twenty years,a soothing years,1.0555362701416016
212,order_swap,a charming three weeks,a three charming weeks,1.3075602054595947
212,no_article,a charming three weeks,charming three weeks,1.9702270030975342
212,no_modifier,a charming three weeks,a three weeks,0.9801976680755615
212,no_numeral,a charming three weeks,a charming weeks,1.61409592628479
214,order_swap,a charming three years,a three charming years,0.9290628433227539
214,no_article,a charming three years,charming three years,1.8585724830627441
214,no_modifier,a charming three years,a three years,0.815584659576416
214,no_numeral,a charming three years,a charming years,1.1913437843322754
216,order_swap,a charming five days,a five charming days,1.1168489456176753
216,no_article,a charming five days,charming five days,1.7469277381896968
216,no_modifier,a charming five days,a five days,1.0190286636352535
216,no_numeral,a charming five days,a charming days,1.4083266258239742
217,order_swap,a charming five weeks,a five charming weeks,1.1445012092590332
217,no_article,a charming five weeks,charming five weeks,1.9476723670959473
217,no_modifier,a charming five weeks,a five weeks,1.1041922569274902
217,no_numeral,a charming five weeks,a charming weeks,1.1973881721496582
219,order_swap,a charming five years,a five charming years,0.7945270538330078
219,no_article,a charming five years,charming five years,1.8522868156433105
219,no_modifier,a charming five years,a five years,0.731743335723877
219,no_numeral,a charming five years,a charming years,1.1613378524780273
222,order_swap,a charming twenty weeks,a twenty charming weeks,1.2384300231933594
222,no_article,a charming twenty weeks,charming twenty weeks,2.137510299682617
222,no_modifier,a charming twenty weeks,a twenty weeks,1.8055100440979004
222,no_numeral,a charming twenty weeks,a charming weeks,0.005054473876953125
225,order_swap,a charming twenty hours,a twenty charming hours,1.3750042915344238
225,no_article,a charming twenty hours,charming twenty hours,2.033712863922119
225,no_modifier,a charming twenty hours,a twenty hours,1.934077262878418
225,no_numeral,a charming twenty hours,a charming hours,0.28534889221191406
229,order_swap,a disgusting three years,a three disgusting years,1.1936771869659424
229,no_article,a disgusting three years,disgusting three years,1.2846291065216064
229,no_modifier,a disgusting three years,a three years,2.2913715839385986
229,no_numeral,a disgusting three years,a disgusting years,0.7674469947814941
232,order_swap,a disgusting five weeks,a five disgusting weeks,1.0670747756958008
232,no_article,a disgusting five weeks,disgusting five weeks,1.3671259880065918
232,no_modifier,a disgusting five weeks,a five weeks,2.1407275199890137
232,no_numeral,a disgusting five weeks,a disgusting weeks,0.706204891204834
233,order_swap,a disgusting five months,a five disgusting months,1.2507903575897217
233,no_article,a disgusting five months,disgusting five months,1.3177592754364014
233,no_modifier,a disgusting five months,a five months,2.279851198196411
233,no_numeral,a disgusting five months,a disgusting months,0.8634140491485596
235,order_swap,a disgusting five hours,a five disgusting hours,1.222947120666504
235,no_article,a disgusting five hours,disgusting five hours,1.2487120628356934
235,no_modifier,a disgusting five hours,a five hours,2.822275161743164
235,no_numeral,a disgusting five hours,a disgusting hours,0.7830798625946045
237,order_swap,a disgusting twenty weeks,a twenty disgusting weeks,1.1842434406280518
237,no_article,a disgusting twenty weeks,disgusting twenty weeks,1.5109837055206299
237,no_modifier,a disgusting twenty weeks,a twenty weeks,3.310206174850464
237,no_numeral,a disgusting twenty weeks,a disgusting weeks,-0.017967939376831055
238,order_swap,a disgusting twenty months,a twenty disgusting months,1.2956855297088623
238,no_article,a disgusting twenty months,disgusting twenty months,1.383378267288208
238,no_modifier,a disgusting twenty months,a twenty months,3.1132309436798096
238,no_numeral,a disgusting twenty months,a disgusting months,0.2614438533782959
239,order_swap,a disgusting twenty years,a twenty disgusting years,1.2560551166534424
239,no_article,a disgusting twenty years,disgusting twenty years,1.2310035228729248
239,no_modifier,a disgusting twenty years,a twenty years,2.6117947101593018
239,no_numeral,a disgusting twenty years,a disgusting years,0.3965139389038086
242,order_swap,an uninviting three weeks,a three uninviting weeks,1.1791791915893555
242,no_article,an uninviting three weeks,uninviting three weeks,2.153027057647705
242,no_modifier,an uninviting three weeks,a three weeks,0.34352588653564453
242,no_numeral,an uninviting three weeks,an uninviting weeks,1.3993968963623047
247,order_swap,an uninviting five weeks,a five uninviting weeks,1.1581497192382812
247,no_article,an uninviting five weeks,uninviting five weeks,2.2076544761657715
247,no_modifier,an uninviting five weeks,a five weeks,0.6319928169250488
247,no_numeral,an uninviting five weeks,an uninviting weeks,1.1471614837646484
248,order_swap,an uninviting five months,a five uninviting months,1.2623276710510254
248,no_article,an uninviting five months,uninviting five months,2.1454858779907227
248,no_modifier,an uninviting five months,a five months,0.8359489440917969
248,no_numeral,an uninviting five months,an uninviting months,1.278244972229004
249,order_swap,an uninviting five years,a five uninviting years,1.0487475395202637
249,no_article,an uninviting five years,uninviting five years,2.0727381706237793
249,no_modifier,an uninviting five years,a five years,0.7836184501647949
249,no_numeral,an uninviting five years,an uninviting years,1.2538042068481445
256,order_swap,a haunting three days,a three haunting days,1.0799329280853271
256,no_article,a haunting three days,haunting three days,1.6484062671661377
256,no_modifier,a haunting three days,a three days,0.9703876972198486
256,no_numeral,a haunting three days,a haunting days,1.444779634475708
257,order_swap,a haunting three weeks,a three haunting weeks,1.2320737838745117
257,no_article,a haunting three weeks,haunting three weeks,1.8234596252441406
257,no_modifier,a haunting three weeks,a three weeks,1.1736063957214355
257,no_numeral,a haunting three weeks,a haunting weeks,1.2378325462341309
259,order_swap,a haunting three years,a three haunting years,1.249840497970581
259,no_article,a haunting three years,haunting three years,1.5780079364776611
259,no_modifier,a haunting three years,a three years,1.7158472537994385
259,no_numeral,a haunting three years,a haunting years,1.2073185443878174
262,order_swap,a haunting five weeks,a five haunting weeks,1.1688883304595952
262,no_article,a haunting five weeks,haunting five weeks,1.7796027660369877
262,no_modifier,a haunting five weeks,a five weeks,1.3665764331817631
262,no_numeral,a haunting five weeks,a haunting weeks,0.8901002407073979
263,order_swap,a haunting five months,a five haunting months,1.3365952968597412
263,no_article,a haunting five months,haunting five months,1.8202965259552002
263,no_modifier,a haunting five months,a five months,1.5674769878387451
263,no_numeral,a haunting five months,a haunting months,1.0911543369293213
264,order_swap,a haunting five years,a five haunting years,1.1086623668670654
264,no_article,a haunting five years,haunting five years,1.5405633449554443
264,no_modifier,a haunting five years,a five years,1.5372340679168701
264,no_numeral,a haunting five years,a haunting years,1.08254075050354
265,order_swap,a haunting five hours,a five haunting hours,1.0360820293426518
265,no_article,a haunting five hours,haunting five hours,1.7354552745819096
265,no_modifier,a haunting five hours,a five hours,1.9116938114166264
265,no_numeral,a haunting five hours,a haunting hours,0.7226741313934331
268,order_swap,a haunting twenty months,a twenty haunting months,1.7515215873718262
268,no_article,a haunting twenty months,haunting twenty months,1.777627944946289
268,no_modifier,a haunting twenty months,a twenty months,2.502035617828369
268,no_numeral,a haunting twenty months,a haunting months,0.5903630256652832
269,order_swap,a haunting twenty years,a twenty haunting years,1.6747450828552246
269,no_article,a haunting twenty years,haunting twenty years,1.5421319007873535
269,no_modifier,a haunting twenty years,a twenty years,2.0521349906921387
269,no_numeral,a haunting twenty years,a haunting years,0.8522500991821289
270,order_swap,a haunting twenty hours,a twenty haunting hours,1.605865478515625
270,no_article,a haunting twenty hours,haunting twenty hours,1.714902400970459
270,no_modifier,a haunting twenty hours,a twenty hours,2.530367851257324
270,no_numeral,a haunting twenty hours,a haunting hours,0.28638315200805664
275,order_swap,a hideous three hours,a three hideous hours,1.5005717277526855
275,no_article,a hideous three hours,hideous three hours,2.313000202178955
275,no_modifier,a hideous three hours,a three hours,1.3227910995483398
275,no_numeral,a hideous three hours,a hideous hours,1.5934233665466309
278,order_swap,a hideous five months,a five hideous months,1.9303779602050781
278,no_article,a hideous five months,hideous five months,2.354071617126465
278,no_modifier,a hideous five months,a five months,1.2383356094360352
