HITId,WorkerId,batch,kind,itemnum,value,English,country,answer,sentence
adjH54,adjS196,1,Input.id,1,hideous-twenty-weeks-sent-temporal-2,TRUE,TRUE,5,The tourish stayed a hideous twenty weeks in Papua New Guinea.
adjH161,adjS159,1,Input.id,1,beautiful-twenty-cans-sent-objects-2,TRUE,TRUE,3,Someone saw a beautiful twenty cans.
adjH127,adjS64,1,Input.id,1,meager-twenty-books-sent-art-1,TRUE,TRUE,6,I experienced a meager twenty books.
adjH131,adjS28,1,Input.id,1,hopeful-five-bankers-sent-human-2,TRUE,TRUE,8,We congratulated a hopeful five bankers.
adjH82,adjS199,1,Input.id,1,devastating-three-athletes-sent-human-1,TRUE,TRUE,3,A devastating three athletes greeted us at the door.
adjH64,adjS33,1,Input.id,1,pathetic-twenty-acts-sent-unitlike-0,TRUE,TRUE,9,Luis took in a pathetic twenty acts.
adjH75,adjS49,1,Input.id,1,meager-five-days-sent-temporal-1,TRUE,TRUE,7,The diplomat worked a meager five days in Nairobi.
adjH103,adjS13,1,Input.id,1,pathetic-twenty-pianists-sent-human-0,TRUE,TRUE,8,We served dinner to a pathetic twenty pianists.
adjH112,adjS86,1,Input.id,1,devastating-five-pencils-sent-objects-0,TRUE,TRUE,5,She bought a devastating five pencils.
adjH84,adjS155,1,Input.id,1,enchanting-twenty-operas-sent-art-0,TRUE,TRUE,10,The newspaper reviewed an enchanting twenty operas.
adjH69,adjS132,1,Input.id,1,ugly-five-desks-sent-objects-0,TRUE,TRUE,2,She bought an ugly five desks.
adjH122,adjS113,1,Input.id,1,orange-three-bananas-sent-objects-2,TRUE,TRUE,2,Someone saw an orange three bananas.
adjH80,adjS137,1,Input.id,1,green-twenty-bananas-sent-objects-1,TRUE,TRUE,2,They discovered a green twenty bananas.
adjH129,adjS92,1,Input.id,1,mediocre-five-years-sent-temporal-2,TRUE,TRUE,6,The tourish stayed a mediocre five years in Papua New Guinea.
adjH199,adjS193,1,Input.id,1,unsatisfying-twenty-hours-sent-temporal-2,TRUE,TRUE,9,The tourish stayed an unsatisfying twenty hours in Papua New Guinea.
adjH7,adjS50,1,Input.id,1,paltry-three-awards-sent-unitlike-1,TRUE,TRUE,1,They consumed a paltry three awards.
adjH194,adjS95,1,Input.id,1,whopping-twenty-years-sent-temporal-1,TRUE,TRUE,8,The diplomat worked a whopping twenty years in Nairobi.
adjH86,adjS134,1,Input.id,1,disappointing-three-desks-sent-objects-1,TRUE,TRUE,8,They discovered a disappointing three desks.
adjH83,adjS148,1,Input.id,1,lovely-three-steps-sent-distance-1,TRUE,TRUE,5,Somone walked a lovely three steps.
adjH114,adjS129,1,Input.id,1,record-setting-three-chairs-sent-objects-1,TRUE,TRUE,8,They discovered a record-setting three chairs.
adjH188,adjS177,1,Input.id,1,impressive-three-shows-sent-art-1,TRUE,TRUE,6,I experienced an impressive three shows.
adjH91,adjS66,1,Input.id,1,meager-three-books-sent-art-1,TRUE,TRUE,7,I experienced a meager three books.
adjH6,adjS116,1,Input.id,1,enchanting-three-yards-sent-distance-2,TRUE,TRUE,2,Someone traveled an enchanting three yards.
adjH97,adjS65,1,Input.id,1,impressive-three-steps-sent-distance-0,TRUE,TRUE,10,He drove an impressive three steps.
adjH49,adjS97,1,Input.id,1,lovely-twenty-athletes-sent-human-1,TRUE,TRUE,7,A lovely twenty athletes greeted us at the door.
adjH51,adjS105,1,Input.id,1,substantial-five-feet-sent-distance-1,TRUE,TRUE,8,Somone walked a substantial five feet.
adjH128,adjS119,1,Input.id,1,remarkable-twenty-meals-sent-unitlike-0,TRUE,TRUE,8,Luis took in a remarkable twenty meals.
adjH36,adjS96,1,Input.id,1,blue-twenty-marbles-sent-objects-2,TRUE,TRUE,1,Someone saw a blue twenty marbles.
adjH52,adjS12,1,Input.id,1,extra-five-chairs-sent-objects-2,TRUE,TRUE,8,Someone saw an extra five chairs.
adjH56,adjS171,1,Input.id,1,pathetic-three-meters-sent-distance-2,TRUE,TRUE,8,Someone traveled a pathetic three meters.
adjH10,adjS127,1,Input.id,1,devastating-three-weeks-sent-temporal-1,TRUE,TRUE,9,The diplomat worked a devastating three weeks in Nairobi.
adjH45,adjS11,1,Input.id,1,measly-three-Americans-sent-human-2,TRUE,TRUE,5,We congratulated a measly three Americans.
adjH30,adjS147,1,Input.id,1,grinning-five-pianists-sent-human-0,TRUE,TRUE,2,We served dinner to a grinning five pianists.
adjH113,adjS23,1,Input.id,1,haunting-twenty-actors-sent-human-0,TRUE,TRUE,2,We served dinner to a haunting twenty actors.
adjH48,adjS198,1,Input.id,1,staggering-five-forks-sent-objects-1,TRUE,TRUE,9,They discovered a staggering five forks.
adjH181,adjS145,1,Input.id,1,record-setting-twenty-awards-sent-unitlike-0,TRUE,TRUE,9,Luis took in a record-setting twenty awards.
adjH12,adjS42,1,Input.id,1,staggering-twenty-books-sent-art-1,TRUE,TRUE,6,I experienced a staggering twenty books.
adjH185,adjS130,1,Input.id,1,mediocre-five-cans-sent-objects-1,TRUE,TRUE,4,They discovered a mediocre five cans.
adjH120,adjS121,1,Input.id,1,record-setting-three-hours-sent-temporal-2,TRUE,TRUE,8,The tourish stayed a record-setting three hours in Papua New Guinea.
adjH172,adjS38,1,Input.id,1,extra-five-meters-sent-distance-2,TRUE,TRUE,10,Someone traveled an extra five meters.
adjH95,adjS84,1,Input.id,1,haunting-three-yards-sent-distance-2,FALSE,FALSE,2,Someone traveled a haunting three yards.
adjH125,adjS47,1,Input.id,1,hideous-five-lawyers-sent-human-0,TRUE,TRUE,4,We served dinner to a hideous five lawyers.
adjH133,adjS153,1,Input.id,1,soothing-three-paragraphs-sent-unitlike-2,TRUE,TRUE,4,It lasted a soothing three paragraphs.
adjH23,adjS146,1,Input.id,1,whopping-five-days-sent-temporal-1,TRUE,TRUE,9,The diplomat worked a whopping five days in Nairobi.
adjH107,adjS2,1,Input.id,1,lovely-three-pianists-sent-human-0,TRUE,TRUE,3,We served dinner to a lovely three pianists.
adjH197,adjS15,1,Input.id,1,charming-five-teammates-sent-human-0,TRUE,TRUE,9,We served dinner to a charming five teammates.
adjH137,adjS135,1,Input.id,1,meager-three-feet-sent-distance-2,TRUE,TRUE,10,Someone traveled a meager three feet.
adjH55,adjS133,1,Input.id,1,mere-three-hours-sent-temporal-2,TRUE,TRUE,9,The tourish stayed a mere three hours in Papua New Guinea.
adjH66,adjS144,1,Input.id,1,incredible-five-blocks-sent-distance-2,TRUE,TRUE,8,Someone traveled an incredible five blocks.
adjH15,adjS3,1,Input.id,1,soothing-three-blocks-sent-distance-1,TRUE,TRUE,7,Somone walked a soothing three blocks.
adjH57,adjS194,1,Input.id,1,extra-three-days-sent-temporal-1,TRUE,TRUE,9,The diplomat worked an extra three days in Nairobi.
adjH74,adjS54,1,Input.id,1,unsatisfying-five-bankers-sent-human-1,TRUE,TRUE,3,An unsatisfying five bankers greeted us at the door.
adjH156,adjS124,1,Input.id,1,remarkable-three-weeks-sent-temporal-2,TRUE,TRUE,8,The tourish stayed a remarkable three weeks in Papua New Guinea.
adjH135,adjS88,1,Input.id,1,staggering-three-acts-sent-unitlike-1,FALSE,TRUE,10,They consumed a staggering three acts.
adjH182,adjS166,1,Input.id,1,disappointing-twenty-trays-sent-objects-0,TRUE,TRUE,7,She bought a disappointing twenty trays.
adjH43,adjS164,1,Input.id,1,disgusting-five-athletes-sent-human-1,FALSE,TRUE,3,A disgusting five athletes greeted us at the door.
adjH101,adjS7,1,Input.id,1,beautiful-twenty-students-sent-human-2,TRUE,TRUE,7,We congratulated a beautiful twenty students.
adjH111,adjS106,1,Input.id,1,soothing-three-apples-sent-objects-0,FALSE,TRUE,2,She bought a soothing three apples.
adjH169,adjS173,1,Input.id,1,devastating-three-steps-sent-distance-1,TRUE,TRUE,8,Somone walked a devastating three steps.
adjH191,adjS16,1,Input.id,1,unsatisfying-five-belts-sent-objects-2,TRUE,TRUE,3,Someone saw an unsatisfying five belts.
adjH187,adjS63,1,Input.id,1,disappointing-three-hours-sent-temporal-0,TRUE,TRUE,10,The family spent a disappointing three hours in London.
adjH16,adjS158,1,Input.id,1,yellow-five-bananas-sent-objects-1,TRUE,TRUE,2,They discovered a yellow five bananas.
adjH88,adjS79,1,Input.id,1,measly-three-awards-sent-unitlike-1,TRUE,TRUE,4,They consumed a measly three awards.
adjH200,adjS30,1,Input.id,1,large-twenty-pianists-sent-human-1,TRUE,TRUE,2,A large twenty pianists greeted us at the door.
adjH148,adjS126,1,Input.id,1,impressive-twenty-students-sent-human-2,TRUE,TRUE,6,We congratulated an impressive twenty students.
adjH38,adjS141,1,Input.id,1,hefty-three-meters-sent-distance-0,TRUE,TRUE,9,He drove a hefty three meters.
adjH92,adjS191,1,Input.id,1,record-setting-five-chairs-sent-objects-1,TRUE,TRUE,9,They discovered a record-setting five chairs.
adjH158,adjS52,1,Input.id,1,haunting-twenty-acts-sent-unitlike-1,TRUE,TRUE,1,They consumed a haunting twenty acts.
adjH117,adjS152,1,Input.id,1,lovely-five-blocks-sent-distance-1,TRUE,TRUE,3,Somone walked a lovely five blocks.
adjH140,adjS41,1,Input.id,1,whopping-three-meals-sent-unitlike-1,TRUE,TRUE,10,They consumed a whopping three meals.
adjH110,adjS122,1,Input.id,1,beautiful-five-steps-sent-distance-2,TRUE,TRUE,4,Someone traveled a beautiful five steps.
adjH115,adjS5,1,Input.id,1,mediocre-twenty-years-sent-temporal-2,TRUE,TRUE,2,The tourish stayed a mediocre twenty years in Papua New Guinea.
adjH47,adjS31,1,Input.id,1,impressive-twenty-hours-sent-temporal-0,TRUE,TRUE,9,The family spent an impressive twenty hours in London.
adjH71,adjS18,1,Input.id,1,measly-twenty-books-sent-art-1,TRUE,TRUE,2,I experienced a measly twenty books.
adjH85,adjS161,1,Input.id,1,mediocre-three-meals-sent-unitlike-2,TRUE,TRUE,8,It lasted a mediocre three meals.
adjH184,adjS128,1,Input.id,1,staggering-three-paintings-sent-art-2,TRUE,TRUE,2,Please enjoy a staggering three paintings.
adjH166,adjS154,1,Input.id,1,staggering-three-chairs-sent-objects-0,TRUE,TRUE,8,She bought a staggering three chairs.
adjH28,adjS26,1,Input.id,1,unsatisfying-five-movies-sent-art-0,TRUE,TRUE,3,The newspaper reviewed an unsatisfying five movies.
adjH176,adjS140,1,Input.id,1,pathetic-twenty-days-sent-temporal-2,TRUE,TRUE,5,The tourish stayed a pathetic twenty days in Papua New Guinea.
adjH70,adjS114,1,Input.id,1,surprising-three-operas-sent-art-2,TRUE,TRUE,4,Please enjoy a surprising three operas.
adjH108,adjS115,1,Input.id,1,paltry-three-weeks-sent-temporal-2,FALSE,FALSE,10,The tourish stayed a paltry three weeks in Papua New Guinea.
adjH13,adjS78,1,Input.id,1,pathetic-three-doctors-sent-human-2,TRUE,TRUE,2,We congratulated a pathetic three doctors.
adjH19,adjS46,1,Input.id,10,meager-three-paintings-sent-art-0,TRUE,TRUE,9,The newspaper reviewed a meager three paintings.
adjH149,adjS61,1,Input.id,10,big-twenty-desks-sent-objects-0,FALSE,FALSE,4,She bought a big twenty desks.
adjH1,adjS176,1,Input.id,10,soothing-three-acts-sent-unitlike-0,TRUE,TRUE,2,Luis took in a soothing three acts.
adjH62,adjS80,1,Input.id,10,measly-twenty-months-sent-temporal-2,TRUE,TRUE,10,The tourish stayed a measly twenty months in Papua New Guinea.
adjH72,adjS60,1,Input.id,10,astonishing-three-acts-sent-unitlike-2,TRUE,TRUE,10,It lasted an astonishing three acts.
adjH99,adjS83,1,Input.id,10,record-setting-twenty-shows-sent-art-0,TRUE,TRUE,9,The newspaper reviewed a record-setting twenty shows.
adjH195,adjS183,1,Input.id,10,remarkable-three-actors-sent-human-0,TRUE,TRUE,4,We served dinner to a remarkable three actors.
adjH150,adjS168,1,Input.id,10,paltry-twenty-years-sent-temporal-0,TRUE,TRUE,10,The family spent a paltry twenty years in London.
adjH20,adjS109,1,Input.id,10,astonishing-twenty-months-sent-temporal-2,TRUE,TRUE,10,The tourish stayed an astonishing twenty months in Papua New Guinea.
adjH14,adjS181,1,Input.id,10,mediocre-three-feet-sent-distance-0,TRUE,TRUE,9,He drove a mediocre three feet.
adjH144,adjS123,1,Input.id,10,substantial-three-meals-sent-unitlike-0,TRUE,TRUE,10,Luis took in a substantial three meals.
adjH151,adjS48,1,Input.id,10,ugly-twenty-meters-sent-distance-2,FALSE,FALSE,10,Someone traveled an ugly twenty meters.
adjH81,adjS143,1,Input.id,10,unsatisfying-three-weeks-sent-temporal-1,TRUE,TRUE,9,The diplomat worked an unsatisfying three weeks in Nairobi.
adjH63,adjS200,1,Input.id,10,remarkable-twenty-cans-sent-objects-2,TRUE,TRUE,8,Someone saw a remarkable twenty cans.
adjH37,adjS62,1,Input.id,10,uninviting-twenty-feet-sent-distance-2,TRUE,TRUE,4,Someone traveled an uninviting twenty feet.
adjH26,adjS73,1,Input.id,10,ugly-three-chairs-sent-objects-2,TRUE,TRUE,8,Someone saw an ugly three chairs.
adjH87,adjS6,1,Input.id,10,disappointing-twenty-movies-sent-art-1,TRUE,TRUE,6,I experienced a disappointing twenty movies.
adjH50,adjS32,1,Input.id,10,round-twenty-apples-sent-objects-0,TRUE,TRUE,9,She bought a round twenty apples.
adjH165,adjS85,1,Input.id,10,disappointing-three-belts-sent-objects-0,TRUE,TRUE,8,She bought a disappointing three belts.
adjH141,adjS160,1,Input.id,10,mediocre-five-feet-sent-distance-1,TRUE,TRUE,9,Somone walked a mediocre five feet.
adjH119,adjS57,1,Input.id,10,unsatisfying-twenty-pencils-sent-objects-2,TRUE,TRUE,9,Someone saw an unsatisfying twenty pencils.
adjH78,adjS178,1,Input.id,10,remarkable-three-hours-sent-temporal-0,TRUE,TRUE,10,The family spent a remarkable three hours in London.
adjH65,adjS104,1,Input.id,10,unsatisfying-five-bankers-sent-human-0,TRUE,TRUE,8,We served dinner to an unsatisfying five bankers.
adjH146,adjS162,1,Input.id,10,staggering-five-acts-sent-unitlike-1,TRUE,TRUE,9,They consumed a staggering five acts.
adjH157,adjS151,1,Input.id,10,record-setting-five-days-sent-temporal-1,TRUE,TRUE,10,The diplomat worked a record-setting five days in Nairobi.
adjH3,adjS111,1,Input.id,10,devastating-twenty-months-sent-temporal-1,TRUE,TRUE,9,The diplomat worked a devastating twenty months in Nairobi.
adjH9,adjS77,1,Input.id,10,beautiful-twenty-blocks-sent-distance-0,TRUE,TRUE,9,He drove a beautiful twenty blocks.
adjH58,adjS150,1,Input.id,10,fancy-three-actors-sent-human-1,TRUE,TRUE,2,A fancy three actors greeted us at the door.
adjH145,adjS179,1,Input.id,10,uninviting-five-years-sent-temporal-0,TRUE,TRUE,9,The family spent an uninviting five years in London.
adjH154,adjS34,1,Input.id,10,paltry-twenty-feet-sent-distance-1,TRUE,TRUE,10,Somone walked a paltry twenty feet.
adjH39,adjS170,1,Input.id,10,shy-twenty-Americans-sent-human-0,TRUE,TRUE,8,We served dinner to a shy twenty Americans.
adjH127,adjS64,1,Input.id,10,lovely-twenty-meters-sent-distance-2,TRUE,TRUE,4,Someone traveled a lovely twenty meters.
adjH131,adjS28,1,Input.id,10,meager-twenty-operas-sent-art-2,TRUE,TRUE,9,Please enjoy a meager twenty operas.
adjH82,adjS199,1,Input.id,10,haunting-three-years-sent-temporal-1,TRUE,TRUE,10,The diplomat worked a haunting three years in Nairobi.
adjH186,adjS189,1,Input.id,10,hefty-three-cans-sent-objects-1,TRUE,TRUE,3,They discovered a hefty three cans.
adjH75,adjS49,1,Input.id,10,big-twenty-bananas-sent-objects-2,TRUE,TRUE,2,Someone saw a big twenty bananas.
adjH179,adjS165,1,Input.id,10,extra-three-meters-sent-distance-0,TRUE,TRUE,10,He drove an extra three meters.
adjH84,adjS155,1,Input.id,10,uninviting-twenty-paintings-sent-art-1,TRUE,TRUE,2,I experienced an uninviting twenty paintings.
adjH33,adjS82,1,Input.id,10,talented-three-pianists-sent-human-0,TRUE,TRUE,5,We served dinner to a talented three pianists.
adjH24,adjS131,1,Input.id,10,whopping-three-paragraphs-sent-unitlike-2,TRUE,TRUE,10,It lasted a whopping three paragraphs.
adjH122,adjS113,1,Input.id,10,charming-twenty-years-sent-temporal-2,TRUE,TRUE,2,The tourish stayed a charming twenty years in Papua New Guinea.
adjH22,adjS76,1,Input.id,10,lovely-five-hours-sent-temporal-1,TRUE,TRUE,10,The diplomat worked a lovely five hours in Nairobi.
adjH130,adjS58,1,Input.id,10,pathetic-five-teammates-sent-human-0,TRUE,TRUE,8,We served dinner to a pathetic five teammates.
adjH173,adjS37,1,Input.id,10,mediocre-three-meals-sent-unitlike-0,TRUE,TRUE,9,Luis took in a mediocre three meals.
adjH80,adjS137,1,Input.id,10,measly-twenty-years-sent-temporal-0,TRUE,TRUE,5,The family spent a measly twenty years in London.
adjH199,adjS193,1,Input.id,10,record-setting-twenty-weeks-sent-temporal-0,TRUE,TRUE,10,The family spent a record-setting twenty weeks in London.
adjH194,adjS95,1,Input.id,10,yellow-twenty-chairs-sent-objects-0,TRUE,TRUE,4,She bought a yellow twenty chairs.
adjH76,adjS29,1,Input.id,10,uninviting-five-students-sent-human-1,TRUE,TRUE,8,An uninviting five students greeted us at the door.
adjH86,adjS134,1,Input.id,10,disgusting-twenty-years-sent-temporal-2,TRUE,TRUE,9,The tourish stayed a disgusting twenty years in Papua New Guinea.
adjH168,adjS90,1,Input.id,10,remarkable-twenty-movies-sent-art-2,TRUE,TRUE,9,Please enjoy a remarkable twenty movies.
adjH8,adjS112,1,Input.id,10,graceful-three-bankers-sent-human-0,TRUE,TRUE,1,We served dinner to a graceful three bankers.
adjH31,adjS4,1,Input.id,10,meager-five-meters-sent-distance-1,TRUE,TRUE,8,Somone walked a meager five meters.
adjH177,adjS138,1,Input.id,10,impressive-five-weeks-sent-temporal-2,TRUE,TRUE,7,The tourish stayed an impressive five weeks in Papua New Guinea.
adjH83,adjS148,1,Input.id,10,hefty-three-years-sent-temporal-2,TRUE,TRUE,9,The tourish stayed a hefty three years in Papua New Guinea.
adjH67,adjS68,1,Input.id,10,record-setting-five-books-sent-art-2,TRUE,TRUE,9,Please enjoy a record-setting five books.
adjH188,adjS177,1,Input.id,10,disgusting-three-years-sent-temporal-0,TRUE,TRUE,10,The family spent a disgusting three years in London.
adjH91,adjS66,1,Input.id,10,enchanting-five-pages-sent-unitlike-0,TRUE,TRUE,10,Luis took in an enchanting five pages.
adjH6,adjS116,1,Input.id,10,soothing-five-months-sent-temporal-1,TRUE,TRUE,7,The diplomat worked a soothing five months in Nairobi.
adjH97,adjS65,1,Input.id,10,astonishing-three-doctors-sent-human-2,TRUE,TRUE,9,We congratulated an astonishing three doctors.
adjH49,adjS97,1,Input.id,10,beautiful-twenty-trays-sent-objects-2,TRUE,TRUE,8,Someone saw a beautiful twenty trays.
adjH51,adjS105,1,Input.id,10,mediocre-five-meals-sent-unitlike-2,TRUE,TRUE,9,It lasted a mediocre five meals.
adjH36,adjS96,1,Input.id,10,mediocre-twenty-paragraphs-sent-unitlike-0,TRUE,TRUE,9,Luis took in a mediocre twenty paragraphs.
adjH52,adjS12,1,Input.id,10,mediocre-five-feet-sent-distance-2,TRUE,TRUE,7,Someone traveled a mediocre five feet.
adjH68,adjS22,1,Input.id,10,hideous-twenty-days-sent-temporal-0,TRUE,TRUE,10,The family spent a hideous twenty days in London.
adjH116,adjS103,1,Input.id,10,surprising-three-steps-sent-distance-2,TRUE,TRUE,7,Someone traveled a surprising three steps.
adjH109,adjS157,1,Input.id,10,hefty-twenty-shows-sent-art-2,TRUE,TRUE,8,Please enjoy a hefty twenty shows.
adjH10,adjS127,1,Input.id,10,surprising-three-meters-sent-distance-0,TRUE,TRUE,10,He drove a surprising three meters.
adjH196,adjS118,1,Input.id,10,lovely-twenty-athletes-sent-human-0,TRUE,TRUE,8,We served dinner to a lovely twenty athletes.
adjH48,adjS198,1,Input.id,10,soothing-twenty-books-sent-art-0,TRUE,TRUE,8,The newspaper reviewed a soothing twenty books.
adjH181,adjS145,1,Input.id,10,pathetic-five-teammates-sent-human-1,TRUE,TRUE,6,A pathetic five teammates greeted us at the door.
adjH104,adjS192,1,Input.id,10,paltry-five-meters-sent-distance-2,TRUE,TRUE,10,Someone traveled a paltry five meters.
adjH170,adjS10,1,Input.id,10,beautiful-twenty-apples-sent-objects-2,TRUE,NA,2,Someone saw a beautiful twenty apples.
adjH185,adjS130,1,Input.id,10,meager-five-books-sent-art-2,TRUE,TRUE,6,Please enjoy a meager five books.
adjH120,adjS121,1,Input.id,10,lovely-five-movies-sent-art-2,TRUE,TRUE,6,Please enjoy a lovely five movies.
adjH172,adjS38,1,Input.id,10,disappointing-five-feet-sent-distance-0,TRUE,TRUE,7,He drove a disappointing five feet.
adjH125,adjS47,1,Input.id,10,paltry-three-meters-sent-distance-1,TRUE,TRUE,10,Somone walked a paltry three meters.
adjH23,adjS146,1,Input.id,10,incredible-five-weeks-sent-temporal-2,TRUE,TRUE,10,The tourish stayed an incredible five weeks in Papua New Guinea.
adjH107,adjS2,1,Input.id,10,astonishing-five-doctors-sent-human-2,TRUE,TRUE,8,We congratulated an astonishing five doctors.
adjH5,adjS185,1,Input.id,10,surprising-three-bananas-sent-objects-1,TRUE,TRUE,6,They discovered a surprising three bananas.
adjH197,adjS15,1,Input.id,10,disgusting-three-paragraphs-sent-unitlike-0,TRUE,TRUE,10,Luis took in a disgusting three paragraphs.
adjH55,adjS133,1,Input.id,10,ugly-three-belts-sent-objects-0,TRUE,TRUE,3,She bought an ugly three belts.
adjH15,adjS3,1,Input.id,10,measly-five-belts-sent-objects-2,TRUE,TRUE,7,Someone saw a measly five belts.
adjH124,adjS108,1,Input.id,10,surprising-five-operas-sent-art-2,TRUE,TRUE,6,Please enjoy a surprising five operas.
adjH123,adjS169,1,Input.id,10,charming-five-yards-sent-distance-0,TRUE,TRUE,7,He drove a charming five yards.
adjH156,adjS124,1,Input.id,10,devastating-twenty-operas-sent-art-1,TRUE,TRUE,8,I experienced a devastating twenty operas.
adjH182,adjS166,1,Input.id,10,devastating-three-blocks-sent-distance-0,TRUE,TRUE,10,He drove a devastating three blocks.
adjH43,adjS164,1,Input.id,10,impressive-five-acts-sent-unitlike-1,FALSE,TRUE,3,They consumed an impressive five acts.
adjH111,adjS106,1,Input.id,10,tall-twenty-belts-sent-objects-1,FALSE,TRUE,2,They discovered a tall twenty belts.
adjH40,adjS59,1,Input.id,10,surprising-five-pages-sent-unitlike-1,TRUE,TRUE,7,They consumed a surprising five pages.
adjH139,adjS167,1,Input.id,10,green-twenty-forks-sent-objects-2,TRUE,TRUE,7,Someone saw a green twenty forks.
adjH169,adjS173,1,Input.id,10,beautiful-twenty-hours-sent-temporal-0,TRUE,TRUE,10,The family spent a beautiful twenty hours in London.
adjH192,adjS43,1,Input.id,10,surprising-three-operas-sent-art-1,TRUE,TRUE,7,I experienced a surprising three operas.
adjH4,adjS19,1,Input.id,10,impressive-twenty-athletes-sent-human-1,TRUE,TRUE,10,An impressive twenty athletes greeted us at the door.
adjH178,adjS71,1,Input.id,10,impressive-three-apples-sent-objects-0,TRUE,TRUE,10,She bought an impressive three apples.
adjH92,adjS191,1,Input.id,10,paltry-three-pages-sent-unitlike-1,TRUE,TRUE,8,They consumed a paltry three pages.
adjH134,adjS89,1,Input.id,10,charming-twenty-blocks-sent-distance-1,TRUE,TRUE,3,Somone walked a charming twenty blocks.
adjH115,adjS5,1,Input.id,10,paltry-twenty-pencils-sent-objects-2,TRUE,TRUE,6,Someone saw a paltry twenty pencils.
adjH71,adjS18,1,Input.id,10,record-setting-five-books-sent-art-0,TRUE,TRUE,10,The newspaper reviewed a record-setting five books.
adjH25,adjS197,1,Input.id,10,hideous-three-movies-sent-art-1,TRUE,TRUE,8,I experienced a hideous three movies.
adjH184,adjS128,1,Input.id,10,hefty-twenty-bankers-sent-human-2,TRUE,TRUE,10,We congratulated a hefty twenty bankers.
adjH166,adjS154,1,Input.id,10,beautiful-three-meters-sent-distance-2,TRUE,TRUE,4,Someone traveled a beautiful three meters.
adjH176,adjS140,1,Input.id,10,blue-five-forks-sent-objects-1,TRUE,TRUE,1,They discovered a blue five forks.
adjH46,adjS53,1,Input.id,10,ugly-three-days-sent-temporal-2,TRUE,TRUE,5,The tourish stayed an ugly three days in Papua New Guinea.
