idx,sentence,prefixes,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
31,The family spent an impressive three days in London.,The family spent,an impressive three days,three impressive days,a three impressive days,impressive three days,a three days,an impressive days
32,The family spent an impressive three weeks in London.,The family spent,an impressive three weeks,three impressive weeks,a three impressive weeks,impressive three weeks,a three weeks,an impressive weeks
33,The family spent an impressive three months in London.,The family spent,an impressive three months,three impressive months,a three impressive months,impressive three months,a three months,an impressive months
34,The family spent an impressive three years in London.,The family spent,an impressive three years,three impressive years,a three impressive years,impressive three years,a three years,an impressive years
35,The family spent an impressive three hours in London.,The family spent,an impressive three hours,three impressive hours,a three impressive hours,impressive three hours,a three hours,an impressive hours
36,The family spent an impressive five days in London.,The family spent,an impressive five days,five impressive days,a five impressive days,impressive five days,a five days,an impressive days
37,The family spent an impressive five weeks in London.,The family spent,an impressive five weeks,five impressive weeks,a five impressive weeks,impressive five weeks,a five weeks,an impressive weeks
38,The family spent an impressive five months in London.,The family spent,an impressive five months,five impressive months,a five impressive months,impressive five months,a five months,an impressive months
39,The family spent an impressive five years in London.,The family spent,an impressive five years,five impressive years,a five impressive years,impressive five years,a five years,an impressive years
40,The family spent an impressive five hours in London.,The family spent,an impressive five hours,five impressive hours,a five impressive hours,impressive five hours,a five hours,an impressive hours
41,The family spent an impressive twenty days in London.,The family spent,an impressive twenty days,twenty impressive days,a twenty impressive days,impressive twenty days,a twenty days,an impressive days
42,The family spent an impressive twenty weeks in London.,The family spent,an impressive twenty weeks,twenty impressive weeks,a twenty impressive weeks,impressive twenty weeks,a twenty weeks,an impressive weeks
43,The family spent an impressive twenty months in London.,The family spent,an impressive twenty months,twenty impressive months,a twenty impressive months,impressive twenty months,a twenty months,an impressive months
44,The family spent an impressive twenty years in London.,The family spent,an impressive twenty years,twenty impressive years,a twenty impressive years,impressive twenty years,a twenty years,an impressive years
45,The family spent an impressive twenty hours in London.,The family spent,an impressive twenty hours,twenty impressive hours,a twenty impressive hours,impressive twenty hours,a twenty hours,an impressive hours
46,The family spent a disappointing three days in London.,The family spent,a disappointing three days,three disappointing days,a three disappointing days,disappointing three days,a three days,a disappointing days
47,The family spent a disappointing three weeks in London.,The family spent,a disappointing three weeks,three disappointing weeks,a three disappointing weeks,disappointing three weeks,a three weeks,a disappointing weeks
48,The family spent a disappointing three months in London.,The family spent,a disappointing three months,three disappointing months,a three disappointing months,disappointing three months,a three months,a disappointing months
49,The family spent a disappointing three years in London.,The family spent,a disappointing three years,three disappointing years,a three disappointing years,disappointing three years,a three years,a disappointing years
50,The family spent a disappointing three hours in London.,The family spent,a disappointing three hours,three disappointing hours,a three disappointing hours,disappointing three hours,a three hours,a disappointing hours
51,The family spent a disappointing five days in London.,The family spent,a disappointing five days,five disappointing days,a five disappointing days,disappointing five days,a five days,a disappointing days
52,The family spent a disappointing five weeks in London.,The family spent,a disappointing five weeks,five disappointing weeks,a five disappointing weeks,disappointing five weeks,a five weeks,a disappointing weeks
53,The family spent a disappointing five months in London.,The family spent,a disappointing five months,five disappointing months,a five disappointing months,disappointing five months,a five months,a disappointing months
54,The family spent a disappointing five years in London.,The family spent,a disappointing five years,five disappointing years,a five disappointing years,disappointing five years,a five years,a disappointing years
55,The family spent a disappointing five hours in London.,The family spent,a disappointing five hours,five disappointing hours,a five disappointing hours,disappointing five hours,a five hours,a disappointing hours
56,The family spent a disappointing twenty days in London.,The family spent,a disappointing twenty days,twenty disappointing days,a twenty disappointing days,disappointing twenty days,a twenty days,a disappointing days
57,The family spent a disappointing twenty weeks in London.,The family spent,a disappointing twenty weeks,twenty disappointing weeks,a twenty disappointing weeks,disappointing twenty weeks,a twenty weeks,a disappointing weeks
58,The family spent a disappointing twenty months in London.,The family spent,a disappointing twenty months,twenty disappointing months,a twenty disappointing months,disappointing twenty months,a twenty months,a disappointing months
59,The family spent a disappointing twenty years in London.,The family spent,a disappointing twenty years,twenty disappointing years,a twenty disappointing years,disappointing twenty years,a twenty years,a disappointing years
60,The family spent a disappointing twenty hours in London.,The family spent,a disappointing twenty hours,twenty disappointing hours,a twenty disappointing hours,disappointing twenty hours,a twenty hours,a disappointing hours
61,The family spent a surprising three days in London.,The family spent,a surprising three days,three surprising days,a three surprising days,surprising three days,a three days,a surprising days
62,The family spent a surprising three weeks in London.,The family spent,a surprising three weeks,three surprising weeks,a three surprising weeks,surprising three weeks,a three weeks,a surprising weeks
63,The family spent a surprising three months in London.,The family spent,a surprising three months,three surprising months,a three surprising months,surprising three months,a three months,a surprising months
64,The family spent a surprising three years in London.,The family spent,a surprising three years,three surprising years,a three surprising years,surprising three years,a three years,a surprising years
65,The family spent a surprising three hours in London.,The family spent,a surprising three hours,three surprising hours,a three surprising hours,surprising three hours,a three hours,a surprising hours
66,The family spent a surprising five days in London.,The family spent,a surprising five days,five surprising days,a five surprising days,surprising five days,a five days,a surprising days
67,The family spent a surprising five weeks in London.,The family spent,a surprising five weeks,five surprising weeks,a five surprising weeks,surprising five weeks,a five weeks,a surprising weeks
68,The family spent a surprising five months in London.,The family spent,a surprising five months,five surprising months,a five surprising months,surprising five months,a five months,a surprising months
69,The family spent a surprising five years in London.,The family spent,a surprising five years,five surprising years,a five surprising years,surprising five years,a five years,a surprising years
70,The family spent a surprising five hours in London.,The family spent,a surprising five hours,five surprising hours,a five surprising hours,surprising five hours,a five hours,a surprising hours
71,The family spent a surprising twenty days in London.,The family spent,a surprising twenty days,twenty surprising days,a twenty surprising days,surprising twenty days,a twenty days,a surprising days
72,The family spent a surprising twenty weeks in London.,The family spent,a surprising twenty weeks,twenty surprising weeks,a twenty surprising weeks,surprising twenty weeks,a twenty weeks,a surprising weeks
73,The family spent a surprising twenty months in London.,The family spent,a surprising twenty months,twenty surprising months,a twenty surprising months,surprising twenty months,a twenty months,a surprising months
74,The family spent a surprising twenty years in London.,The family spent,a surprising twenty years,twenty surprising years,a twenty surprising years,surprising twenty years,a twenty years,a surprising years
75,The family spent a surprising twenty hours in London.,The family spent,a surprising twenty hours,twenty surprising hours,a twenty surprising hours,surprising twenty hours,a twenty hours,a surprising hours
76,The family spent a devastating three days in London.,The family spent,a devastating three days,three devastating days,a three devastating days,devastating three days,a three days,a devastating days
77,The family spent a devastating three weeks in London.,The family spent,a devastating three weeks,three devastating weeks,a three devastating weeks,devastating three weeks,a three weeks,a devastating weeks
78,The family spent a devastating three months in London.,The family spent,a devastating three months,three devastating months,a three devastating months,devastating three months,a three months,a devastating months
79,The family spent a devastating three years in London.,The family spent,a devastating three years,three devastating years,a three devastating years,devastating three years,a three years,a devastating years
80,The family spent a devastating three hours in London.,The family spent,a devastating three hours,three devastating hours,a three devastating hours,devastating three hours,a three hours,a devastating hours
81,The family spent a devastating five days in London.,The family spent,a devastating five days,five devastating days,a five devastating days,devastating five days,a five days,a devastating days
82,The family spent a devastating five weeks in London.,The family spent,a devastating five weeks,five devastating weeks,a five devastating weeks,devastating five weeks,a five weeks,a devastating weeks
83,The family spent a devastating five months in London.,The family spent,a devastating five months,five devastating months,a five devastating months,devastating five months,a five months,a devastating months
84,The family spent a devastating five years in London.,The family spent,a devastating five years,five devastating years,a five devastating years,devastating five years,a five years,a devastating years
85,The family spent a devastating five hours in London.,The family spent,a devastating five hours,five devastating hours,a five devastating hours,devastating five hours,a five hours,a devastating hours
86,The family spent a devastating twenty days in London.,The family spent,a devastating twenty days,twenty devastating days,a twenty devastating days,devastating twenty days,a twenty days,a devastating days
87,The family spent a devastating twenty weeks in London.,The family spent,a devastating twenty weeks,twenty devastating weeks,a twenty devastating weeks,devastating twenty weeks,a twenty weeks,a devastating weeks
88,The family spent a devastating twenty months in London.,The family spent,a devastating twenty months,twenty devastating months,a twenty devastating months,devastating twenty months,a twenty months,a devastating months
89,The family spent a devastating twenty years in London.,The family spent,a devastating twenty years,twenty devastating years,a twenty devastating years,devastating twenty years,a twenty years,a devastating years
90,The family spent a devastating twenty hours in London.,The family spent,a devastating twenty hours,twenty devastating hours,a twenty devastating hours,devastating twenty hours,a twenty hours,a devastating hours
91,The family spent a pathetic three days in London.,The family spent,a pathetic three days,three pathetic days,a three pathetic days,pathetic three days,a three days,a pathetic days
92,The family spent a pathetic three weeks in London.,The family spent,a pathetic three weeks,three pathetic weeks,a three pathetic weeks,pathetic three weeks,a three weeks,a pathetic weeks
93,The family spent a pathetic three months in London.,The family spent,a pathetic three months,three pathetic months,a three pathetic months,pathetic three months,a three months,a pathetic months
94,The family spent a pathetic three years in London.,The family spent,a pathetic three years,three pathetic years,a three pathetic years,pathetic three years,a three years,a pathetic years
95,The family spent a pathetic three hours in London.,The family spent,a pathetic three hours,three pathetic hours,a three pathetic hours,pathetic three hours,a three hours,a pathetic hours
96,The family spent a pathetic five days in London.,The family spent,a pathetic five days,five pathetic days,a five pathetic days,pathetic five days,a five days,a pathetic days
97,The family spent a pathetic five weeks in London.,The family spent,a pathetic five weeks,five pathetic weeks,a five pathetic weeks,pathetic five weeks,a five weeks,a pathetic weeks
98,The family spent a pathetic five months in London.,The family spent,a pathetic five months,five pathetic months,a five pathetic months,pathetic five months,a five months,a pathetic months
99,The family spent a pathetic five years in London.,The family spent,a pathetic five years,five pathetic years,a five pathetic years,pathetic five years,a five years,a pathetic years
100,The family spent a pathetic five hours in London.,The family spent,a pathetic five hours,five pathetic hours,a five pathetic hours,pathetic five hours,a five hours,a pathetic hours
101,The family spent a pathetic twenty days in London.,The family spent,a pathetic twenty days,twenty pathetic days,a twenty pathetic days,pathetic twenty days,a twenty days,a pathetic days
102,The family spent a pathetic twenty weeks in London.,The family spent,a pathetic twenty weeks,twenty pathetic weeks,a twenty pathetic weeks,pathetic twenty weeks,a twenty weeks,a pathetic weeks
103,The family spent a pathetic twenty months in London.,The family spent,a pathetic twenty months,twenty pathetic months,a twenty pathetic months,pathetic twenty months,a twenty months,a pathetic months
104,The family spent a pathetic twenty years in London.,The family spent,a pathetic twenty years,twenty pathetic years,a twenty pathetic years,pathetic twenty years,a twenty years,a pathetic years
105,The family spent a pathetic twenty hours in London.,The family spent,a pathetic twenty hours,twenty pathetic hours,a twenty pathetic hours,pathetic twenty hours,a twenty hours,a pathetic hours
106,The family spent a remarkable three days in London.,The family spent,a remarkable three days,three remarkable days,a three remarkable days,remarkable three days,a three days,a remarkable days
107,The family spent a remarkable three weeks in London.,The family spent,a remarkable three weeks,three remarkable weeks,a three remarkable weeks,remarkable three weeks,a three weeks,a remarkable weeks
108,The family spent a remarkable three months in London.,The family spent,a remarkable three months,three remarkable months,a three remarkable months,remarkable three months,a three months,a remarkable months
109,The family spent a remarkable three years in London.,The family spent,a remarkable three years,three remarkable years,a three remarkable years,remarkable three years,a three years,a remarkable years
110,The family spent a remarkable three hours in London.,The family spent,a remarkable three hours,three remarkable hours,a three remarkable hours,remarkable three hours,a three hours,a remarkable hours
111,The family spent a remarkable five days in London.,The family spent,a remarkable five days,five remarkable days,a five remarkable days,remarkable five days,a five days,a remarkable days
112,The family spent a remarkable five weeks in London.,The family spent,a remarkable five weeks,five remarkable weeks,a five remarkable weeks,remarkable five weeks,a five weeks,a remarkable weeks
113,The family spent a remarkable five months in London.,The family spent,a remarkable five months,five remarkable months,a five remarkable months,remarkable five months,a five months,a remarkable months
114,The family spent a remarkable five years in London.,The family spent,a remarkable five years,five remarkable years,a five remarkable years,remarkable five years,a five years,a remarkable years
115,The family spent a remarkable five hours in London.,The family spent,a remarkable five hours,five remarkable hours,a five remarkable hours,remarkable five hours,a five hours,a remarkable hours
116,The family spent a remarkable twenty days in London.,The family spent,a remarkable twenty days,twenty remarkable days,a twenty remarkable days,remarkable twenty days,a twenty days,a remarkable days
117,The family spent a remarkable twenty weeks in London.,The family spent,a remarkable twenty weeks,twenty remarkable weeks,a twenty remarkable weeks,remarkable twenty weeks,a twenty weeks,a remarkable weeks
118,The family spent a remarkable twenty months in London.,The family spent,a remarkable twenty months,twenty remarkable months,a twenty remarkable months,remarkable twenty months,a twenty months,a remarkable months
119,The family spent a remarkable twenty years in London.,The family spent,a remarkable twenty years,twenty remarkable years,a twenty remarkable years,remarkable twenty years,a twenty years,a remarkable years
120,The family spent a remarkable twenty hours in London.,The family spent,a remarkable twenty hours,twenty remarkable hours,a twenty remarkable hours,remarkable twenty hours,a twenty hours,a remarkable hours
121,The family spent a mediocre three days in London.,The family spent,a mediocre three days,three mediocre days,a three mediocre days,mediocre three days,a three days,a mediocre days
122,The family spent a mediocre three weeks in London.,The family spent,a mediocre three weeks,three mediocre weeks,a three mediocre weeks,mediocre three weeks,a three weeks,a mediocre weeks
123,The family spent a mediocre three months in London.,The family spent,a mediocre three months,three mediocre months,a three mediocre months,mediocre three months,a three months,a mediocre months
124,The family spent a mediocre three years in London.,The family spent,a mediocre three years,three mediocre years,a three mediocre years,mediocre three years,a three years,a mediocre years
125,The family spent a mediocre three hours in London.,The family spent,a mediocre three hours,three mediocre hours,a three mediocre hours,mediocre three hours,a three hours,a mediocre hours
126,The family spent a mediocre five days in London.,The family spent,a mediocre five days,five mediocre days,a five mediocre days,mediocre five days,a five days,a mediocre days
127,The family spent a mediocre five weeks in London.,The family spent,a mediocre five weeks,five mediocre weeks,a five mediocre weeks,mediocre five weeks,a five weeks,a mediocre weeks
128,The family spent a mediocre five months in London.,The family spent,a mediocre five months,five mediocre months,a five mediocre months,mediocre five months,a five months,a mediocre months
129,The family spent a mediocre five years in London.,The family spent,a mediocre five years,five mediocre years,a five mediocre years,mediocre five years,a five years,a mediocre years
130,The family spent a mediocre five hours in London.,The family spent,a mediocre five hours,five mediocre hours,a five mediocre hours,mediocre five hours,a five hours,a mediocre hours
131,The family spent a mediocre twenty days in London.,The family spent,a mediocre twenty days,twenty mediocre days,a twenty mediocre days,mediocre twenty days,a twenty days,a mediocre days
132,The family spent a mediocre twenty weeks in London.,The family spent,a mediocre twenty weeks,twenty mediocre weeks,a twenty mediocre weeks,mediocre twenty weeks,a twenty weeks,a mediocre weeks
133,The family spent a mediocre twenty months in London.,The family spent,a mediocre twenty months,twenty mediocre months,a twenty mediocre months,mediocre twenty months,a twenty months,a mediocre months
134,The family spent a mediocre twenty years in London.,The family spent,a mediocre twenty years,twenty mediocre years,a twenty mediocre years,mediocre twenty years,a twenty years,a mediocre years
135,The family spent a mediocre twenty hours in London.,The family spent,a mediocre twenty hours,twenty mediocre hours,a twenty mediocre hours,mediocre twenty hours,a twenty hours,a mediocre hours
136,The family spent an unsatisfying three days in London.,The family spent,an unsatisfying three days,three unsatisfying days,a three unsatisfying days,unsatisfying three days,a three days,an unsatisfying days
137,The family spent an unsatisfying three weeks in London.,The family spent,an unsatisfying three weeks,three unsatisfying weeks,a three unsatisfying weeks,unsatisfying three weeks,a three weeks,an unsatisfying weeks
138,The family spent an unsatisfying three months in London.,The family spent,an unsatisfying three months,three unsatisfying months,a three unsatisfying months,unsatisfying three months,a three months,an unsatisfying months
139,The family spent an unsatisfying three years in London.,The family spent,an unsatisfying three years,three unsatisfying years,a three unsatisfying years,unsatisfying three years,a three years,an unsatisfying years
140,The family spent an unsatisfying three hours in London.,The family spent,an unsatisfying three hours,three unsatisfying hours,a three unsatisfying hours,unsatisfying three hours,a three hours,an unsatisfying hours
141,The family spent an unsatisfying five days in London.,The family spent,an unsatisfying five days,five unsatisfying days,a five unsatisfying days,unsatisfying five days,a five days,an unsatisfying days
142,The family spent an unsatisfying five weeks in London.,The family spent,an unsatisfying five weeks,five unsatisfying weeks,a five unsatisfying weeks,unsatisfying five weeks,a five weeks,an unsatisfying weeks
143,The family spent an unsatisfying five months in London.,The family spent,an unsatisfying five months,five unsatisfying months,a five unsatisfying months,unsatisfying five months,a five months,an unsatisfying months
144,The family spent an unsatisfying five years in London.,The family spent,an unsatisfying five years,five unsatisfying years,a five unsatisfying years,unsatisfying five years,a five years,an unsatisfying years
145,The family spent an unsatisfying five hours in London.,The family spent,an unsatisfying five hours,five unsatisfying hours,a five unsatisfying hours,unsatisfying five hours,a five hours,an unsatisfying hours
146,The family spent an unsatisfying twenty days in London.,The family spent,an unsatisfying twenty days,twenty unsatisfying days,a twenty unsatisfying days,unsatisfying twenty days,a twenty days,an unsatisfying days
147,The family spent an unsatisfying twenty weeks in London.,The family spent,an unsatisfying twenty weeks,twenty unsatisfying weeks,a twenty unsatisfying weeks,unsatisfying twenty weeks,a twenty weeks,an unsatisfying weeks
148,The family spent an unsatisfying twenty months in London.,The family spent,an unsatisfying twenty months,twenty unsatisfying months,a twenty unsatisfying months,unsatisfying twenty months,a twenty months,an unsatisfying months
149,The family spent an unsatisfying twenty years in London.,The family spent,an unsatisfying twenty years,twenty unsatisfying years,a twenty unsatisfying years,unsatisfying twenty years,a twenty years,an unsatisfying years
150,The family spent an unsatisfying twenty hours in London.,The family spent,an unsatisfying twenty hours,twenty unsatisfying hours,a twenty unsatisfying hours,unsatisfying twenty hours,a twenty hours,an unsatisfying hours
151,The family spent a lovely three days in London.,The family spent,a lovely three days,three lovely days,a three lovely days,lovely three days,a three days,a lovely days
152,The family spent a lovely three weeks in London.,The family spent,a lovely three weeks,three lovely weeks,a three lovely weeks,lovely three weeks,a three weeks,a lovely weeks
153,The family spent a lovely three months in London.,The family spent,a lovely three months,three lovely months,a three lovely months,lovely three months,a three months,a lovely months
154,The family spent a lovely three years in London.,The family spent,a lovely three years,three lovely years,a three lovely years,lovely three years,a three years,a lovely years
155,The family spent a lovely three hours in London.,The family spent,a lovely three hours,three lovely hours,a three lovely hours,lovely three hours,a three hours,a lovely hours
156,The family spent a lovely five days in London.,The family spent,a lovely five days,five lovely days,a five lovely days,lovely five days,a five days,a lovely days
157,The family spent a lovely five weeks in London.,The family spent,a lovely five weeks,five lovely weeks,a five lovely weeks,lovely five weeks,a five weeks,a lovely weeks
158,The family spent a lovely five months in London.,The family spent,a lovely five months,five lovely months,a five lovely months,lovely five months,a five months,a lovely months
159,The family spent a lovely five years in London.,The family spent,a lovely five years,five lovely years,a five lovely years,lovely five years,a five years,a lovely years
160,The family spent a lovely five hours in London.,The family spent,a lovely five hours,five lovely hours,a five lovely hours,lovely five hours,a five hours,a lovely hours
161,The family spent a lovely twenty days in London.,The family spent,a lovely twenty days,twenty lovely days,a twenty lovely days,lovely twenty days,a twenty days,a lovely days
162,The family spent a lovely twenty weeks in London.,The family spent,a lovely twenty weeks,twenty lovely weeks,a twenty lovely weeks,lovely twenty weeks,a twenty weeks,a lovely weeks
163,The family spent a lovely twenty months in London.,The family spent,a lovely twenty months,twenty lovely months,a twenty lovely months,lovely twenty months,a twenty months,a lovely months
164,The family spent a lovely twenty years in London.,The family spent,a lovely twenty years,twenty lovely years,a twenty lovely years,lovely twenty years,a twenty years,a lovely years
165,The family spent a lovely twenty hours in London.,The family spent,a lovely twenty hours,twenty lovely hours,a twenty lovely hours,lovely twenty hours,a twenty hours,a lovely hours
166,The family spent a beautiful three days in London.,The family spent,a beautiful three days,three beautiful days,a three beautiful days,beautiful three days,a three days,a beautiful days
167,The family spent a beautiful three weeks in London.,The family spent,a beautiful three weeks,three beautiful weeks,a three beautiful weeks,beautiful three weeks,a three weeks,a beautiful weeks
168,The family spent a beautiful three months in London.,The family spent,a beautiful three months,three beautiful months,a three beautiful months,beautiful three months,a three months,a beautiful months
169,The family spent a beautiful three years in London.,The family spent,a beautiful three years,three beautiful years,a three beautiful years,beautiful three years,a three years,a beautiful years
170,The family spent a beautiful three hours in London.,The family spent,a beautiful three hours,three beautiful hours,a three beautiful hours,beautiful three hours,a three hours,a beautiful hours
171,The family spent a beautiful five days in London.,The family spent,a beautiful five days,five beautiful days,a five beautiful days,beautiful five days,a five days,a beautiful days
172,The family spent a beautiful five weeks in London.,The family spent,a beautiful five weeks,five beautiful weeks,a five beautiful weeks,beautiful five weeks,a five weeks,a beautiful weeks
173,The family spent a beautiful five months in London.,The family spent,a beautiful five months,five beautiful months,a five beautiful months,beautiful five months,a five months,a beautiful months
174,The family spent a beautiful five years in London.,The family spent,a beautiful five years,five beautiful years,a five beautiful years,beautiful five years,a five years,a beautiful years
175,The family spent a beautiful five hours in London.,The family spent,a beautiful five hours,five beautiful hours,a five beautiful hours,beautiful five hours,a five hours,a beautiful hours
176,The family spent a beautiful twenty days in London.,The family spent,a beautiful twenty days,twenty beautiful days,a twenty beautiful days,beautiful twenty days,a twenty days,a beautiful days
177,The family spent a beautiful twenty weeks in London.,The family spent,a beautiful twenty weeks,twenty beautiful weeks,a twenty beautiful weeks,beautiful twenty weeks,a twenty weeks,a beautiful weeks
178,The family spent a beautiful twenty months in London.,The family spent,a beautiful twenty months,twenty beautiful months,a twenty beautiful months,beautiful twenty months,a twenty months,a beautiful months
179,The family spent a beautiful twenty years in London.,The family spent,a beautiful twenty years,twenty beautiful years,a twenty beautiful years,beautiful twenty years,a twenty years,a beautiful years
180,The family spent a beautiful twenty hours in London.,The family spent,a beautiful twenty hours,twenty beautiful hours,a twenty beautiful hours,beautiful twenty hours,a twenty hours,a beautiful hours
181,The family spent an enchanting three days in London.,The family spent,an enchanting three days,three enchanting days,a three enchanting days,enchanting three days,a three days,an enchanting days
182,The family spent an enchanting three weeks in London.,The family spent,an enchanting three weeks,three enchanting weeks,a three enchanting weeks,enchanting three weeks,a three weeks,an enchanting weeks
183,The family spent an enchanting three months in London.,The family spent,an enchanting three months,three enchanting months,a three enchanting months,enchanting three months,a three months,an enchanting months
184,The family spent an enchanting three years in London.,The family spent,an enchanting three years,three enchanting years,a three enchanting years,enchanting three years,a three years,an enchanting years
185,The family spent an enchanting three hours in London.,The family spent,an enchanting three hours,three enchanting hours,a three enchanting hours,enchanting three hours,a three hours,an enchanting hours
186,The family spent an enchanting five days in London.,The family spent,an enchanting five days,five enchanting days,a five enchanting days,enchanting five days,a five days,an enchanting days
187,The family spent an enchanting five weeks in London.,The family spent,an enchanting five weeks,five enchanting weeks,a five enchanting weeks,enchanting five weeks,a five weeks,an enchanting weeks
188,The family spent an enchanting five months in London.,The family spent,an enchanting five months,five enchanting months,a five enchanting months,enchanting five months,a five months,an enchanting months
189,The family spent an enchanting five years in London.,The family spent,an enchanting five years,five enchanting years,a five enchanting years,enchanting five years,a five years,an enchanting years
190,The family spent an enchanting five hours in London.,The family spent,an enchanting five hours,five enchanting hours,a five enchanting hours,enchanting five hours,a five hours,an enchanting hours
191,The family spent an enchanting twenty days in London.,The family spent,an enchanting twenty days,twenty enchanting days,a twenty enchanting days,enchanting twenty days,a twenty days,an enchanting days
192,The family spent an enchanting twenty weeks in London.,The family spent,an enchanting twenty weeks,twenty enchanting weeks,a twenty enchanting weeks,enchanting twenty weeks,a twenty weeks,an enchanting weeks
193,The family spent an enchanting twenty months in London.,The family spent,an enchanting twenty months,twenty enchanting months,a twenty enchanting months,enchanting twenty months,a twenty months,an enchanting months
194,The family spent an enchanting twenty years in London.,The family spent,an enchanting twenty years,twenty enchanting years,a twenty enchanting years,enchanting twenty years,a twenty years,an enchanting years
195,The family spent an enchanting twenty hours in London.,The family spent,an enchanting twenty hours,twenty enchanting hours,a twenty enchanting hours,enchanting twenty hours,a twenty hours,an enchanting hours
196,The family spent a soothing three days in London.,The family spent,a soothing three days,three soothing days,a three soothing days,soothing three days,a three days,a soothing days
197,The family spent a soothing three weeks in London.,The family spent,a soothing three weeks,three soothing weeks,a three soothing weeks,soothing three weeks,a three weeks,a soothing weeks
198,The family spent a soothing three months in London.,The family spent,a soothing three months,three soothing months,a three soothing months,soothing three months,a three months,a soothing months
199,The family spent a soothing three years in London.,The family spent,a soothing three years,three soothing years,a three soothing years,soothing three years,a three years,a soothing years
