sentence_idx,PREP,ADJ,PRON,VERB,sentence
65625,as,different,I,'ll,"This year, things are a little different as I'll discuss."
71774,as,cunning,you,are,"But I hope to prove as cunning as you are.” Then, getting out of bed, he groped about the room, and at last found a large thick billet of wood."
71777,as,diverse,you,are,"Whenever I have the chance to share with an audience as diverse as you are, it is a challenge."
72273,than,farer,I,can,"Again she was lifted on the bull’s back, and after she had ridden far, and farer than I can tell, they came in sight o’ a far bonnier castle, and far farther awa’ than the last."
73510,as,good,it,could,"Now they had everything that they wanted , and everything was as good as it could be ."
74099,than,stronger,I,am,"`` Well , '' said the East Wind , `` I have heard tell of the Prince , and of his castle , but I do not know the way to it , for I have never blown so far ; but , if you like , I will go with you to my brother the West Wind : he may know that , for he is much stronger than I am ."
74198,than,more,they,do,"The story of Pinocchio and the Talking Cricket, in which one sees that bad children do not like to be corrected by those who know more than they do."
75662,as,clever,I,am,"Then, clever as I am, I can earn a lot of money."
75892,as,clever,she,is,"said the little monster , `` for I am a friend of hers , and , for the matter of that , I am quite as clever as she is . ''"
76915,than,powerful,you,are,"Just try to take it off , and you will soon find out that I am more powerful than you are ! ''"
80006,than,better,she,is,"I don't think Amy Johnson will be over pleased that she that Amy get's better than she is , no."
86461,as,long,it,should,"As he was telling all these enormous lies about himself, Pinocchio touched his nose and found it twice as long as it should be."
88003,as,clever,you,say,"`` Now that 's a talent worth having , '' said the King to the miller ; `` if your daughter is as clever as you say , bring her to my palace to-morrow , and I 'll put her to the test . ''"
90488,as,unfortunate,you,suppose,you are not so unfortunate as you suppose .
90601,than,older,you,are,That's why you look older than you are!
91985,as,frightful,he,is,"After much consideration , he answered : `` You tell me yourself that the Beast , frightful as he is , loves you dearly , and deserves your love and gratitude for his gentleness and kindness ; I think the Prince must mean you to understand that you ought to reward him by doing as he wishes you to , in spite of his ugliness . ''"
92766,than,larger,he,can,"When man finds a force larger than he can use, it causes great misery."
92818,than,larger,he,can,"When man finds a force larger than he can use, it causes great misery."
93938,as,much,I,can,"`` Then someone will come out who will sparkle with fire ; you shall tell him your errand , and when he asks you how much you want to have you are to say : ` As much as I can carry . '"
96706,as,big,it,is,"it's, it's kind of strange that it's getting as big as it is."
101784,as,strong,thou,art,"I am as strong as thou art, and perhaps even stronger.” “We shall see,” said the old man."
102875,than,more,you,do,"He continued, “You have been in the forest and I have stayed at home, and yet I know more than you do.”"
107001,than,fascinating,I,am,"said he ; `` does he laugh at my unhappiness , and think himself more fascinating than I am ?"
109291,as,much,I,require,"But she replied, “Here I cannot stay, I will go forth, compassionate people will give me as much as I require.” Thereupon she caused her maimed arms to be bound to her back, and by sunrise she set out on her way, and walked the whole day until night fell."
116944,as,clever,you,say,"Now it happened that he had to go and speak to the King, and in order to make himself appear important he said to him, “I have a daughter who can spin straw into gold.” The King said to the miller, “That is an art which pleases me well; if your daughter is as clever as you say, bring her to-morrow to my palace, and I will try what she can do.”"
117401,as,Old,I,am,"`` Old as I am , '' replied the cobbler , `` I have very good eyes , and will you believe me when I tell you that I sewed a dead body together in a place where I had less light than I have now . ''"
120002,as,beautiful,I,am,"It came to pass that she lay ill, and as she felt that she must soon die, she called the King and said, “If thou wishest to marry again after my death, take no one who is not quite as beautiful as I am, and who has not just such golden hair as I have: this thou must promise me.” And after the King had promised her this she closed her eyes and died."
121271,as,much,thou,wilt,"Again the King considered how to get rid of his unpleasant guests, and caused their chief to be brought and said, “If thou wilt take gold and renounce my daughter, thou shalt have as much as thou wilt.”"
130739,as,much,they,could,"As a beginning, he at once gave them as much as they could carry, and told them to go to such and such an inn when they got to the town."
133814,than,more,I,do,"But when she saw her in the prince’s arms, she was alarmed, and said, “Here is one who knows more than I do!” She dared not make any opposition, and was forced to give him her daughter."
134174,than,greater,thou,thinkest,"My power is great, greater than thou thinkest, and I have gold and silver in abundance.”"
134471,as,great,I,require,"But I am likewise the knight who helped you to your victory over your enemies.” “If thou canst perform such deeds as that, thou art no gardener’s boy; tell me, who is thy father?” “My father is a mighty King, and gold have I in plenty as great as I require.” “I well see,” said the King, “that I owe thanks to thee; can I do anything to please thee?” “Yes,” answered he, “that indeed you can."
135167,as,beautiful,she,is,"He, however, was unwilling, and said, “I am no common stable-ass, I am a noble one.” Then they said, “If that is what thou art, seat thyself with the men of war.” “No,” said he, “I will sit by the King.” The King smiled, and said good-humouredly, “Yes, it shall be as thou wilt, little ass, come here to me.” Then he asked, “Little ass, how does my daughter please thee?” The donkey turned his head towards her, looked at her, nodded and said, “I like her above measure, I have never yet seen anyone so beautiful as she is.” “Well, then, thou shalt sit next her too,” said the King."
138038,as,much,I,want,"Then the girl went to the stove where the animals were lying, and petted the cock and hen, and stroked their smooth feathers with her hand, and caressed the brindled cow between her horns, and when, in obedience to the old man’s orders, she had made ready some good soup, and the bowl was placed upon the table, she said, “Am I to eat as much as I want, and the good animals to have nothing?"
141868,as,difficult,you,like,"Since thou pridest thyself on being a master-thief, I will put thy art to the proof, but if thou dost not stand the test, thou must marry the rope-maker’s daughter, and the croaking of the raven must be thy music on the occasion.” “Lord count,” answered the master-thief, “Think of three things, as difficult as you like, and if I do not perform your tasks, do with me what you will.” The count reflected for some minutes, and then said, “Well, then, in the first place, thou shalt steal the horse I keep for my own riding, out of the stable; in the next, thou shalt steal the sheet from beneath the bodies of my wife and myself when we are asleep, without our observing it, and the wedding-ring of my wife as well; thirdly and lastly, thou shalt steal away out of the church, the parson and clerk."
143286,than,cleverer,we,are,"The small men are cleverer than we are, so we will leave the decision to thee.” “How can you dispute about an old cap?” said the youth."
144614,as,cunning,you,are,But I hope to prove as cunning as you are . ''
146073,than,better,you,do,"Then the Ranee said to her daughter, ""I cannot tell how it is, every day those seven girls say they don't want any dinner, and won't eat any; and yet they never grow thin nor look ill; they look better than you do."
150307,than,nicer,we,are,"much nicer than we are, if we only knew it!"""
156309,than,more,I,could,In a little while he called her to sit beside him ; but this was more than I could bear .
161683,as,Naughty,you,are,"he added: ""Naughty as you are, you're the life and soul of the party."""
163828,as,stupid,you,are,"She took three toads with her, and kissed them, saying to the first, ""When Eliza comes to bathe seat yourself upon her head, that she may become as stupid as you are."""
163829,as,ugly,you,are,"To the second toad she said, ""Place yourself on her forehead, that she may become as ugly as you are, and that her friends may not know her."""
174925,than,more,I,can,"""This is too much,"" said she; ""it is more than I can bear."
180011,than,greater,I,am,"There is something greater than I am , and that is the cloud ."
182788,than,more,he,gives,more than he gives.
184126,than,significant,it,may,truth vastly more significant than it may seem.
186896,as,hungry,I,am,"""I have eaten a whole ovenful of bread,"" he said sadly, ""but when one is as hungry as I am, such a meal only serves to make one more hungry still."
187693,than,more,she,consumes,"She has been producing far more than she consumes, and this excess has"
188220,as,rich,we,are,No one in the whole country can be as rich as we are ! '
198278,than,happier,I,am,"` Oh , pussy , ' said the queen one day , ` you are happier than I am !"
198301,as,young,it,is,"States, young as it is, is ripening rapidly, and the Socialists claim,"
204197,than,more,I,could,I promised more than I could perform .
204509,as,tired,I,can,"""Now this is all I heard, mother,     And all that I did see;   So, pr'ythee, make my bed, mother,     For I'm tired as I can be."""
205335,than,more,you,think,- I might know more than-- more than you think.
206583,than,more,I,can,"I have a little shadow that goes in and out with me,   And what can be the use of him is more than I can see,   He is very, very like me from the heels up to the head;   And I see him jump before me, when I jump into my bed."
207511,than,more,she,could,"But the pleasure of taking a letter which was not meant for her was more than she could resist , and in another moment it was in her hand ."
221724,as,handsome,I,am,I will ask them if they have seen any princess who is as clever and as handsome as I am . '
221798,as,handsome,I,am,"` Have you anywhere seen or heard of the daughter of an emperor , king , or a prince , who is as clever and as handsome as I am , and who would be worthy to be my wife and the queen of my country ? '"
222393,than,More,you,think,More than you think.
222925,as,bad,you,think,I am really not as bad as you think .
229108,as,bold,you,please,"So the merchant sat down as bold as you please, and made a very hearty supper, after which he again thought he would look for the master of the house."
230541,than,dangerous,she,seems,Eve's less dangerous than she seems.
234684,as,handsome,you,please,"So they came near the door to get a peep, and who should come out but the King himself, as handsome as you please, and no other but King Whiskers himself."
236534,than,quicker,we,have,"""Faith, you've been quicker than we have."""
241581,than,cunning,they,are,"""I am laughing at those simpletons who believe in all the foolish things that are told them, and who allow themselves to be entrapped by those who are more cunning than they are."""
241795,as,happy,you,please,"night, as peaceful and happy as you please."
251326,as,safe,you,please,"there now, just as snug and safe as you please, while this storm,"
256070,than,richer,I,am,"` If he is so much richer than I am , ' said the king , ' I shall be obliged to refuse ."
259853,as,many,I,like,"In payment the old man gave him a nut , and offered to keep him for another year ; but Peter was home-sick ; and , besides , he would rather have been paid ever so small a piece of money than a nut ; for , thought he , nuts grow on every tree , and I can gather as many as I like ."
261124,than,quicker,I,am,"Yeah, he's quicker than I am, but he don't seem to be as accurate"
261157,as,accurate,I,am,"he's not as accurate as I am, no, but what I do I, I point mine up as well"
265303,as,such,it,is,There is only one thing I ask in return for my help such as it is.
268270,as,easy,you,think,"Almost as quickly as it came the head went back to the body, and the man laughed harshly as he said, ""It isn't as easy as you think!"""
271690,than,worse,I,am,far worse than I am.
274957,as,sure,we,live,"As sure as we live, Tayoga, it's St."
286960,as,long,it,need,"The wife was a good wife enough , but her mind was all on her family and her farm , and she hardly ever went to her knees without falling asleep , and she thought the time spent in the chapel was twice as long as it need be ."
296489,as,ragged,you,please,"The clothes he had on him were as ragged as you please , but he had his crowns safe under his old cloak ."
296621,as,grand,you,please,"The two bridegrooms came in as proud and grand as you please , and up they were walking to the altar rails , when the boards opened two yards wide under their feet , and down they went among the dead men and the coffins in the vaults ."
304163,than,more,he,could,"She filled him with novel emotions, and whether these were pleasant or painful was more than he could say."
313762,as,off,we,are,"Put the cow out of your head , mother , we are very well off as we are . '"
314973,as,sure,I,live,"` As sure as I live , it 's a cow ! '"
318597,as,bad,he,is,"Cos the minute you react to what that person's doing, your involved and y and you're as bad as he is."
321285,as,nice,it,is,"but it's stays pretty cold even, uh, during the Winter, for as nice as it is."
326348,than,sadder,it,is,‘It’d make the place sadder than it is.
327843,as,sour,we,look,We’re neither of us good lookin’ an’ we’re both of us as sour as we look.
333483,as,easy,it,looks,"` It is not so easy as it looks , ' rejoined the Groac ` h , smiling , ` but take it , and try your luck . '"
337041,as,bad,he,looks,"“He’s not half as bad as he looks, for all he’s so crabbed."
344667,than,selfish,I,am,You’re more selfish than I am.
345291,as,much,I,'d,"Well, that's why I don't do as much as I'd like."
351453,as,straight,I,am,“He’s as straight as I am!” cried Dickon.
353675,than,lighter,he,is,"I am lighter than he is , ' thought the fox to herself , ` and perhaps if I make haste I can get a start , and jump over the wall on the other side before he manages to spring over this one . '"
354317,than,more,I,do,"` How can I , when it weighs more than I do ? '"
354330,as,same,we,do,They want to live same as we do.
361866,than,smaller,they,are,It is a map style that has areas near the equator appear to be smaller than they are.
362013,than,merciful,ye,are,But I will be more merciful than ye are.
364034,than,creative,you,think,"Well, maybe they're just a little bit more creative than you think!"
364475,as,many,he,could,"Wait my coming, O most infamous Bandar-log!” He panted up the terrace only to disappear to the head in a wave of monkeys, but he threw himself squarely on his haunches, and, spreading out his forepaws, hugged as many as he could hold, and then began to hit with a regular bat-bat-bat, like the flipping strokes of a paddle wheel."
372180,as,clever,he,likes,"At length they remembered the goat with golden horns and the bells , and they rejoiced ; ` For , ' said they , ` THIS time the old woman will be on the watch , and let him be as clever as he likes , the bells on the horns are sure to warn her . '"
374213,as,brave,you,are,"I am only a baggage camel of the 39th Native Infantry, and I am not as brave as you are, my lords.”"
386351,than,creative,you,think,"Well, maybe they're just a little bit more creative than you think!"
389764,as,impossible,you,think,"` It may not be as impossible as you think , ' answered the queen ."
391018,than,more,I,could,"And in no time at all, I didn't have to ask for jobs, I'd got more than I could do, you know and er I was still, very well taken care of in the shop."
391272,as,true,I,live,“Just as true as I live!”
392622,as,mean,you,can,"“Tom Sawyer, you are just as mean as you can be, to sneak up on a person and look at what they're looking at.”"
397199,as,legged,they,do,"And when we sit, we must sit cross-legged as they do, with the right"
399370,as,late,it,is,"“Damn her, maybe she's got company there's lights, late as it is.”"
399515,as,such,I,should,AGMAR It is not fitting that such as I should eat.
402416,as,easy,you,think,"` It will not be so easy as you think , ' answered the city swallow , shaking her head ; ` for they will have to prove that they are the king 's children , and also that their mother never went mad at all ."
403279,as,good,it,could,"about how stuffy it is, and the like  when we agreed that is was  erm  not as good as it could be, may I just say  erm, but we haven't got any, if you like,er statistical measurement, and one of the actual points that were starting to do now  is we're actually going to start reporting tu , temperature and humidity on the first, second, and third floors within G P House."
403460,as,light,it,might,"Why, it's not as light as it might be."
404258,than,more,he,could,"protection introduced him into society no, dragged him into it, hurled him into it and his sufferings were almost more than he could bear."
406658,than,more,we,know,That's more than we know.
416911,as,polite,we,are,"""He's as polite as we are."
417736,than,stronger,they,are,"When you will not fly into a passion people know you are stronger than they are, because you are strong enough to hold in your rage, and they are not, and they say stupid things they wish they hadn't said afterward."
421044,than,hungrier,I,am,"""I am very hungry, and I am much obliged to you for your kindness; and"" she was going to add ""there is a child outside who is hungrier than I am."""
426322,as,real,we,are,They are as real as we are.
432387,as,flat,you,do,"I never saw anyone faint, and I don't choose to make myself all black and blue, tumbling flat as you do."
432756,than,more,they,could,"Roger Ebert gave it two stars, saying the film was marked by a ""quiet sadness"" and the ""film examines the way that naive idealists took on more than they could handle."""
434217,as,nice,I,'d,"I shall have a new ribbon for my hair, and Marmee will lend me her little pearl pin, and my new slippers are lovely, and my gloves will do, though they aren't as nice as I'd like."""
435198,than,taller,I,am,"""Curly black hair, brown skin, big black eyes, handsome nose, fine teeth, small hands and feet, taller than I am, very polite, for a boy, and altogether jolly."
436452,as,Strange,it,may,"Strange as it may seem, it mighta cleared the water."
439159,than,older,I,am,"` I 'm not at all old , ' said the tree ; ` there are many much older than I am . '"
440522,as,much,you,can,"` Well , have you got as much as you can eat ? '"
441396,as,clean,it,could,"He soon thought of a plan , however ; he opened both barn-doors , and then lay down at one end and blew , so that all the chaff flew out and lay like a sand-bank at the other end of the barn , and the grain was as clean as it could be ."
441861,than,older,you,are,"""But I lost her when I was a little older than you are, and for years had to struggle on alone, for I was too proud to confess my weakness to anyone else."
443700,as,fat,it,could,"Meanwhile the clerk decided that the calf was as fat as it could be , so he killed it ."
446814,as,relieved,I,am,You're as relieved as I am.
450172,as,good,he,can,"And how he provides now for an old woman who nursed his mother, and never tells anyone, but is just as generous and patient and good as he can be."""
450384,than,more,I,could,"` Oh , more than I could count , ' replied the shoemaker . '"
451703,as,dear,she,is,"She is so funny and dear as she is,"" said Beth, who had never betrayed that she was a little hurt at Jo's having secrets with anyone but her."
454263,as,more,you,want,"` Dear me , yes , and as much more as you want , ' answered he . '"
456404,as,same,we,have,same as we have.
460530,as,weak,you,think,"""I'm not so silly and weak as you think."
463994,as,rich,you,are,"` Do you , rich as you are , need help ?"
464144,as,rich,you,are,"And she spake to her and said : ` Do you , rich as you are , need help ? '"
464265,as,rich,you,are,"And the Wind looked on her and knew her again , for he had seen her in the cottage and in the palace , and he spake to her and said : ` Do you , rich as you are , want help ? '"
465893,than,more,one,would,"But the trifles cost more than one would imagine, and when she cast up her accounts at the end of the month the sum total rather scared her."
466741,as,elegant,you,please,"You can dress for both, and be as elegant as you please."
467193,as,fine,they,do,"They know we are poor, so it's no use pretending that we have grooms, buy three or four hats a season, and have things as easy and fine as they do."""
467483,than,liked,I,am,"If you'd remember that, and practice it, you'd be better liked than I am, because there is more of you."""
469536,than,aristocratic,we,look,"Today was fair, and we went to Hyde Park, close by, for we are more aristocratic than we look."
470916,than,more,I,am,"I feel restless and anxious to be seeing, doing, and learning more than I am."
472391,as,stupid,I,am,"I had been sitting near this door, finishing off the last sock, and trying to understand what he said to a new scholar, who is as stupid as I am."
472540,than,heavier,I,can,"is breaking, and still Thou makest my burden heavier than I can bear.”"
472801,as,Poor,he,is,"Poor as he is, he didn't forget a servant or a child in the house, and not a soul here, from the French laundrywoman to Miss Norton forgot him."
474804,as,happy,I,am,"I'm happy as I am, and love my liberty too well to be in a hurry to give it up for any mortal man."""
474865,as,vexed,she,could,"The girl went home in the evening , and when her mother saw her she was as vexed as she could be , and with good reason , too ; but it was still worse when she saw the toads fall out of her mouth and heard her voice ."
478440,as,bad,it,seems,"""Not so bad as it seems, for I should only plague him if I went, so I might as well stay and plague you a little longer, you can bear it better, in fact I think it agrees with you excellently,"" and Laurie composed himself for a lounge on the broad ledge of the balustrade."
479393,than,more,you,'d,"I don't pretend to be wise, but I am observing, and I see a great deal more than you'd imagine."
479556,than,effacious,he,would,"He tried to resume his former easy, indifferent air, but it was an affectation now, for the rousing had been more effacious than he would confess."
481511,as,better,it,is,"""No, Mother, it is better as it is, and I'm glad Amy has learned to love him."
481718,as,bad,it,looks,"But it's not as bad as it looks, and one can get on quite happily if one has something in one's self to fall back upon."
482256,as,better,it,is,"As I told you in my letter when I wrote that Amy had been so kind to me, I never shall stop loving you, but the love is altered, and I have learned to see that it is better as it is."
483928,than,wiser,we,are,"These children are wiser than we are, and I have no doubt the boy understands every word I have said to him."
484453,than,more,you,deserve,"You shall trudge away, and do your errands in the rain, and if you catch your death and ruin your bonnet, it's no more than you deserve."
487308,than,easier,you,think,It is easier than you think.
488248,as,contented,they,are,They are quite contented as they are.
493595,as,much,he,would,"So she gave him as much as he would have , and then she once more tried to make him go away ."
495350,as,Anomalous,it,may,"Anomalous as it may seem, this is precisely the case with the whale, who systematically lives, by intervals, his full hour and more (when at the bottom) without drawing a single breath, or so much as in any way inhaling a particle of air; for, remember, he has no gills."
498792,as,foolish,I,am,"Pythagoras, that in bright Greece, two thousand years ago, did die, so good, so wise, so mild; I sailed with thee along the Peruvian coast last voyage—and, foolish as I am, taught thee, a green simple boy, how to splice a rope!"
514036,than,more,I,do,But now I find that every man before the mast knows more than I do.
517824,than,uglier,I,think,What ifyou look a lot uglier than I think?
524362,than,more,I,could,"What he would do afterwards whether he would try to crawl right across the island from North Inlet to the camp among the swamps or whether he would fire Long Tom, trusting that his own comrades might come first to help him was, of course, more than I could say."
526679,than,more,I,could,Why the doctor had given it to him was more than I could fancy.
527068,as,ungrateful,you,think,"` Indeed I should , ' said Graciosa ; ' I am not so ungrateful as you think ."
529998,than,sharper,I,am,"You are sharper than I am , for that never occurred to me . '"
531024,as,careful,she,could,"She was as careful as she could be , and bent aside to get out of the way of the branches , and thrust them away from before her with her hands ; but every instant a branch struck against her eyes , and in spite of all her care , she happened to pull off one leaf ."
539131,than,foolish,he,is,I think you are a great deal more foolish than he is.
540754,than,more,I,say,"He will make himself believe that I mean more than I say."""
544022,than,more,I,know,"Doubtless you can tell me more than I know."""
544380,as,fat,it,could,"Next year , when he came home again to look after his mares and the foal , it was as fat as it could be , and its coat shone with brightness , and it was so big that the lad had the greatest difficulty in getting on its back , and each of the mares had another foal ."
547945,as,much,I,want,He has given me as much as I want .
548366,than,younger,I,am,"Oh, so you're little bit younger than I am,"
551004,as,Strange,it,may,"Strange as it may appear, he had expected much better success for his story."
552113,than,more,you,do,"Then he said : ` Well , now , you 've been out in the wood all the day and I 've stayed quietly at home , and all the same I know more than you do . '"
555459,as,Shameless,you,are,"Shameless as you are, why not declare yourself king?"
557941,as,much,I,know,"` If thou didst but know as much as I know , thou wouldst fly in to me through the window , ' said the Princess to the dove ."
557952,as,great,he,may,"But in interpreting revelation I am the equal of anyone, great as he may be!"
559923,as,righteous,he,looks,He is not as righteous as he looks.
561715,as,short,they,are,"When his attack was over, and the prince reflected on his symptoms, he used to say to himself: “These moments, short as they are, when I feel such extreme consciousness of myself, and consequently more of life than at other times, are due only to the disease to the sudden rupture of normal conditions."
564926,as,beautiful,she,could,"But Snowdrop was growing prettier and prettier every day , and when she was seven years old she was as beautiful as she could be , and fairer even than the Queen herself ."
566308,as,many,you,please,"“Friends as many as you please, but allow me,” interrupted the harsh voice of Lebedeff’s nephew “allow me to tell you that you might have treated us rather more politely, and not have kept us waiting at least two hours..."
568173,as,hungry,I,am,"Said he : ` I 've eaten up a whole oven full of loaves , but what 's the good of that to anyone who is as hungry as I am ?"
580287,than,cleverer,he,is,"Gania evidently could not make head nor tail of the matter, and turned as red as a lobster; but Varia understood at once that they must get away as quickly as they could, so she dragged Gania away; she is a great deal cleverer than he is."
588692,as,loud,he,could,"“So-ho!” the guard sang out, as loud as he could roar."
590838,than,older,I,am,"He is much older than I am, but he knows a lot of things about movies, basically, I doubt that there is anything that he doesn't know."
599628,as,such,you,are,"But this house , and you , such as you are , we have never seen or heard of . '"
607608,as,weary,I,am,"` Let us wait a little and rest , ' cried the Welwa for the second time , ` for I see you are as weary as I am . '"
608379,as,enough,it,is,We have not half enough as it is.
610607,as,better,it,is,It is better as it is.”
610632,as,better,it,is,"“Yes, yes: better as it is.”"
611527,as,cool,it,will,"as near cool as it will be, and heads bare to the breeze of our"
628544,as,comical,you,please,comical as you please.
640907,than,more,it,is,"There are moments when the extent of it seems doubtful; and till his sentiments are fully known, you cannot wonder at my wishing to avoid any encouragement of my own partiality, by believing or calling it more than it is."
641479,as,dull,they,might,"Luckily Lady Middleton's mother had arrived at Barton within the last hour, and as she was a very cheerful agreeable woman, he hoped the young ladies would not find it so very dull as they might imagine."
646984,than,more,I,profess,"But, in return, your sister must allow me to feel no more than I profess."
649202,as,happier,I,am,"However, I am much happier as I am."
655184,than,African,you,do,I don't look more African than you do.
657980,than,more,you,do,"The panels shrunk , the windows cracked ; fragments of plaster fell out of the ceiling , and the naked laths were shown instead ; but how all this was brought about Scrooge knew no more than you do ."
661773,as,Such,it,is,"Such as it is, however, my pleasure in presenting it to him, will be very great."
666476,as,little,they,deserve,"To John, to Fanny, yes, even to them, little as they deserve, I had given less than their due."
666706,as,pleasant,he,might,"`` He 's a comical old fellow , '' said Scrooge 's nephew , `` that 's the truth ; and not so pleasant as he might be ."
688068,as,old,he,is,She's about as old as he is.
688514,as,same,I,am,"jest come to me that you're in love, too, the same as I am."""
695846,as,headed,it,is,"Even the Crystal Palace, empty-headed as it is, felt that this was no time for Catherine-wheels."
696058,as,stupid,you,think,"I'm not so stupid as you think, George."
699566,than,better,it,is,"Well, I, seriously, Mr Chairman, conservative group for the County Council of Westminster is a lot better than it is."
701867,as,many,you,wish,"""Take as much gold as you want, take warriors as many as you wish, but bring me the beautiful mare with golden mane and diamond hoofs."
708262,than,calmer,you,are,"Far calmer than you are, Phillips."
708929,as,horrid,he,could,"""But, Mark, this dwarf wasn't poor, or anything else but just as horrid as he could be."
710322,than,more,you,can,"However , Tom did not remember ever having had a father ; so he did not look for one , and expected to have to take care of himself ; while as for running , he could keep up for a couple of miles with any stage-coach , if there was the chance of a copper or a cigar - end , and turn coach-wheels on his hands and feet ten times following , which is more than you can do ."
725537,as,such,it,is,"Not poor enough to refuse food to the hungry, such as it is."
725739,as,idle,thou,art,"No wonder thou hast no home, idle as thou art."
731313,as,easy,it,sounds,like that just say stop it and we realize now that that's not as easy as it sounds.
733653,than,smaller,it,is,This means that the statistics make the problem seem smaller than it is.
733858,than,sure,I,can,"A MOLE, a creature blind from birth, once said to his Mother: “I am sure than I can see, Mother!” In the desire to prove to him his mistake, his Mother placed before him a few grains of frankincense, and asked, “What is it?” The young Mole said, “It is a pebble.” His Mother exclaimed:"
735379,than,more,he,could,"The Ass, as long as he traveled along the plain, carried his load with ease, but when he began to ascend the steep path of the mountain, felt his load to be more than he could bear."
737560,as,strange,it,may,"This was the Gairfowl 's story , and , strange as it may seem , it is every word of it true ."
740788,than,stronger,I,am,"A GNAT came and said to a Lion, “I do not in the least fear you, nor are you stronger than I am."
741153,as,such,we,have,are good; but they lack both claws and teeth such as we have.”
744699,as,such,I,am,"I have jaws well provided with teeth, and feet furnished with claws, and I lord it over all the beasts of the forest, and what a disgrace it is, that being such as I am, I should be frightened by the crowing of a cock.” Jupiter replied, “Why do you blame me without a cause?"
745184,than,stronger,you,are,"“Why,” said the Kite, “do I see you with such a rueful look?” “I seek,” she replied, “a mate suitable for me, and am not able to find one.” “Take me,” returned the Kite, “I am much stronger than you are.” “Why, are you able to secure the means of living by your plunder?” “Well, I have often caught and carried away an ostrich in my talons.” The Eagle, persuaded by these words, accepted him as her mate."
753142,as,level,it,can,South-west from Armentières the country is as level as it can be.
754751,as,happy,he,could,"He was as happy as he could be , so far away from his wife and dear little children ."
756176,as,inaccurate,I,am,"""I'm sure he's quite as forgetful and inaccurate as I am."
758752,than,powerful,he,is,"With the emergence of Electro (Jamie Foxx), Peter must confront an enemy far more powerful than he is."
764964,than,stronger,I,am,"in a low voice, “it is stronger than I am."
765036,as,easy,it,looks,"""'Now, you see,' said OLD-man, 'that this is not so easy as it looks, but I am going to teach you all to play the game; and when you have all learned it, you must play it until you find out who is the cleverest at the playing."
766424,than,freer,we,are,"` We do n't want to be any freer than we are , ' they said ."
771205,as,close,I,get,"No no I I don't do that i I  I I get to within about ten feet, on the motorway, or twenty feet on the motorway and that's about as close as I get."
773145,than,more,she,could,"The lonely mother on the Plains of Sylhet became uneasy at the delay of the return of the Stag Lapalang, and when she heard the echoes of the hunting-cry from the hills her anxiety became more than she could endure."
775781,than,more,I,want,"but on the other hand, it's clean and kind of suburban little bit more than I want."
