sentence_idx,sentence
10404113,"As terrible as it may be, does bitterness justify the crime?"
803090,"Polly is more rash than I am, as the reader has observed in the outset of this memoir."
7397651,"As crazy as it sounds, not only does quantum physics... tell you that a little particle can be in two places at once... but the so-called Heisenberg uncertainty principle... tells you that sometime the particle... even must be in two places at once."
277,"And then to take each of those n partial products, and add them up."
737560,"This was the Gairfowl 's story , and , strange as it may seem , it is every word of it true ."
1024281,Minty felt her burden of guilt to be greater than she could bear.
282,"So, that gives you this first partial product."
283,"22, seven, twelve."
10158366,I can't Imagine any sin you've committed is as terrible as you fear.
288,"Now, the question I'm interested in is, how much work, how many primitive operations did we do to multiply these two numbers."
290,"Well, just to get sort of a ballpark view for what's going on, we started with two n digit numbers."
291,"And at the end of the day, we basically filled out a grid of size roughly n by n, give or take a little bit."
2294052,"and, um, that's, you know, that's as much as I know."
293,The grid is n by n roughly so that is roughly n squared operations.
296,We take the four we multiplied it by each of the n digits on top.
297,"We also did some carries, so that effects things a little bit."
3465514,"Now admittedly in practice, measuring reproductive success is a damn sight more difficult than it seems."
299,"And that's true, of course, for each of the n partial products."
6340908,"The literature of crime, such as it is, becomes"
301,"So, that's roughly n squared operations."
1999149,"Oh , Bertha , are you half as glad as I am ? ''"
303,"Then, we have to add it all up at the end."
1868079,"I suppose it 's better as it is , all things considered ."
9601329,"Wow, you're lighter than I remember."
10101042,She may not be as sweet as she looks.
307,"And if you want to be an expert algorithm designer, that kind of obedient attitude is something you're going to have to learn to discard."
308,Here's a favorite quote of mine.
4915508,"Jai, what you said is not as easy as we talk."
3850550,Sometimes I'm not as brave as you think.
10772788,Medical proof I'm as human as you are.
315,"So, this will come up over and over again."
316,We'll see an algorithm.
9199933,"WHICH IS YOUNGER THAN YOU MIGHT THINK,"
1597758,`` Is it as nice as it sounds ?
320,What could it possibly look like?
321,"So, as someone with some programming experience, you know that they are not only iterative algorithms, iterative programs, like the one we just outlined for multiplying two integers."
5439810,WITH AS MUCH AS THEY COULD TAKE.
8593733,But it's perfect as it is.
326,What must such an algorithm look like?
328,"That is, on smaller numbers, numbers with fewer digits."
4587848,"If they caught more than they could eat, they buried some to eat later."
330,"Well, if you think about it, there's a pretty natural way to break a number with a bunch of digits into a couple numbers with fewer digits."
331,"Namely, just take the first half of the digits, the first n over two digits, regard that as a number in its own right."
1089867,"`` I wish you would explain the matter , John , for I am sure it is better than it seems , and it would be very hard to punish you when you do n't deserve it . ''"
5734731,That's kind of the point of this series of classes too is to get you to look at your home a little differently so that you'll be able to diagnose and change some of the ways you might be wasting energy and if you ever build a new home you will can see what you need to be looking for from your builder to ensure your home can be as energy efficient and as comfortable as it can be .
9027914,"And I have the dance background, so I had that mentality already, but even with that, and being as active as I am,"
336,"Similarly, we will write y, the second input in terms of its first half and second half of digits, c and d."
338,"I'm assuming for convenience here, that n is even."
426322,They are as real as we are.
6635862,she's a lot smarter than you are ?
343,And then similarly for c and d.
9888088,It's not as unromantic as it sounds.
9625945,"Kee, I swear to you, I am just as upset as you are."
347,"So, x times y, by a representation, is just the same thing as ten n over two times a plus b times quantity ten to the n over two c plus d."
348,"And now, if we expand this in grouplike terms, we get a ten to the n times ac plus ten to the n over two times ad plus bc."
350,"And I'm going to call this expression circled in green, star."
352,"Now, it's not clear whether that algorithm is going to be fast or slow, whether this is a good idea or a crackpot idea."
355,Those are all n over two digit numbers.
9707876,"That's right, I'm just as guilty as he is."
10133859,"Miles, this situation is more complicated than you think."
2007403,It's not as bad as it looks.
5661036,"Well Chairman I'm grateful for that, that information, what it says is that er, everybody else is just as confused as I am."
4325741,That was as close as I can get.
5988716,"virtues of this class of girl, and rare as it is, it is one least"
367,"So, in multiplication, all you'd do is, if your past as input two single digit numbers, you'd multiply them in one primitive operation, and return the result."
10092907,"Amanda, Lynn is more important than you know."
371,"So, in lieu of answering that question, although we will answer it several lectures hence, I want to show you a second, still more clever, recursive algorithm, for integer multiplication, so this goes by the name of Karatsuba multiplication after the founder, although really it's sort of the key point, there's a trick pointed out by the mathematician, Gauss, in the early nineteenth century."
74099,"`` Well , '' said the East Wind , `` I have heard tell of the Prince , and of his castle , but I do not know the way to it , for I have never blown so far ; but , if you like , I will go with you to my brother the West Wind : he may know that , for he is much stronger than I am ."
373,"So, we have the product x times y, which we wrote as ten to the n ac plus ten to the n over two ad plus bc plus bd."
90488,you are not so unfortunate as you suppose .
379,"There's ad plus bc, the coefficient of this middle term, and there's bd."
380,"So, we care about ad and bc as quantities individually, only in as much as we care about their sum."
383,"In fact, we can't, and that's Karatsuba multiplication."
384,"So, to be more specific, our first two recursive calls are shared with the previous recursive algorithm."
8397183,I'm as surprised as you are.
688514,"jest come to me that you're in love, too, the same as I am."""
1458564,More than you know.
4317573,cling to those wretched ruins is more than I can understand.
8995204,"Thomas, I don't know any more than you do."
392,This gives us another second recursive algorithm from multiplying two integers that makes use of fewer recursive calls.
852361,"""Shall I feel it in my quills when I am as old as you are?"""
6005132,that was more than I could say.
9363853,It's as cold as they come.
402,You can do a lot of other things.
403,In particular the second recursive algorithm
11184348,"Mrs. Kosterman, don't make this job any tougher than it is."
407,"So, in particular, confronted with these three different integer multiplication algorithms, how could we not wonder which of the three is the best?"
409,"In particular, does one of these novel recursive approaches do better than the algorithm we"
10494362,y ou are no as supid as you look.
6037915,You are faster than I am.
8642973,I know no more than you do.
7471520,"It was very startling, but now even as loud as it is, it occurs and I don't even notice it because I'm habituated to that because of experience."
4252066,"So, as much as you can speak, you can say, which today everyone is saying something, isn't it?"
786852,"""The sky is heavier than you imagine, my son,"" Atlas replied."
7709092,You're not as sweet and innocent as you look.
423,(Laughter)
5710252,Be as sweet as you look.
429,"Your brand is what other people say about you when you're not in the room, the saying goes."
7381422,He could be as ill as she is.
10961327,"What, you'r e saying that Dave's better than I am?"
11198894,Not half as glad as I am.
434,But how?
435,"First of all, they can give employees and customers more control."
9044404,I'll be damned if you don't feel as firm as you look.
437,"They can give them more control over pricing, which is what the band Radiohead did with its pay-as-you-like online release of its album"
9101748,"for as bright as you are, you are as dumb as a bag of hammers -- dumb, dumb, dumb!"
439,"Buyers could determine the price, but the offer was exclusive, and only stood for a limited period of time."
868791,What would happen if everybody was normal as I am.
5235127,I call her little in spite of the fact that she's somewhat older than I am.
442,It asked customers to purchase chocolate with the promise of good deeds towards loved ones.
444,Companies can even give control to hackers.
445,"When Microsoft Kinect came out, the motion-controlled add-on to its Xbox gaming console, it immediately drew the attention of hackers."
446,"Microsoft first fought off the hacks, but then shifted course when it realized that actively supporting the community came with benefits."
447,"The sense of co-ownership, the free publicity, the added value, all helped drive sales."
3883454,More than you can imagine.
449,Outdoor clothier Patagonia encouraged prospective buyers to check out eBay for its used products and to resole their shoes before purchasing new ones.
450,"In an even more radical stance against consumerism, the company placed a ""Don't Buy This Jacket"" advertisement during the peak of shopping season."
451,"It may have jeopardized short-term sales, but it builds lasting, long-term loyalty based on shared values."
1458628,"Yes , old and useless as I be , there 's an awful longing sweeps over me at times to sail out -- out -- out there -- forever and ever . ''"
453,The Brazilian company Semco Group famously
6922695,Clearly this is bigger than I am.
457,"Traditional business wisdom holds that trust is earned by predictable behavior, but when everything is consistent and standardized, how do you create meaningful experiences?"
458,Giving people less control might be a wonderful way to counter the abundance of choice and make them happier.
1106379,"It's possible, as gruesome as it is."
462,"Similarly, Dutch airline KLM"
10445262,I'm better than you are.
4268496,"er that if the structure is to be offered, accepted and approved then court of protection costs should be lower than it would be, if the lump sum order was eventually made"
465,Is there anything companies can do to make their employees feel less pressed for time?
1090001,"Then the color faded away , the boyish face grew steady , and the honest eyes looked up at his teacher as he said very low , but all heard him , the room was so still , -- `` It is n't as bad as it looks , sir , but I ca n't say any more ."
467,Force them to help others.
3621332,"Frieza is now able to launch a huge assault against the surprised Goku, who had not expected Frieza's power to be as high as it is."
10207699,Please tell me that that sounds worse than it is.
470,"By applying a strict process, we give them less control,"
74198,"The story of Pinocchio and the Talking Cricket, in which one sees that bad children do not like to be corrected by those who know more than they do."
6259161,But being a lion may be harder than you think.
7692763,"So forget the idea that you can have as much as you want, because until mankind surrenders to the fact that it lives on a finite planet and it must have balance with that planet, with the planet's resources, with the animal life,"
10625499,Not as easy as it looks.
477,"For the true selves of companies to come through, openness is paramount, but radical openness is not a solution, because when everything is open, nothing is open."
480,"They can worry about how much openness is good for them, and what needs to stay closed."
481,"Or they can simply smile, and remain open to all possibilities."
1516000,Here 's poor Mary Keith dying and what is to become of those two children of hers is more than I know .
11223520,As stupid as you are.
8020453,It's a lot more common than you think.
9560550,That's as clear as it gets!
90601,That's why you look older than you are!
786922,"reporter who knows more than they do, in order to make him talk."
491,Let's have a look at what she has prepared.
492,"This is a common joseki, which you can see, and you all probably know it."
942572,"I hoped you would take my crown for a plaything, and me ah, you laugh, naughty Proserpina me, grim as I am, for a playmate."
494,"Let us start with saying that A, B and C are possible moves for white."
1384943,My correspondence with my husband is more important than I can say.
6742506,"betterment; but such as they stand, and have always stood, alone."
497,"And E for white is a trick play, which is difficult to answer."
7209452,"She's more clever than I am She's more honest than I am,"
7397866,"Impossible as it may sound, experts think there may be... a way to travel through a wormhole... and live to tell about it."
8143340,"You're wasting your charms, such as they are."
2023925,"You 're rained in for the night , and I 'm as glad as I can be ."
502,It looks very slow but it's a good move and a very solid move.
6357494,You're different than they are.
10142191,He ain't any older than they are.
107001,"said he ; `` does he laugh at my unhappiness , and think himself more fascinating than I am ?"
506,This is an easy way to play.
9519610,"- She eats very much, even more than I do."""
10756595,"Now, she's much older than he is, and they went together for years."
9445887,So you're not as dumb as you look.
10052096,"Yeah, as many as you like."
514,"White peeps here but black does not connect, but tries to make his framework bigger."
9568771,I'm just a little busier than he is.
516,"White can't play the hane at A because this move for black, [A], is always sente because black can capture the white group at [B]."
518,"When white already has the [A] stone in place, it is not good for black to push up here."
5865991,"I mean they they're all  er some, some countries which we call demo democracies erm aren't the same as we are, they're"
8946183,Thing is as strong as we are.
11035146,You can't deny that some of the girls are as good as it gets.
523,This is a very nice and solid move for black.
524,And can be played without fear.
525,Next black can aim to play at A or B.
526,It's more or less a miai situation.
528,But white can also use this aji.
6136336,"Oh, I'm much more sorry than you are."
532,That's just playing simply here.
1942036,greater than she could bear.
534,"It's a little bit crude, but after this you can play tenuki as black."
205335,- I might know more than-- more than you think.
10641945,It can't be as bad as you think.
539,Or..cut!
221724,I will ask them if they have seen any princess who is as clever and as handsome as I am . '
467483,"If you'd remember that, and practice it, you'd be better liked than I am, because there is more of you."""
542,And after this white can jump.
4301342,"And speaking of Pokémon much smaller than you think,"
544,So black can not cut white.
9593371,Far less than you deserve.
546,"White can simply push [here], and when black defends..white can connect in sente."
547,"Instead of [this] move, white can also take it more easy and just extend."
548,After this hane it's very tricky and black has to be careful.
2081316,"This action rapidly warms the cold water, which contributes to rising sea levels, as water becomes less dense as it warms."
2818596,"That's high praise for ""Death"" but no more than it deserves."
7430690,You know as much as I do.
552,White got very strong on the outside.
7635492,"His reasoning here, brief as it is, is worth following."
1655338,"You 're taller than I am , I declare ."
5734955,To do that we have to differentiate between the inside of a house and the outside of a house which sounds pretty easy but in some houses and some designs it's not as easy as it seems.
556,"Instead of pushing here, white can also play the hane."
6816299,"Yes, he's quicker than he thinks."
9314853,"No, really, it's a lot harder than you think."
11280934,I'm not as rich as you think.
561,After this it's not urgent for black to save the 2 stones.
2818611,"I say , if they comfort thee , I who was Abbot of Such-zen , will make as many as thou mayest desire ."
10035766,Pop stars are wiser than you think!
1417783,"Oh , he could n't find you without help , smart as he is , '' answered Thorny , incredulously ."
5341751,not everything is as easy as it looks ?
10076726,I haven't seen anyone eat ramen noodles as sexy as you do.
5210683,she's almost as big as you are .
572,If black plays hane it's a little bit dangerous.
576,So instead of playing the hane it's better for black to just jump away.
578,Check out [episode #5] if you're interested.
582,"Yes, the lower side looks quite nice, right?"
584,But black has [this] move!
3318346,"Evelyn, I thinkyou're stronger than you realize."
3400270,Go and make him good as you want.
591,How about jumping to here?
10994255,"She put the key in the latch, proud as you please."
8381009,She was as tough and dedicated as they come.
5284434,"She is also, according to Watterson, the only person Calvin truly fears— certainly she is his equal in sneakiness, and is willing to play as dirty as he does."
595,"If white plays here to protect against the invasion, black will play like this."
596,The [shoulder-hit] is the [vital point].
597,White is flattened.
9675347,- It's more dangerous than you realize.
599,This is ofcourse good for black.
483928,"These children are wiser than we are, and I have no doubt the boy understands every word I have said to him."
2597466,"No one in the whole world is so sensitive as I am , I am quite sure of that . ''"
603,It will be reduced greatly.
344667,You’re more selfish than I am.
10674781,~ So don't make things more difficult than they are!
2097758,And that's about as simplified as we can get.
607,"Black continues at A, B or C to handle the situation."
612,Yes.
8094308,"It's as good as it gets, boss."
221798,"` Have you anywhere seen or heard of the daughter of an emperor , king , or a prince , who is as clever and as handsome as I am , and who would be worthy to be my wife and the queen of my country ? '"
9200234,More than you'd like.
619,He doesn't want to get under pressure as white.
620,Right.
621,"So let's maybe first have a look what happens when black [doesn't] play like this, but plays [here], this is the normal move.."
3097203,"I've got muscles, more than you think."
629,And this also puts pressure on white's group right?
630,Right!
8962679,"And they're not confident, so they try and make you feel as sad as they do."
632,"In this situation, this is a nice move."
635,Right.
636,So white needs to link up.
5276283,This bag is as heavy as she is.
8012415,Eat as much as you like.
642,White needs to go out here.
643,And these are good moves because if white omits [this] move.. .. then black will play this move.
644,"Ah, and it will become sente aswell."
10412678,I suppose this business of acting isn't so easy as it looks.
7258760,"So a serious thing, a lot of people get put off by notation, it looks scarier than it is, there's nothing going on here except for notation at this point."
7209609,And some things are bigger than you are.
893578,"So I, I believe we don't spend anywhere near as much as we should do."
787088,"Here comes another Giant, as strong as you are, to fight with you."""
658,It's very ugly shape.
9478803,But we're busy as it is.
661,And connects underneath.
156309,In a little while he called her to sit beside him ; but this was more than I could bear .
7783062,You ain't so stupid as you look.
666,After black calmly answers.. ..he can later aim at this point.
667,Which is the weak point of white's shape.
5169820,"Erm  you know people know the answers  questions or they've got an idea  material  of your own experience you know a lot more than they do, but it's good technique to throw it back to the group."
10379932,I'm not as wise as you are.
1909406,"those blue waves hide; and this circumstance, slight as it may seem,"
5710495,Hugh has two sisters and a brother and all of them are older than he is.
673,"However, it has a better follow-up."
3875489,"loathsome as he is, the wanton, thoughtless tortures inflicted upon him"
681,And this is also a good move to make the lower side more solid.
2548393,"Also, just by asking Congress, the President shows that he respects them as equals, and is not more powerful or important than they are, like a King would be."
2884266,"Now, the monkeys meet two guys who aren't giving them bonuses; they're actually giving them less than they expect."
7701162,"More than you know, son."
688,After this black can take sente and he can flatten white.
689,"Regarding the joseki in the lower left corner, this is a [vital point] to reduce white's shape."
690,"This is standard way to make shape for black, we've also seen this before."
10052276,"And as amazing as it may seem, you know who else was there?"
11477486,- They're fast and they're fucking stronger than you know.
1450683,"in the Washington area, of course, being as affluent as it is, there are lots and lots of Volvo dealerships down here"
6234811,"As frustrating as it can be, we forget people's names, birthdays, and other things we'd like to remember."
701,But in fact it's not that great.
9093824,She's stronger than you think.
705,And he is solid.
7987905,Stroonger than We are.
710,"So instead of playing this hane, the strange move by connecting [here] immediately, is the [right one]."
711,Surprising.
3211976,"not so old as I am, for I am very, very old, and tonight I feel that"
11436745,"I thought I'd found it, but I guess fitting in can be a lot more complicated than it seems, huh?"
714,"However, white gained a little bit of profit on the left side, compared to white's usual approach at [A]."
715,The two white stones on the left however are also very vulnerable to attack.
8241866,"Burt, this isn't going to be as easy as you think."
10543823,I don't believe in biting off more than i can chew.
9003730,About as good as it looks.
2884307,But now they learn these guys are going to give them less than they expect.
6300374,"over my surprise, old as I am, at the surly moral manners, the"
727,"When we use scientific terms wrong, all it does is misinform the portion of our audience that doesn't know what those terms mean, and creates cringe-worthy moments for the people who do."
728,"This violates the main principles of design, all of your decision should serve your audience."
8094423,It's bigger than it looks.
10945239,It's tough when your cake figure is more handsome than you are.
1360603,"These children are wiser than we are , and I have no doubt the boy understands every word I have said to him ."
732,Science fiction is an attempt to deliver a view of a possible future.
10289884,"And now that I know the truth, I know more than ever that you and I are a lot more alike than you think."
734,"It takes what we know of the universe today, and uses it to explore concepts that fall out of that understanding."
735,"Star trek, at least up through next generations, was a great example of this."
3662558,There must be more than you expect.
5276382,"permit a poor, ignorant, coloured man to be more polite than I am?"""
8757986,"It's difficult, it's not as easy as you think."
741,The other type of sci-fi is future fantasy.
7529189,"We're not going to be able to pin down the value of B0, but that's not going to be important as we have, as, as you have been seeing in all examples and applications, the exact value of B0 doesn't really, really matter, and there are some exceptions later on the course but it, it's not important."
746,"And when some explanation is necessary, they give a vague,"
747,"""umm... because technology!"
9765611,Making the shell slide off like this is trickier than you'd think.
7299824,"And I hope that they all succeed, and I hope only that we end being just a wee bit better than they are."
8151793,You look younger than I am.
754,"The danger only comes in when a creator can't commit, and tries to layer vague, ""sciencey"" terms over their work, because they don't feel their audience will be able to maintain the suspension of disbelief otherwise."
8282865,A man your age to be as strong as you are.
3498741,This is more than I can handle.
759,Believing in the force is sort of the price of entry into the Star Wars universe.
760,"If you're participating in something Star Wars, and you can't invest in the Force, you're either pretty much saying that you don't want to be there, or that the creator hasn't adequately framed the Force within their work."
2851576,doing more to get people to be proud of being bald than you are ?
763,"""Oh, it's in the blood""."
11043581,"Most of our volunteers get back a lot more than they give, because they go back to their countries of origin and make different decisions about how they spend their own resources, their money,-"
766,"Using real science, and allowing that to be the floor that helps you ground your universe in an internal logical constancy."
767,"That's why science fiction works, not just because it sounds ""sciency""."
4727552,As many as you can get.
769,"Which is what makes science fiction so great, and on the flip side, the limitless freedom that technology provides future fantasy is what allows it to deliver compelling stories and explore such a wealth of ideas."
771,"So yes, that is why technobabble sucks."
9159432,"Yeah, well, this job's not as easy as you are, Princess."
777,Even if many of us don't actually understand it.
9626378,"So... seems that I'm not quite as smart as you think, Mr. Deane."
11076363,-He's not as stupid as he looks.
780,"We got help from some in writing this, but it's still"
4481804,"I want you to look him right in those eyes until the rest of him... is just as dead as they are, understand?"
2442000,"Because I think, you know, um, I sort of feel guilty, you know, given that she makes twice as much as I do."
4539152,- It's as high as it'll go.
1524500,"Indeed I think we frightened some schools six months ago erm not by any means er wi malice aforethought if er, because we all thought that the financial situation might be very much worse than it is."
4473623,"I want you to look him right in those eyes until the rest of him is just as dead as they are, understood?"
794,Brownian motion is simply the seemingly random movement of particles in liquid.
3932955,I'm late as it is.
797,"This one's tough to sum up, but it really just boils down to linking space and time mathematically."
9716511,So you're as guilty as he is.
801,"You have to have some way to equate the two, at least interrelate them."
10109730,And that's absolutely as ridiculous as it sounds.
807,"For most of human history, we thought of a plane as a flat surface."
808,"If you go back to Euclid, who set out the cornerstone logic that would define all of our mathematics up through calculus, you'll find that's essentially how he defined a plane with postulate 5, so that how we've always seen it."
9560871,More than you'd think.
812,Thinking of reality existing in flat planes is also wrong.
813,The spacetime plane of reality is often curved by the gravitational force of massive bodies
7635756,"We need to avoid the temptation, in many ways understandable as it might be, to airbrush or sanitize"
815,"And rather,think of massive bodies distorting the plane of reality."
817,"Which is defined by the distorted spacetime, created by the massive sun."
819,light are still affected by this distortion.
820,All this really means in a sci-fi sense is that we can't rely on our traditional geometry to understand how things work in these sections.
3105588,Paddy is twice as smart as you are .
9061174,"Under fire, I hear He's as brave as they come."
2261815,"cost enough as it is, even when you don't hang them on the stones out"
824,"I'm probably starting to lose some of you now, so I'll go ahead and stop here."
7594809,"Simple as it is, this model is very powerful."
826,You made it abundantly clear how much deeper the rabbit hole goes.
6669114,"I may know more than you think, partner."
