idx,sentence
2140,"Short as Miranda 's absence had been , it had seemed like a hundred years to the King of the Sheep ."
2109,"`` Old as I am , '' replied the cobbler , `` I have very good eyes , and will you believe me when I tell you that I sewed a dead body together in a place where I had less light than I have now . ''"
2619,"improbable though it might be, and had just been nailed down"
1758,"The goldsmith at once knew how it had come to pass, and that the children had eaten the heart and liver of the golden bird, and in order to revenge himself, and because he was envious and hard-hearted, he said to the father, “Thy children are in league with the Evil One, do not take the gold, and do not suffer them to stay any longer in thy house, for he has them in his power, and may ruin thee likewise.” The father feared the Evil One, and painful as it was to him, he nevertheless led the twins forth into the forest, and with a sad heart left them there."
2872,"Presently Suliman made a sign with his hand that the people should be silent , and said : `` I have accepted the crown you have offered me , but only that I may keep it for Prince Darling , who is not dead as you suppose ; the Fairy has assured me that there is still hope that you may some day see him again , good and virtuous as he was when he first came to the throne ."
2173,"So he said it thrice more, but also in vain: “Confounded girl that you are, get up!” cried he, “Get up, or it shall be worse for you!” When he had said that, St. Peter suddenly appeared in his former shape as a discharged soldier; he entered by the window and said, “Godless man, what art thou doing?"
268,"`` It 's a mercy , '' he said , `` that they did n't root up the tree on which I was perched , or I should have had to jump like a squirrel on to another , which , nimble though I am , would have been no easy job . ''"
3906,"late as it is."""
4005,"Span's owner shook his head; devoted though he was to his dog, he felt"
2853,"Since thou pridest thyself on being a master-thief, I will put thy art to the proof, but if thou dost not stand the test, thou must marry the rope-maker’s daughter, and the croaking of the raven must be thy music on the occasion.” “Lord count,” answered the master-thief, “Think of three things, as difficult as you like, and if I do not perform your tasks, do with me what you will.” The count reflected for some minutes, and then said, “Well, then, in the first place, thou shalt steal the horse I keep for my own riding, out of the stable; in the next, thou shalt steal the sheet from beneath the bodies of my wife and myself when we are asleep, without our observing it, and the wedding-ring of my wife as well; thirdly and lastly, thou shalt steal away out of the church, the parson and clerk."
1920,"But busy though they seemed , they found time to whisper to each other : ` If we can only get hold of that basket it will make our fortune ! '"
2938,"Father Grumbler stared in silence for an instant , and then he began to swear so loudly that even his family , accustomed as they were to his language , wondered at him ."
3615,"he added: ""Naughty as you are, you're the life and soul of the party."""
619,"Now the queen 's eyes were very sharp , and it seemed to her that the man who stood before her , tall and handsome though he might be , was different in many slight ways , and in one in particular , from the man who had fought the tourney ."
2564,"But , frightened though they were , they did not forget to beg the lightning to take off the wolverine 's coat and to free his legs , but to be careful not to hurt him ."
735,"I really think that , bad sleeper as I am , I might have a good night on it ."
2848,"Small as their possessions were, they had one thing they could not do without, and that was a horse, which contrived to live upon the grass found by the side of the highroad."
3952,"shouted the breath of the wind, as loud as it could."
766,"He reminded her of the old mandarin, and the crooked-legged field-marshal-major-general-corporal-sergeant, but she wept so bitterly, and kissed her little chimney sweep so fondly, that he could not do otherwise than as she wished, foolish as it was."
3454,"""Good and obedient as she is to"
2110,"She shrank in terror , but , slight as was the noise , the thing heard it , and raised its head to listen ."
901,"such stealings, great though they be, have little or no effect in"
1193,"This match, however, brilliant as it was, seemed not to the mother's taste."
2331,"Man, preeminent though he is in the animal kingdom, capable of reacting"
1137,"front it today exhibits are not comprehended; and, fastened though it is"
2216,"States, young as it is, is ripening rapidly, and the Socialists claim,"
3987,"But , industrious as he was , he could hardly buy bread and cheese for himself and his wife , and they grew thinner and thinner daily ."
4045,"From dawn to dark he stood on the banks of the little stream , without hooking anything better than an eel , or a few old shoes , that even he , clever though he was , felt were not worth mending ."
907,"Old though she was , it seemed impossible to tire her ."
3344,"Thus the little moments,     Humble though they be,   Make the mighty ages     Of eternity."
4004,As tight as you can.
2314,"But pleased though the boy was , he determined not to tell anyone about it , particularly not his mother , who never could keep anything from her neighbours ."
1800,"They had been very happy all these years , but they would have been happier still if they had had any children ; but old though they were they had never made up their minds to do without them , and often they would sit over the fire and talk of how they would have brought up their children if only some had come to their house ."
2573,"Of course , if the eagle himself was there to protect them even the lindworm , big and strong as he was , knew that he could do nothing ; but when he was absent , any little eaglets who ventured too near the ground would be sure to disappear down the monster 's throat ."
1136,"When he was made fast , the young man began to blow softly on his flute , and bound though he was , the king 's body moved to the sound , up and down the fir tree till his clothes were in tatters , and the skin nearly rubbed off his back ."
3095,"As pervasive as Logic is in human affairs, it's not limited to purely human use."
1149,"` Bitter as it was to me , I was forced to go when she bade me , and I have wandered about ever since , with grief gnawing at my heart ; for how can a masterless man , without money or goods , ever hope to win the lovely Lucia ? '"
3309,a gent like Bill Gregg--fine fellow though he is--what d'you think I
3359,"So they came near the door to get a peep, and who should come out but the King himself, as handsome as you please, and no other but King Whiskers himself."
379,"Well, Donald was a shrewd fellow, and, downhearted though he was, began to think if he could get any good out of Daisy's death."
1297,"as comfortable as he could behind a log, although he longed to stand"
1269,"The old woman said it had not, and that nothing could compensate her for the loss of it, for she had reared it herself; that there was never before seen such a cat for catching mice; that a cat, spotted as that one was, was seldom found; and that it was of the rare breed which gave rise to the common saying:"
913,"But the woman had been fond of the Black Rogue , thief though he was , and she shrank from the Shifty Lad in horror , and set the people after him , and he had to fly to another part of the country where none knew of his doings ."
1319,"I am the person you want , ' they all exclaimed at once , and the attendant , as much bewildered as the chamberlain had been , desired them to follow him into the king 's presence ."
336,"At first the little creatures, many though they were, could hardly stir the heavily loaded truck; but the Woodman and the Scarecrow both pushed from behind, and they got along better."
3965,"And dumb and stupid as this may sound to you... what I can never be, not ever... is Japanese."
2516,"but it's stays pretty cold even, uh, during the Winter, for as nice as it is."
502,"She got used to find him absent by day , and they spent a happy twelvemonth together , and at last a beautiful little boy was born ; and happy as she was before , she was twice as happy now , for she had her child to keep her company in the day when she could n't see her husband ."
2909,"But lone white swans though ye be, ye shall keep for ever your own sweet Gaelic speech, and ye shall sing, with plaintive voices, songs so haunting that your music will bring peace to the souls of those who hear."
3473,"am I not able to do it again, tall and strong as the two uf you haf"
1255,"And one said to him, 'Far would it be from the mind of Dermat to await thee here, knowing as he does that his life is in peril.'"
402,"But everything came back presently, as vivid as it had been"
2308,"Even the King, indifferent as he was, sometimes looked at the little fellow with sad tenderness, noticing how cleverly he learned to crawl, and swing himself about by his arms, so that in his own awkward way he was as active as most children of his age."
1784,"Lame as he was, anybody could see he was born to be a king."
1827,"For somehow, boy as he was, when he heard he was born to be a king, he felt like a man like a king who could afford to be tender because he was strong."
2199,"He had been angry ever since he learned how his uncle had taken the crown and had felt as if, king as he was, he should like to strike him, this great, strong wicked man."
451,"well, it really wasn't quite, as bad as you thought, was it, was it?"
1958,"This seemed to the girls more and more wonderful , but tired and sleepy as they were , they thought no more about it , but crept into the little beds , drew the coverlets over their heads and were soon asleep ."
2,"Idiot though he was , he was never unhappy , but always thanked gratefully those who fed him , and sometimes would stop for a little and sing to them ."
1704,"The young man pulled up and removed his cap , for , idiot though he was , he knew that when you have to do with people greater than yourself , a cap is more useful in the hand than on the head ."
2567,"For miles round the country was bare , for the enemy had cut down every tree and burnt every blade of corn ; and , idiot though he might be , Peronnik was able to grasp that inside the gates men were dying of famine ."
1585,"And at his braying the animals came running , numerous as the stars in the sky , so that scarce was I able to stand among them ."
3125,"But , rapid as the pace was , it was not rapid enough for Bellah , who stooped and said : ` The swallow is less swift than the wind , the wind is less swift than the lightning ."
1022,"He had been a few paces behind the others during the black-jack incident, but, dark as it was, he had seen enough to show him that the occasion was, as Smith would have said, one for the shrewd blow rather than the prolonged parley."
1056,"Reluctant as they might be to abandon their fallen leader, it must be done."
1854,"""I am loath,"" observed Smith, ""to interrupt this very impressive brain barbecue, but, trivial as it may seem to you, to me there is a certain interest in this other little matter of my ruined hat."
3132,"But , quick though he was , Gudu had been quicker still , and nothing remained but some drops of water ."
1518,"Affrighted though she was, Wendy swelled with pride."
1954,"They were his dogs snapping at him, but, tragic figure though he had become, he scarcely heeded them."
2517,"Inconsequential though they may seem, there is a"
2270,"What could the bewildered scouts do, masters as they were of every war-like artifice save this one, but trot helplessly after him, exposing themselves fatally to view, while they gave pathetic utterance to the coyote cry."
2293,"Thus terrible as the sudden appearance of the pirates must have been to them, they remained stationary for a moment, not a muscle moving; as if the foe had come by invitation."
2476,"I will follow them , ' said the duckling to himself ; ` ugly though I am , I would rather be killed by them than suffer all I have suffered from cold and hunger , and from the ducks and fowls who should have treated me kindly . '"
4080,"“I don't think so,” said the first twin, as clever as the others."
198,"Fine gentlemen though he was, the intensity of his communings had soiled his ruff, and suddenly he knew that she was gazing at it."
2183,"Misguided man though he was, we may be glad, without sympathising with him, that in the end he was true to the traditions of his race."
1717,"In a country which is full of wild beasts of all sorts there once lived a jackal and a hedgehog , and , unlike though they were , the two animals made great friends , and were often seen in each other 's company ."
1230,"This was followed by a voice , hoarse as that of a bull , which cried : ' I smell the smell of a man . '"
3583,"She was too late ; the dawn was already breaking , and the head fell to the ground , dead and corrupt as it was before ."
48,"She went skipping slowly down the outside walk, thinking him over and saying to herself that, queer as it was, here was another person whom she liked in spite of his crossness."
943,"But , quick as she was , Eglantine , her maid of honour , had time to see where she went , and jumped from the carriage in pursuit of her , followed at a distance by the guards ."
2254,"As she gazed a thrill ran through her , for she felt that , worn and wasted though he was by illness , it was the face of her destined husband ."
2557,"But , small as she was , she made herself so heavy that , after staggering a few steps under her weight , he laid her down , and tied her fast to a tree with some of the ribbons of his hat ."
2873,"These words , low though they were spoken , reached Becasigue , who could hardly believe his ears ."
1578,"Trembling with rage though she was , she dared not show it , and only laughed hideously . '"
2048,"But , low as she spoke , the giantess caught the words , and began to laugh ."
2704,"Just as she had finished speaking the six thousand frogs returned , looking so strange with bees sticking to every part of them that , sad as she felt , the poor queen could not help laughing ."
2588,"Joyful indeed was the old man as the cows went into their stables , and he beheld the rich milk that flowed into the pail of the golden-haired maiden with the silver comb ."
2980,"` Surely I can catch him , good swimmer as I am , ' to himself ."
3054,"` Surely I , good fisher as I am , can catch him , ' said Covan son of Gorla ."
3090,"And, uh, in general though I've, I've been really disappointed with a lot of other centers I've worked at, and it, all and all"
3232,"And now , as to your reward , you shall in truth take your sister home with you , and your brothers I will restore to life ; but idle and unfaithful as they are their lot is to wander for ever ."
3685,"By dint of spying through keyholes and listening at doors , he learned that the king , old and ugly though he was , had fallen in love with the Princess Bella-Flor , who would have nothing to say to him , and had hidden herself in some mountain castle , no one knew where ."
1456,"Shut in and morbid as his life had been, Colin had more imagination than she had and at least he had spent a good deal of time looking at wonderful books and pictures."
235,"He looked up at the sky, flushed and glowing with the strangely new exercise, slight as it was."
996,"It was the first time Mary had heard of them, either, but even at this stage she had begun to realize that, queer as he was, Colin had read about a great many singular things and was somehow a very convincing sort of boy."
3165,nice though aren't they?
3580,"Mortally wounded as he was , the Stalo was not yet dead , and managed to swim to the shore ."
1348,"But, strange as it seemed to him, there were minutes—sometimes half-hours—when, without his knowing why, the black burden seemed to lift itself again and he knew he was a living man and not a dead one."
2202,"Sick and giddy as Mowgli was he could not help enjoying the wild rush, though the glimpses of earth far down below frightened him, and the terrible check and jerk at the end of the swing over nothing but empty air brought his heart between his teeth."
3683,"Sore, sleepy, and hungry as he was, Mowgli could not help laughing when the Bandar-log began, twenty at a time, to tell him how great and wise and strong and gentle they were, and how foolish he was to wish to leave them."
3754,unfathomable as it was mysterious and as mysterious as it was
2697,"Angry as he was, Rikki-tikki was very frightened as he saw the size of the big cobra."
2363,"A camel had blundered into it, and wet and angry as I was, I could not help laughing."
1994,"The blade was always bright and clear ; each time she looked she had the happiness of knowing that all was well , till one evening , tired and anxious , as she frequently was at the end of the day , she took it from its drawer , and behold !"
3600,"And the maiden believed what the prince told her ; and in the morning when he put on his lion 's form she took a knife and slew him , and cut him up very small , and burnt him , and cast his ashes into the water , and out of the water came the prince , beautiful as the day , and as glad to look upon as the sun himself ."
2412,"“Damn her, maybe she's got company there's lights, late as it is.”"
3962,"The accidental discovery, just made, that the proprietor of the Temperance Tavern kept liquor on his premises, scarcely fluttered the public pulse, tremendous as the fact was."
1789,"` Do you , rich as you are , need help ?"
1974,"And she spake to her and said : ` Do you , rich as you are , need help ? '"
2083,"And the Wind looked on her and knew her again , for he had seen her in the cottage and in the palace , and he spake to her and said : ` Do you , rich as you are , want help ? '"
1304,"Within the book's dichotomy between civilization and barbarism, Sarmiento's character represents civilization, steeped as he is in European and North American ideas; he stands for education and development, as opposed to Rosas and Facundo, who symbolize barbarism."
1670,"She talked and asked questions, and laughed until Becky's fears actually began to calm themselves, and she once or twice gathered boldness enough to ask a question or so herself, daring as she felt it to be."
3060,"He lay down on the bench , and , tired as he was , he soon fell asleep ."
3280,"This used to interest and amuse her more than anything else; and queer and fanciful as it was, she found comfort in it and it was a good thing for her."
780,"Glad as she was for Sara's sake, she went up the last flight of stairs with a lump in her throat and tears blurring her sight."
1185,"Down they went, feeling a trifle timid, for they seldom went to parties, and informal as this little gathering was, it was an event to them."
3457,"would accompany us indefinitely, heavily laden as they were."
3822,"One discovered that money couldn't keep shame and sorrow out of rich people's houses, another that, though she was poor, she was a great deal happier, with her youth, health, and good spirits, than a certain fretful, feeble old lady who couldn't enjoy her comforts, a third that, disagreeable as it was to help get dinner, it was harder still to go begging for it and the fourth, that even carnelian rings were not so valuable as good behavior."
3557,"It had evidently been newly tuned and put in apple-pie order, but, perfect as it was, I think the real charm lay in the happiest of all happy faces which leaned over it, as Beth lovingly touched the beautiful black and white keys and pressed the bright pedals."
135,"That hiss, faint as it was, irritated the irascible gentleman, and sealed the culprit's fate."
2920,"""Mrs. M.  has made her plans, I dare say, and will play her cards well, early as it is."
2967,"For, innocent and unsuspicious as she was, she could not help understanding the gossip of her friends."
2301,bare as it had received them from the winds of March.
2695,"Blind and crippled though ye be , Mount your steeds or come by sea . '"
451,"When the Princess grew sleepy , twenty-four charming maidens put her to bed in the prettiest room she had ever seen , and then sang to her so sweetly that Graciosa 's dreams were all of mermaids , and cool sea waves , and caverns , in which she wandered with Percinet ; but when she woke up again her first thought was that , delightful as this fairy palace seemed to her , yet she could not stay in it , but must go back to her father ."
820,"Meanwhile the Queen had sent for an old Fairy , as malicious as herself , and said to her : ` You must find me some task for this fine Princess which she can not possibly do , for I mean to punish her , and if she does not do what I order , she will not be able to say that I am unjust . '"
2360,"For a moment Jo looked as if she would agree, for wild as the plan was, it just suited her."
2808,"DRAKESTAIL DRAKESTAIL was very little , that is why he was called Drakestail ; but tiny as he was he had brains , and he knew what he was about , for having begun with nothing he ended by amassing a hundred crowns ."
3535,"Ugly and old as the cabinet was outside , nothing could have been more rich and beautiful than what met the Prince 's astonished eyes ."
330,"Terrified as the Princess was , she did not hesitate to obey , and hastened to put back all the other precious things precisely as she had found them ."
1077,"Strange as it may seem, it mighta cleared the water."
1205,"stranded as she was, and him keeping himself near her and sober for a"
1462,"As many as we think is, is adequate."
3966,"But young as she was, Jo had learned that hearts, like flowers, cannot be rudely handled, but must open naturally, so though she believed she knew the cause of Beth's new pain, she only said, in her tenderest tone, ""Does anything trouble you, deary?"""
2223,comfortable as might be.
2299,"Poor as he is, he didn't forget a servant or a child in the house, and not a soul here, from the French laundrywoman to Miss Norton forgot him."
2698,"Mr. Dashwoods's editorial gravity relaxed into a smile, for Jo had forgotten her 'friend', and spoken as only an author could."
2962,"She was living in bad society, and imaginary though it was, its influence affected her, for she was feeding heart and fancy on dangerous and unsubstantial food, and was fast brushing the innocent bloom from her nature by a premature acquaintance with the darker side of life, which comes soon enough to all of us."
3127,"So he wandered about for some years , as wretched and unhappy as he could well be , and at last he came to the desert place where Rapunzel was living ."
3760,"Early as it was, he was at the station next morning to see Jo off, and thanks to him, she began her solitary journey with the pleasant memory of a familiar face smiling its farewell, a bunch of violets to keep her company, and best of all, the happy thought, ""Well, the winter's gone, and I've written no books, earned no fortune, but I've made a friend worth having and I'll try to keep him all my life."""
2796,"Blurred and blotted, faulty and feeble as the lines were, they brought a look of inexpressible comfort to Beth's face, for her one regret had been that she had done so little, and this seemed to assure her that her life had not been useless, that her death would not bring the despair she feared."
3773,"But when they arrived at the palace , and the King beheld the ugly bride with a nose that was four ells long , a jaw that was three ells , and a forehead that had a bush in the middle of it , he was quite terrified ; but the wedding feast was all prepared , as regarded brewing and baking , and all the wedding guests were sitting waiting , so , ugly as she was , the King was forced to take her ."
110,"""Disgusted, I dare say, and gone home as suddenly as he came."
2705,"Poor Laurie didn't know where to look, for, man though he was, something of the old bashfulness came over him as this burst of praise made all faces turn approvingly upon him."
2160,"And in fact, that's kind of what I plan to do is instrument the test case itself to generate a series of silly, stupid linear statements and generate a new test case out of that and then throw away the original because as clever and as easy to modify as it is, it's not actually helpful when you're trying to track down a particular bug."
2236,Stiff and sore though Wargrave was after
3457,"fellows as they were, none shared any of her tastes except her love of"
477,"Not a sound was heard through the whole forest for some hours , but at midnight there suddenly arose such a clamour that the young man , tired as he was , started broad awake in an instant ."
1346,"Now, however preposterous it may at first seem to talk of any creature’s skin as being of that sort of consistence and thickness, yet in point of fact these are no arguments against such a presumption; because you cannot raise any other dense enveloping layer from the whale’s body but that same blubber; and the outermost enveloping layer of any animal, if reasonably dense, what can that be but the skin?"
1638,"Desecrated as the body is, a vengeful ghost survives and hovers over it to scare."
760,"However curious it may seem for an oil-ship to be borrowing oil on the whale-ground, and however much it may invertedly contradict the old proverb about carrying coals to Newcastle, yet sometimes such a thing really happens; and in the present case Captain Derick De Deer did indubitably conduct a lamp-feeder as Flask did declare."
2154,"Anomalous as it may seem, this is precisely the case with the whale, who systematically lives, by intervals, his full hour and more (when at the bottom) without drawing a single breath, or so much as in any way inhaling a particle of air; for, remember, he has no gills."
3002,"This was still more strangely evinced by those of their number, who, completely paralysed as it were, helplessly floated like water-logged dismantled ships on the sea."
3465,"Riotous and disordered as the universal commotion now was, it soon resolved itself into what seemed a systematic movement; for having clumped together at last in one dense body, they then renewed their onward flight with augmented fleetness."
1682,prudish Anglo-Saxon races seem to agree to regard her as of a more
2262,"Pythagoras, that in bright Greece, two thousand years ago, did die, so good, so wise, so mild; I sailed with thee along the Peruvian coast last voyage—and, foolish as I am, taught thee, a green simple boy, how to splice a rope!"
3761,"Now, whether these gin and beer harpooneers, so fuddled as one might fancy them to have been, were the right sort of men to stand up in a boat’s head, and take good aim at flying whales; this would seem somewhat improbable."
3857,wondering as he went what could be the reason of the sudden summons.
877,"But most humble though he was, and far from furnishing an example of the high, humane abstraction; the Pequod’s carpenter was no duplicate; hence, he now comes in person on this stage."
632,"Light though thou be, thou leapest out of darkness; but I am darkness leaping out of light, leaping out of thee!"
3413,"And indeed bad as his clothes were and coarsely as he spoke, he had none of the appearance of a man who sailed before the mast, but seemed like a mate or skipper accustomed to be obeyed or to strike."
288,"But , horrible though he was , he had met his match ."
480,"His words, spirited as they were in meaning, contrasted sadly with the weakness of the voice in which they were uttered."
578,"On the night before the funeral he was as drunk as ever; and it was shocking, in that house of mourning, to hear him singing away at his ugly old sea-song; but weak as he was, we were all in the fear of death for him, and the doctor was suddenly taken up with a case many miles away and was never near the house after my father's death."
872,"this beautiful spot, remote from the world though it was."
906,"Bare-headed as we were, we ran out at once in the gathering evening and the frosty fog."
1321,"But my mother, frightened as she was, would not consent to take a fraction more than was due to her and was obstinately unwilling to be content with less."
1566,"Petru made no reply , only wondered how , exhausted as he was , he should ever be able to carry on the fight ."
2516,"That was all; but brief as it was, and to me incomprehensible, it filled the squire and Dr. Livesey with delight."
1880,"Terrified as I was, I could not help thinking to myself that this must have been how Mr. Arrow got the strong waters that destroyed him."
2167,"Captain Smollett, the squire, and Dr. Livesey were talking together on the quarter-deck, and anxious as I was to tell them my story, I durst not interrupt them openly."
1904,"They exchanged guns, and Trelawney, silent and cool as he had been since the beginning of the bustle, hung a moment on his heel to see that all was fit for service."
196,Courageous as she usually was the
2020,"I have said this was the worst thing possible for me, for helpless as she looked in this situation, with the canvas cracking like cannon and the blocks trundling and banging on the deck, she still continued to run away from me, not only with the speed of the current, but by the whole amount of her leeway, which was naturally great."
3182,deeply hurt as he was by the bitter words he forgave her; for he felt
3335,"Wounded as he was, it was wonderful how fast he could move, his grizzled hair tumbling over his face, and his face itself as red as a red ensign with his haste and fury."
3594,"For nothing in the world would I have again ventured, shaken as I was, upon the overhanging port shrouds from which Israel had so lately fallen."
1090,"In any other circumstances it would have been comical to see his slow advance, hesitating as he set down each foot, but holding his closed right hand in front of him."
1643,"He himself slept peacefully and snored aloud, yet my heart was sore for him, wicked as he was, to think on the dark perils that environed and the shameful gibbet that awaited him."
2089,"The movement , gentle though it was , woke the turtle ."
2468,"But wretched though he was , he had to appear before the queen 's advisers and tell them all that had befallen him , and how he had suffered the monkey to escape ."
3613,"Shaken as I was with these alarms, it was hard for me to keep up with the rapid pace of the treasure-hunters."
1577,"“They will think that I’m still ill,” continued Rogojin to the prince, “but I sloped off quietly, seedy as I was, took the train and came away."
2687,"interesting to him, dangerous though it was to his peace of mind."
4057,Bad as that .
2367,"So grieved though I am to say farewell , I will obey you yet once more , and will listen to your brother as I would to yourself ."
542,"He stopped at the outer door to bestow the greetings of the season on the clerk , who , cold as he was , was warmer than Scrooge ; for he returned them cordially ."
546,"Hippolyte, hardened as he is, feels it."
2310,"Strange as it may appear, he had expected much better success for his story."
3654,"that now hangs over two kings, potent as are your Majesty and my master,"
241,"And what does it matter to you, little worm, if I implored the Divine mercy for her, great sinner as she was, as I said my evening prayer?"
880,"But in interpreting revelation I am the equal of anyone, great as he may be!"
1148,"There might have been twenty people there , young and old , but they all played , and so did Scrooge ; for , wholly forgetting , in the interest he had in what was going on , that his voice made no sound in their ears , he sometimes came out with his guess quite loud , and very often guessed right , too , for the sharpest needle , best Whitechapel , warranted not to cut in the eye , was not sharper than Scrooge ; blunt as he took it in his head to be ."
409,"When his attack was over, and the prince reflected on his symptoms, he used to say to himself: “These moments, short as they are, when I feel such extreme consciousness of myself, and consequently more of life than at other times, are due only to the disease to the sudden rupture of normal conditions."
434,"Vague though this sounds, it was perfectly comprehensible to Muishkin, though he knew that it was but a feeble expression of his sensations."
1118,"Idiot though he was, the noble scion tried to cheat his professor, and they say he succeeded in getting him to continue the treatment gratis for two years, by concealing the death of his benefactor."
1110,"country, dear though it be, and in Cornwall I will serve King Mark as"
2346,"As happy as you would make the whole world , if you could ! ''"
607,"Queen though I am, I know you won me that title—and I have come."
2257,"Confused as his thoughts were, he was, nevertheless, capable of realizing the fact that if he did not go with her, she would go alone, and so he must go with her at all hazards."
612,"But he could not bear to see her crouching down upon the little seat where he had often looked on her , with love and pride , so innocent and gay ; and , when she rose and left him , sobbing as she went , he felt it a relief to have the vacant place beside him rather than her so long-cherished presence ."
1377,"Unsuspicious and unobservant as he was, he had feared at that time that Nastasia might have some scheme in her mind for a scene or scandal which would drive Aglaya out of Pavlofsk."
