sentence_idx,sentence
228134,the newly eligible 1947 retirees
228153,the top 22 candidates
228222,The top 20 candidates
228292,the top 6 candidates
229447,a full 15 games
229449,the next three seasons
229458,the next two seasons
229503,a distant 30 games
229749,the past few days
230260,the following 10 parishes
230387,the next 15 years
230517,the first two episodes
232264,"an estimated 600,000 daily passengers"
232367,"an estimated 500,000 riders"
233105,The first two volumes
233354,a great many windings
234129,a great many hits
234371,the last 17 years
235273,The next day three heifers
235373,the annual Seven Bridges
236355,those first few months
237012,the first three months
238603,the primary three languages
240250,the last 40 years
240535,"the last 100,000 years"
240580,the third prize two week 's
240756,The first four concertos
241871,the past 20 years
243762,the first four years
243976,the next few weeks
243997,the Past 15 Years
244306,the last six months
244441,the first four races
246414,the past eight years
247400,the next six seasons
247797,the Last and Three Weeks
247851,the next three weeks
248343,the next 20 years
248626,the last four days
249111,the next ten years
249224,the first six subtests
251720,the past 7 years
254127,the other five beasts
255135,the first few whirls
257487,the first two episodes
257879,the latter three bases
258053,The next three weeks
258222,the next four months
259194,a young soldier and two women
259636,the first two games
259791,the last five years
260048,the other two sides
260200,The next three bishops
261160,the last 5 years
261182,the next ten years
261780,a great many brains
262558,"that cheap , white tract home three houses"
262824,"that cheap , white tract home three houses"
263821,the next two seasons
265006,a great many years
265405,a great many pins
265511,a huge surf eighty miles
265579,the top twenty placed cars
266260,the last few decades
266467,"the past 20 , 30 years"
268802,the next four years
269338,"an estimated 110,000 tons"
269339,"an estimated 8,300 premature deaths"
269340,"an estimated 360,000 asthma attacks"
269489,an annualized 15 billion gallons
269828,the first 8 hours
271759,"an estimated 250,000 shearwater burrows"
272286,a great pillar four days
272581,the artificial strong two clubs
273254,the next few minutes
274560,The last few days
274946,the last few weeks
275060,a constant sometimes eight colors
276091,the same two great jars
276710,a great many things
277029,this particular figure and many representations
277931,the high jump and 80 metres
278022,a swift 12 feet
279172,the last few months
279427,"a sudden , three themes"
279672,the next two years
279843,the past two decades
280233,the top 16 semifinalists
282885,the only two candidates
283263,the next few weeks
283322,a good many things
284464,the first few decades
284472,the last two elections
284603,the final 2 years
284711,the final two elections
285842,the first 11 years
286540,a great many people
286591,a great many people
287862,the top 20 law firms
288176,an orange dwarf star 37 light years
288913,the first two chapters
288933,the next few years
288957,the last few weeks
289210,the next twenty years
289262,A wizened little man and two ladies
289334,a great many wolves
291941,the last eighteen months
293656,the next eight years
294089,the next two seasons
294877,the first couple hundred paintings
295060,the top two songs
295063,the top four songs
295183,the top two songs
295332,the top two songs
295384,the top 4 songs
296380,a good eight minutes
299613,these last few weeks
300291,the last two nights
300347,the first few days
301368,the same few people
301798,the necessary ten seconds
302744,the last few nights
303649,the last few hundred years
303658,a heavy man and two big rocks
304850,the other three mainlines
304962,the subsequent two months
305128,the first six rounds
305130,the opening 11 rounds
306908,the following 14 districts
307049,the previous two years
307171,the first five years
308377,the first two marriages
308631,a further nine years
308642,the next seven years
308664,the next twenty years
311701,the past 35 years
312575,a good wow f forty five minutes
313443,a little rowan tree and four alder bushes
313563,the larger 130 to 135 passengers
313689,the next 20 years
313843,the standard 160- to 180 - seat versions
313873,the last three years
313919,the last three years
314357,the first 10.5 years
315361,the top 10 Polish television personalities
317331,the final four times
318058,the next three years
318938,a great many kangaroos
320015,The first two servants
321377,the next ten years
321455,the last two years
321632,the next two or three days
321643,the last five years
322681,the necessary three - quarters
323032,the last four years
323410,a rich cultural heritage and many locations
323527,The last two types
323835,the next day three other servants
324283,a twinkling twenty miles
324929,the last few weeks
325271,the next three or four days
326636,"an estimated 90,000 African slaves"
327309,the other three candidates
327652,a full ten inches
327898,The massive 11 - inch howitzers
327972,an additional 124 officers
328094,a further 124 officers
328216,The other six ships
328308,a further 878 army officers
328737,the next few minutes
329442,a great many other people
330179,the last few months
330751,a good many people
331869,a great many roses
332341,an estimated 523 Japanese soldiers
333885,The other 11 porters
334416,the last two days
334740,a cumulated 300 ECTS credits
335274,an estimated 100–240 black people
336606,the top 150 schools
336775,the past few years
340409,"the next century and more , industrial production lines"
342345,the top 100 universities
342719,the top 15 medical institutions
342912,the first several years
343709,the expected 115 years
343727,the first two weeks
343793,each worth ten points
343998,a good many things
344292,all subsequent 900 Turbos
344540,each worth 30 points
344847,the last 18 months
345060,a great many things
345233,the transatlantic three - cities
345394,the next two games
345460,The first four years
346016,The same two riders
346767,"the early 1880s , selectors"
347005,the next fifty years
347369,A further 15000 ha
347616,a great many things
347838,the top ten DJs
348690,the little river three metres
349194,a full ten years
351781,A good thirty yards
352067,the next few seasons
352069,the bottom two spots
352538,an additional 16 months
353288,a great many singular things
353822,the past four decades
353833,a great many times
354082,The following 17 films
354102,The following four films
354302,the final 15 minutes
354309,An estimated 81 million total viewers
354384,a great many questions
354983,the next several months
354995,an elongated oval form 12.5 km
355347,the next six hours
355348,the last two Tests
355414,the next fifteen minutes
355486,the first two Tests
355515,the next few months
355778,the first three Tests
355783,the next two Tests
355968,the last four matches
356016,the next four innings
356030,The first two bubbles
356127,the last two hours
356128,the first four days
356220,The next two bubbles
356253,the final three Tests
356254,the next two Tests
356314,the last two bubbles
356316,the top 100 finalists
356350,the first three weeks
356355,The next six small bubbles
356380,the next three weeks
356447,the first five minutes
356455,the last six bubbles
356577,The next two bubbles
356622,the latter two months
356657,the last two bubbles
356741,the last two bubbles
356809,the next three weeks
356887,the last two Tests
357107,the whole five eggs
357162,the inaugural ten members
357641,the last few decades
358101,the last century more amazing things
358942,the next three years
360174,the next two years
360393,a chilly 248 degrees
360764,a colossal 5 stories
360882,a record seven times
360886,a record 7 hours
362128,the first two games
362374,an additional three years
362443,"that heavy bombardment period 3.8 , 3.9 billion years"
363222,"an estimated 4,694 times"
363465,the last ten days
363975,the other 20 % of cases
364347,a good fifteen feet
365566,a great many weavers
365806,the big five teams
366246,The first two periods
366993,a scant three yards
367316,the past 10 years
367386,the mere three points
367405,"the early 1990s , many senior staffers"
367449,a full six yards
367464,the next three days
368422,an estimated 1600 students
368554,an iron - bound club three or four feet
368620,the top five firms
368634,the top five firms
369201,the next three weeks
370007,the main eight candles
371985,the whole thing-- times 9.8 times
372327,The next few days
372447,the entire 500 meters
372455,the next ten minutes
372935,the top four recorded names
373989,the last twenty years
374005,the next few years
374058,the last five years
374935,the next seven weeks
374969,a great many clouds
375078,the next seven weeks
375150,a great many things
377012,the next 20 years
377461,the last few months
378346,"the early 1860s , population pressures"
378818,the Swedish top division three times
379054,the first two years
379184,the first 16 positive integers
379343,the typical 12¢ comics
379409,an initial 13 issues
379511,an additional 22 issues
379877,the next ten years
379932,the first few years
380073,the last three days
380090,the first two years
380133,the first two disciples
380199,a great many years
380456,The top five models
381428,a very young 20 years
381787,the first two steps
382569,the first two seasons
383683,the top 200 high schools
385252,the past twenty years
385310,the required 100 units
385361,the past 10 years
385644,the full 24 hours
386319,the next three years
386324,the next thirty years
387441,the early eighteen hundreds
387630,a real estate developer and several others
387686,the past 13 years
388041,the next three - quarters
388051,a great log twenty or thirty steps
388434,a dead spider five times
388607,the next few years
388668,a great many skiffs
388982,a long twelve or fifteen minutes
390650,a career - high 20 starts
391297,the past six years
391340,the top seven engineering programs
392347,the first four months
392879,the next two seasons
392994,the next two months
394798,a married man 40 years
395778,the first 12 batters
395971,the Swedish 50 kilometers
397616,the last 40 years
397677,the last 40 years--
397891,that rich treasure and four times
398327,the next eight seasons
398344,the last 40 years
398366,the next four years
398467,the first seven seasons
399287,The next moment two men
399388,the following thirteen byte values
399579,the last few months
399773,the first four hours
400050,the early 1990 's
400621,the original 26 episodes
401200,a whole candle and three or four pieces
401811,the past few years
402649,"a little , three or four days"
402661,the top 24 rows
402955,a steep clay hill twenty or thirty feet
403323,THE FIRST 3 RULES
403992,the last two weeks
404312,"the late 1980s , hard drives"
404463,the last few days
404516,the last few weeks
404724,an optional 48 bits
405109,a great many desirable things
405355,a great many things
405357,a great many more things
405939,the 20th century many dams
406078,the previous two seasons
406685,a public service 2 nights
407712,the next few years
408148,the past three decades
409394,the top three producers
409442,the top three producers
409692,The next ten minutes
409716,the past sixty years
409727,the next 24 hours
410635,the Canadian canoeing 500 m events
412230,the first few days
412649,the next few days
412972,a half dozen buildings
412991,the prior four years
413441,a great many disagreeable things
413920,the last three years
414187,THE FIRST SIX MONTHS
414367,"an estimated 50,000 spectators"
414548,the same only two little girls
414709,a record five times
414740,the top 25 roughriders
415235,an atomic bomb test 10 years
415491,the first two games
416838,the first two weeks
416885,the first three seconds
416887,The first two seconds
416940,the next two days
418687,the past 20 years
422094,an unheard - of 39 times
423676,the first eight bars
424372,an even 300 wins
424691,the last two years
424843,a record 11 straight postseason wins
424861,a low APR score several seasons
425642,"an estimated 4,000 people"
427736,the first six modules
428129,The next afternoon three members
428663,the next two decades
429589,the other three tennis players
429766,the other three tennis players
429935,the top 40 television markets
430196,the first few years
430484,a good many tears
431147,a great many hungry days
432110,The first six tribes
433774,the first three miles
433980,an annual world convention and four symposia
434159,a full - time official eleven years
434502,the final two Tests
434527,a weekly basis two years
434691,the last two players
434695,the first three Tests
434755,a further three fifties
434859,the first six innings
434883,the only three wickets
434949,the last three Tests
434954,a good many years
434982,the first two Tests
435035,the first four innings
435586,a great many shapes
436941,a record eight Players
436950,a good many comforts
437129,the first five stations
437153,the next few years
437232,an unprecedented five consecutive Grand
438036,the first six seasons
438094,The first two years
438095,the next two years
439152,the long jump and 4x 100 metres
439827,these first few impressions
440149,the next few minutes
440735,a good many little gifts
441010,the other twelve men
441036,the other six floors
441624,the next few minutes
441862,a good many bitter tears
443675,the third hundred dollars
444072,"a great many , all mothers"
444509,a great kingdom and three sons
445951,a little body and two little hands
446302,the past 12 years
448217,the last four years
449717,the first ten years
450051,all alive ten years
450134,the next two years
450537,the other ninety years
452023,"an additional 100,000 men"
452519,the first two pages
452564,the extant two movements
452692,The first 30 measures
452806,the first two movements
452817,"the early 2008 , ) both performances"
453595,the normal six layers
454714,the past 25 years
455240,the previous six months
455283,the next eight months
455998,the only two people
456286,the top 100 innovators
456730,THE LAST 24 HOURS
456837,the first two years
457058,a good many hard times
457169,a great many friends
457254,a total 21 films
457582,the first 7 days
457595,the latter two actors
458582,the original Five Nations
459400,the first four months
459728,the old 1987 series turtles
462122,"a fine picture or two , a stand of flowers"
462737,the first three seasons
463431,the next fifteen minutes
464327,the next two elections
464499,"the first four , five years"
464573,the first four or five years
464743,a giant triangle and three squares
465988,that awful fifty dollars
466184,the other six inches
466229,the next 1–2 hours
466369,the first 2 or 3 hours
467322,a record 264 grade games
467616,the white fifty years
467939,a good many hard knocks
467957,the first few seasons
469610,The latter two factors
469704,the imperial family several times
469840,the chromatic circle one or more times
470159,the past hundred years
471011,the adjacent two buildings
471294,The last 12 issues
471595,The top two placed teams
471798,the next eight championships
471818,the next twelve championships
471819,a record 58 goals
471854,the first 100 years
472371,the first few months
472806,the next 6 to 12 months
473789,the following three seasons
473829,the following two seasons
473831,the following two seasons
474035,The next three seasons
474160,the full 90 minutes
474234,the first eight qualifiers
474818,the last three or four years
475731,the last two people
476521,a grim papa and three grimmer maiden aunts
477207,the above two reasons
477993,the first two weeks
478323,the last three weeks
478609,the past several decades
478688,the past several decades
479157,the early 1990 's
479759,The first few months
480233,a good many miracles
481055,a mere 2 days
484535,the other two ladies
484633,the first six hundred miles
484890,The other two brothers
486106,The first 10 amendments
486113,these first 10 amendments
486266,a great many holidays
486595,these past 200 and some years
487022,the past three years
488864,the other ten sisters
490481,the last few years
490540,the last few years
491709,the whole mass thirty or forty yards
493036,the last 15 years
494295,the other three German boats
494689,the last two years
495188,a further 700 years
496881,the last two years
498177,the next 150 years
499626,the last ten years
500055,The last ten miles
501506,that first two hundred pages
505755,the Past 15 Years
506053,a protracted three or four years
506329,"the livelong , arctic , six months"
506484,the nearest thirty miles
506832,The last three provinces
511111,a fine beast fourteen hands
511331,a record 14 years
512409,The next ten or twelve pages
517682,a fair and beloved wife and several lovely children
518355,a paling six feet
518768,the next six seasons
518888,the Croatian under-19 and under-21 national teams
518889,the final 20 minutes
518955,the first two games
518956,the first two games
519384,the next five seasons
519587,a great many various stores
519711,a record twelve national titles
519943,the next five years
521242,the past 200 years
521688,the other three sides
522207,the following five years
522496,some softer and more contemporary melodies
522625,The next two tracks
522754,the other ten shows
524206,a good many trials
524419,the same file and two different bits
524450,an additional two years
527063,the last 50–75 years
528087,"The other 33,000 commuters"
529207,the next five films
529266,the next five years
529871,the last hundred years
530152,the past fifteen years
530794,the last few years
531719,this large residence five - sixths
531769,these last few years
531836,the first 25 seasons
531879,the original six stations
532208,the next two hours
532410,the next 20 years
533171,the early nineteen - seventies
533768,the last four years
534378,the other two opposition parties
535295,the first two Sangams
535316,the following seven categories
535466,the first two years
535473,the next few decades
535564,the above seventy - five thousand roubles
535642,the last five years
535880,the first two Tamil sangams
536973,The first three criminals
537025,these last three minutes
537550,the other two semesters
538296,the last nine years
538410,the next three days
538483,The last two digits
539004,the next five years
539913,the next two years
541074,a great many things
541124,the whole three years
541173,the mid - late 1990 's
541333,the next few hours
541460,the long table twelve mice
542460,the top 25 national rankings
543203,the final five months
543788,the top 100 British films
544180,the national academy and many schools
544315,the last ten years
544319,the last two months
544346,the top 100 films
544689,the first few ranks
544726,the last several yards
544742,the first two ranks
544960,the first three to five ranks
545161,an unheard - of 50 men
546179,the last two weeks
546490,the final round 38 seconds
546589,the first seven rounds
546766,the first 15 - floors
546883,the next three decades
547114,"the last 1,000 years"
547160,the next several years
548199,the first 25 seconds
549086,the past ten years
549224,a record seven times
549992,the past four seasons
551060,the next four seasons
551416,a little town fifteen miles
551918,the past 10 days
552444,the last five years
553260,the next few months
553388,the next few weeks
554118,the last three months
554282,a new control system and more levels
554300,a poor lame wife and thirteen children
554441,the first few moments
554487,the next four months
554686,the previous two seasons
555150,a great many petroglyphs
555350,the first ten years
555805,a great many masters
556885,a great many dead bodies
557372,the western two - thirds
558170,the past ten years
558182,the last three minutes
558281,a half dozen men
558949,the first three months
559241,the first two seasons
559687,the first 48 hours
560302,the top 6 teams
560327,the bottom 4 teams
561570,the last few hours
561683,the top five brands
561719,"the past 6,500 years"
561885,the last six months
562398,the same two eyes
562751,the final few minutes
562831,the last three days
562853,the last six races
563211,"the next slowest , often several seconds"
563382,"the first 13,952 bytes"
563535,a little provincial town three months
563861,the last fifteen years
565342,the next four years
565348,the first four rounds
565349,the last five rounds
565820,the next three years
566017,the other two channels
566815,the first two seasons
566871,the first two series
567936,"the other , two peasants"
567950,the last few months
568092,the first three years
568221,these first few years
568226,the last ten or twenty minutes
569139,this last six months
569678,an additional 2 miles
569959,the last three days
570191,the past four years
571114,the other four dogs
571603,a measly thousand pounds
573417,the past 30 years
573508,the last 20 years
573585,"a reported 6,000 apartments"
573637,the last two years
574466,the next few stages
574709,the next few days
575112,An estimated 15 % of citizens
575280,"the late 1980s , the Saudis"
575952,the first two volumes
576024,the first two volumes
576813,the next two years
577024,a record four times
577166,the elevated and more solid individuals
577596,these last six months
578438,the other three members
579655,a great many people
579824,the next eight years
579861,a career - high 8.7 points
579939,"the final assault and 200,481 casualties"
