idx,prefixes,aann,default_ann
210,Inside the Penipode it was,a good 1200 feet,1200 good feet
211,And,a good 50 bridges,50 good bridges
212,"It was similar to Dr. Pepper , but had",an additional 30 flavors,30 additional flavors
214,The pair was,a mere three meters,three mere meters
215,It featured,a modest three tables,three modest tables
217,"With only two items , the bot could complete the job in",a mere three moves,three mere moves
218,"That said , the first of these stories came",a good 35 years,35 good years
221,""" We 're",a good twenty miles,twenty good miles
223,You could dive under the water and go,a good ten feet,ten good feet
224,"They were n't as tall as me , but they were a good deal huskier , outweighing me by",a good fifty pounds,fifty good pounds
226,And then it took,a further five months,five further months
227,She spent,a good twenty minutes,twenty good minutes
229,The delivery took,an astonishing twelve hours,twelve astonishing hours
230,It was,a tense twenty minutes,twenty tense minutes
231,"They brought in Mrs Flesther , who always wore something feathery , and she confirmed",a good three quarters,three good quarters
232,In,a further five hours,five further hours
235,It is also suspected that he is directly linked to the armed gunmen that were responsible for,a further eight deaths,eight further deaths
236,It was,a good twenty feet,twenty good feet
237,"By avoiding the collision , I had saved myself",a good 30 minutes,30 good minutes
238,"With this new update , the now renamed _ Soldiers of Avarice _ has come down to","a concise 116,000 words","116,000 concise words"
239,They towered over Aiden and the others by,a full three feet,three full feet
240,"We got to that tunnel up above , that me and you lot were going to break through , but ya could walk",a good fifty paces,fifty good paces
241,The stone floor they stood upon was,a good two feet,two good feet
242,I was minding my own business when all of,a sudden two guys,two sudden guys
243,It was n't until he was gone for,a good five minutes,five good minutes
245,So over the space of,a good 200 years,200 good years
248,San Antonio 's temperature stabilized at,a steady 70 degrees,70 steady degrees
250,After,a steady four hours,four steady hours
251,"I had been tucked into Gugu 's office listening to her whine about her lack of sex life to her newfound friend and one of my worst enemies , Celeste Dubois for",a good ten minutes,ten good minutes
252,We see they 're,a good twenty feet,twenty good feet
253,The two of us move to the edge of the opening and look down into an alley which is,a mere twelve stories,twelve mere stories
254,In,an additional six years,six additional years
255,He was there for,a good ten minutes,ten good minutes
259,It 's been,a hard two years,two hard years
260,The play put on by Phinn 's acting troupe in Helsop had been such a success that Dagon was forced to part with a few gold coins from Helsop 's treasury to entice the acting troupe to stay on,an extra two weeks,two extra weeks
261,I 'll do,a quick 6 degrees,6 quick degrees
263,I 'd lain in bed and finally given up after,a whole 15 minutes,15 whole minutes
264,"He could n't see her in town if she was stuck in traffic on the highway in Oregon ,",a good 50 miles,50 good miles
265,"Around the time Sherman was driving me to see Kitty , Jack had collapsed and taken in",a good 4 hours,4 good hours
267,"I mean , my height was",a mere five feet,five mere feet
268,It weighed,a good fifty pounds,fifty good pounds
269,"She 'd been a prisoner in Silo 1 , along with other humans who 'd broken The Laws , for",a good ten years,ten good years
270,"Like I mentioned before , I was pretty tough , but Sophia was",a good three or four inches,three or four good inches
271,8 SNPs from these loci were genotyped in,a further 493 cases,493 further cases
272,"98 % ( 61/62 ) of the mutations identified from WES of the 10 FFT samples were successfully recovered using the custom panel , with the identification of",an additional 6 and 32 mutations,6 and 32 additional mutations
273,"Of 10 NSCLC tumors tested , 4 showed a robust increase in IFNg production ( > 2 - fold ) relative to isotype controls in both D and D + T treated conditions , with",an additional 3 tumors,3 additional tumors
274,Assay plates were then incubated continuously for,an additional 7 days,7 additional days
275,"We detected one or more events consistent with a CTLP in 8,276 tumors ( 62.1 % ) for","a total 24,879 events","24,879 total events"
276,"Without breaking stride , I lift the nose and rise to",a safe fifty feet,fifty safe feet
277,"The next morning , I spend",a good fifteen minutes,fifteen good minutes
278,To rise,a measly 10 metres,10 measly metres
282,It took,a full ten minutes,ten full minutes
283,It was going to be,a _ long _ two weeks,two _ long _ weeks
284,I would make,a quick 20 to 60 bucks,20 to 60 quick bucks
285,"But now it was a deadly serious occupation at two levels , one as a lead on ground organiser of a huge event , one with",a big five plus million dollars,five plus million big dollars
288,As its front feet landed its head was,a bare two metres,two bare metres
289,"* * My visibility was poor ,",a bare fifty metres,fifty bare metres
293,""" It 's been",a hard two weeks,two hard weeks
294,"I kept to the edge of the room , nursing one glass of champagne for",a solid two hours,two solid hours
295,I had stood out in the rain for,a solid 30 seconds,30 solid seconds
296,"He does n't say anything , does n't smile , just looks at me , then stares at Patty for like",a whole ten seconds,ten whole seconds
297,\- He stares at me for,a good ten seconds,ten good seconds
299,The brand had grown on me to the point of owning,a good six pairs,six good pairs
300,"I had n't noticed how tall he was ; he was at least ' 6'2 ' ,",a whopping five or six inches,five or six whopping inches
301,I hung the phone up after,a good two hours,two good hours
302,"But he was n't finished , "" Oh , about an hour or two ago ...",a good thirty minutes,thirty good minutes
303,"He ran sluggishly ,",a solid eight seconds,eight solid seconds
307,"Without Jacques sleeping past eight , Pal would have no reason to rattle a cast iron skillet on the stove for",a good two minutes,two good minutes
308,"When the door closed behind him , Rainey leaned against the counter for",a whole five minutes,five whole minutes
309,But Kara had,a good four inches,four good inches
310,"Checking his phone , Jacques saw he still had",a good twenty minutes,twenty good minutes
311,Silence overtook the line for,a full ten seconds,ten full seconds
312,"Larry could not recall the kid 's date of birth , but he did give him the last known address , which was",a good six years,six good years
313,She did n't speak for,a full ten seconds,ten full seconds
314,It had been,a long two weeks,two long weeks
315,She stared at the screen for,a disbelieving three seconds,three disbelieving seconds
317,I spent,a good two hours,two good hours
318,The flight would be,a good fifteen hours,fifteen good hours
319,It was,a good twenty minutes,twenty good minutes
321,I made it,a good forty feet,forty good feet
323,"Not even he was absentminded enough to miss the fact that their silverware had been sitting , quite cool and harmless , for",a good fifteen minutes,fifteen good minutes
326,"She flew through the halls ,",a mere fifteen minutes,fifteen mere minutes
327,The cavernous room could fit more than,a mere six crewmen,six mere crewmen
328,He could get in,a good five kilometers,five good kilometers
330,It 's not like I 've had,a relaxing three days,three relaxing days
331,It was just,a mere two weeks,two mere weeks
336,After,a long ten minutes,ten long minutes
337,"Standing on the opposite side of the street ,",a mere fifty feet,fifty mere feet
338,"Armand 's entire body went rigid , and the chords on his neck lifted",a good three inches,three good inches
339,For me it took,a good 2 months,2 good months
340,There were,a further two floors,two further floors
341,The swordsman quickly turned about and locked eyes with two glowing red orbs that hovered,a mere ten yards,ten mere yards
345,""" Hey , you , "" the soldier mumbled ,",a mere two yards,two mere yards
346,"Lobbed by his own teeth , Boris flew , turned over in the air , and collapsed",a full ten paces,ten full paces
350,"Beth grabbed and squeezed her , holding on",a good twenty seconds,twenty good seconds
351,"Disgusted by all the dust on her clothes ( and more than a little uneasy there in the dark with but a single flashlight ) , she 'd given up the adventure after",a mere twenty minutes,twenty mere minutes
352,"When he came close to the water 's edge he sat down , real still , for",a long five minutes,five long minutes
353,It seemed to take an age until it was,a good ten metres,ten good metres
355,Now it was,a bare 20 metres,20 bare metres
356,"It passed them by ,",a bare five metres,five bare metres
357,They were ten metres back from the edge and it was,a bare 1–2 metres,1–2 bare metres
359,They 'd been standing outside her bedroom door for what was at least,a solid twenty minutes,twenty solid minutes
364,She plowed ahead at,a stately three kilometers,three stately kilometers
365,"They had just crossed over a plate boundary , cruising at",a stately two kilometers,two stately kilometers
366,We 're chewing through this rock like it was butter ...,a blistering three kilometers,three blistering kilometers
367,After,a harrowing two hours,two harrowing hours
368,It takes me,a full five seconds,five full seconds
369,Though I 've been running and dodging for,a solid 10 minutes,10 solid minutes
370,A cloud that stretches for,a good 20 meters,20 good meters
371,We practice for,a solid 45 minutes,45 solid minutes
372,So Ted bought the suit and walked down the street -- making sure to keep his left shoulder elevated by,an extra three inches,three extra inches
373,Visibility is clear and the ground temperature in Chicago is,a balmy 74 degrees,74 balmy degrees
374,"In the few seconds after we arrived at the cell and the door was pushed open , following that walk down the passage in the heart of the rock , I could see the walls were",a solid nine inches,nine solid inches
375,Everything was beginning to annoy me : the fact that there were so many of them ; that they were pink ; and that I stood there,a good thirty or forty seconds,thirty or forty good seconds
376,I cried for,a solid five minutes,five solid minutes
378,"Her fingers tapped the dashboard and she leaned into the steering wheel , resting her chin , closing her eyes ... using third - eye sight for",a nervous ten seconds,ten nervous seconds
379,Fenzeig hugged Jacob for,a long ten seconds,ten long seconds
384,Ryou Un Maru chugs towards Rubicon at,a sedate 7 knots,7 sedate knots
385,It took him,a full five seconds,five full seconds
386,He had a brand new electric start model which cost,an additional twenty dollars,twenty additional dollars
387,"Growing faster than the tall grass the ranch was famous for , Chalky had picked up almost three inches in height and",a good 35 pounds,35 good pounds
388,The kiss lasted,a full two minutes,two full minutes
389,The drive from Limerick was,a good two hours,two good hours
391,Standing at,a towering six feet,six towering feet
392,They called last call,a good twenty minutes,twenty good minutes
393,The two men waited,a tense twenty minutes,twenty tense minutes
394,"Rose was small , not a breath over five feet - but in her sneakers Brittany was",a good four inches,four good inches
395,It had been,a good six months,six good months
397,"As for king , well , I 'm praying that Grandpa Theo lasts",a good ten years,ten good years
398,My room was,a good fifteen minutes,fifteen good minutes
403,It 's been,a long two days,two long days
404,After,a good 20 minutes,20 good minutes
405,"Eventually Joe reached the door to the cargo hold , where",a good 50 men,50 good men
406,"Sir 's body bent at an unnatural angle , and he flew",a good 50 feet,50 good feet
407,"The wall was four feet thick , and",an exhilarating 95 feet,95 exhilarating feet
408,Joe waited,a good 30 seconds,30 good seconds
411,The two sat on the couch for,a good 15 minutes,15 good minutes
412,"After this , Joe fell into a dreamless sleep for",a good two hours,two good hours
413,The machine was being photographed by,a good twenty people,twenty good people
417,After,a good five minutes,five good minutes
418,There was,a good 40 men,40 good men
419,"I looked down below me and saw the twenty or so parents watching , along with",a good thirty students,thirty good students
420,The previous fight lasted,a good twenty minutes,twenty good minutes
422,They had locked eyes for,a brief five seconds,five brief seconds
423,They carried me on that stretcher for,a good 35 miles,35 good miles
425,We played catch up for,a good two hours,two good hours
426,"The first night we camped just out of Pine Creek , a distance of 175 miles and the following morning we travelled up the bitumen Stuart Highway to Darwin ,",a further 155 miles,155 further miles
430,I did and was granted,an additional 30 hours,30 additional hours
435,I landed,a good four feet,four good feet
436,I stared at the scribbled words for,a full two minutes,two full minutes
437,I had watched silently from the trees for,a full ten minutes,ten full minutes
439,"With this , Bill reached into his pack and pulled out a book that must have weighed",a good ten pounds,ten good pounds
441,"at least four dead ... "" The sound cut out again for",a solid five seconds,five solid seconds
442,I argued with him for,a good five minutes,five good minutes
443,He was sitting,a good twenty feet,twenty good feet
445,Winchester was,a good ten feet,ten good feet
446,"In the afternoon , they sat on the warm red tile roof of the house ,",a terrifying and exhilarating three stories,three terrifying and exhilarating stories
447,After they had traversed,a mere three miles,three mere miles
449,"Questions and more questions by each man – followed by in - depth answers , then agreed upon documentation which took",an entire two weeks,two entire weeks
450,Doctor Jean - Luc DeBois had improved his camouflage potion to be effective for,a full ten minutes,ten full minutes
451,He trotted quietly in their direction and could see them quite well at,a mere forty yards,forty mere yards
452,It appears that in,a short three months,three short months
453,It took,a mere twenty minutes,twenty mere minutes
456,That will add,an additional five hours,five additional hours
457,"Now serving her first term as a state senator , Fox suspected it had been",a long four years,four long years
458,"By the time Dunkirk arrived ,",a full two hours,two full hours
459,After,a full ten days,ten full days
461,"Back home , there 's a place where I can drop off my entire duffle full of dirty drawers , and they 'll have them ready the next day for",a mere two nucros,two mere nucros
462,This is the scene,a full four hours,four full hours
466,"They were calmly standing there , looking around , like it was",a balmy 80 degrees,80 balmy degrees
468,"Both six - two , though he had",a good twenty pounds,twenty good pounds
469,What felt like a brief moment of unconsciousness turned out to be,an entire six minutes,six entire minutes
477,I need,a good four hours,four good hours
478,Five hours of sleep was was not a lot for her but it was better then,a minuscule three hours,three minuscule hours
479,Perhaps having Nathan with me stopped him from being difficult - as Nathan outweighed him by,a good forty kilos,forty good kilos
480,Momma did n't say another word until we were,a good ten minutes,ten good minutes
481,The kid has had,a rough 10 years,10 rough years
482,It was,a whole 10 months,10 whole months
484,The flight was,a long six hours,six long hours
488,"They were cruising into warmer waters now and even though it was early January , the morning temperature was",a pleasant 50 degrees,50 pleasant degrees
490,Nicole ordered for all sails to be furled in an attempt to slow the ship 's progress but before the _ Euterpe _ could coast to a stop a very loud scrape shook the ship and after,a long and painful 10 seconds,10 long and painful seconds
492,"In the hazy moonlight , Jess continued to make soundings and even though it was risky to continue through the channel in the darkness , everyone determined that the fate of being caught by Toprak was worse and they gingerly made their way toward the Atlantic , feeling their way as it were at",a slow two knots,two slow knots
493,In,a short 30 days,30 short days
494,The trip would have only taken an hour and a half by car or train but by carriage it was,a long 12 hours,12 long hours
495,"As the army approached Gillingham , only",a short 36 miles,36 short miles
497,Greg began writing _ Solar Minimum _ in February of 2013 and finished all 500 odd pages in,a short seven months,seven short months
498,"In the chat window , you type a nice compliment addressing her burning loins , which , after pressing Enter , arrives to her after",a loose seven hours,seven loose hours
502,She had strayed up into the hills after her father 's missing sheep and none had seen her for,a full three days,three full days
503,It was,a reported 98 degrees,98 reported degrees
504,The ride had given me,an extra ten minutes,ten extra minutes
509,Schmitz mentally factored in,an additional three metres,three additional metres
511,The tree line on the far side stood,a good ten yards,ten good yards
512,He had hoisted himself,a full ten feet,ten full feet
514,"Because one of the worst things was when I came home from the hospital , and for",a good two months,two good months
516,It was,a full two minutes,two full minutes
517,"It has four sets of tees and the differential between the tips and the white tees , called silver here , was","a big 1,279 yards","1,279 big yards"
518,Bob 's second shot was,a solid 200 yards,200 solid yards
519,Sometime in the last number of years,a second nine holes,nine second holes
520,P.A. had turned over his two hole queens showing all four at the same time Bob flipped his cards but it took him,a good five seconds,five good seconds
521,That left him,an easy 115 yards,115 easy yards
523,"If we manage to prove his guilt , he will go to jail for",a good five years,five good years
524,Even though it 's been,a good 15 years,15 good years
528,The show had once inspired Amber to spend,a bewildered five minutes,five bewildered minutes
529,""" You looked like you were well attended to while you had to wait",a whole ten minutes,ten whole minutes
530,"I was in a head - on collision one fine Friday night , where my girlfriend of two years had just become my fiancé , when the drunk driver operating a MAC truck hit us going",a mere seventy miles,seventy mere miles
533,' ... foxes impacted on up to 84 threatened species ... a single fox can take up to 12 lambs in one night ... shooting is about the best and most precise way we 've got to control foxes ... the two - day event netted,a staggering 701 foxes,701 staggering foxes
535,The box was,a good eighteen inches,eighteen good inches
536,I considered that option for,a solid thirty seconds,thirty solid seconds
537,After,a further seven years,seven further years
538,"Jayson grabbed the Knight 's shirt , gazed into his eyes for",a mere thirty seconds,thirty mere seconds
539,"And just to be fair , could you stay on the phone for",an extra fifteen minutes,fifteen extra minutes
540,I let my hand hang over the button for,a full ten minutes,ten full minutes
541,I got up after,a good twelve hours,twelve good hours
544,It was,a tense thirty minutes,thirty tense minutes
545,I waited,a solid ten minutes,ten solid minutes
547,The jump from,a steady eight or nine hours,eight or nine steady hours
548,The weather app on her new phone still reported,a relatively balmy 13 degrees,13 relatively balmy degrees
549,Justin waited,a respectable thirty minutes,thirty respectable minutes
550,After that the other monitor started to fuzz and according to the laptop the temperature had dropped,a further five degrees,five further degrees
551,And even more astounded that said full recovery took him,a mere ten minutes,ten mere minutes
552,"I did , his name was DeSalle , he was",a good twenty years,twenty good years
553,"He had never recorded his limits , but he knew , at least , he could go",a whole twenty minutes,twenty whole minutes
554,"Eventually , after",a full fifteen minutes,fifteen full minutes
556,"Hagan 's enormous fireball , at",a whopping nine feet,nine whopping feet
558,We continue across the path till we come to a group of about a dozen people listening to a cotton - white haired man who towers over the crowd almost,a good two feet,two good feet
559,I 'd slept,a miraculous twelve hours,twelve miraculous hours
561,Its compilation preceded the rollagon disaster by,a full 24 months,24 full months
563,"He tracked it until it disappeared off his radar , going from",a sedate thirty klicks,thirty sedate klicks
565,"At this rate , he would meet up with the construction AIs in",a mere 30.931 hours,30.931 mere hours
569,"It was hard to believe that so much had happened since he had been freed of the drugs again ,",a mere 26.3 days,26.3 mere days
570,In,a few thousand millis,thousand few millis
571,"And , in a moment that left him perplexed for days , he had discovered that the E - types , formerly squat but quite functional boxes on wheels with many arms , had been replaced by bipedal humanoid - shaped machines with top mounted smaller - than - seemingly - possible carapaces , with a mere two visual sensors ,",a mere two arms,two mere arms
572,"Sam Aiken was there in 1,090,043 results in",a full 2.3 seconds,2.3 full seconds
574,"She had no idea how far they had come , but the first few days they had walked",a good twelve hours,twelve good hours
575,He bandaged my finger and came right in to see you for,a good twenty strokes,twenty good strokes
576,"Eddie , much younger than Mrs. Hunter , was",a good twenty years,twenty good years
579,"I knew from Jack that Darius was in his early thirties , but he looked",a good ten years,ten good years
580,It was going to be,a long twelve hours,twelve long hours
581,Homeland Security had told her that it usually takes,an average two to four minutes,two to four average minutes
582,Then there was the lottery ; for,a mere ten Euros,ten mere Euros
583,Ross was to meet with one of the shows representatives,a full three days,three full days
584,"I want to go home , "" he said after",a full thirty seconds,thirty full seconds
585,Ross sat with the dead phone against his ear for,a full twenty seconds,twenty full seconds
586,Karl Hauser was only sixty two years old but to the casual observer he looked,a good fifteen years,fifteen good years
588,He stood for,a full ten seconds,ten full seconds
589,And after what seemed like,a full five minutes,five full minutes
590,""" _ Rossssssss ... "" _ The word was drawn out for",a full five seconds,five full seconds
592,Things were n't too bad for,a good six months,six good months
593,It was,a solid four years,four solid years
594,The growl came,a full thirty seconds,thirty full seconds
595,It was,a very long three days,three very long days
596,It was,a very long two weeks,two very long weeks
597,""" I expect that we will be in this system for",a full nine months,nine full months
598,"Maybe they could fabricate some paint on their way out to HD 10647 and spruce it up , or it would be",a very long three years,three very long years
600,"From there , we should be able to walk for",a good four hours,four good hours
602,After he 's makes it,a good ten feet,ten good feet
604,"Then , like an enormous engine cycling up to maximum power , the flames exploded into a ball that leapt",a full thirty feet,thirty full feet
605,"Suddenly , the main doors seemed to spring open ( even now , Duff could scarcely credit this ) , but it had been",a full fifteen seconds,fifteen full seconds
607,That macabre period echoed in her mind in distant sepia tones as though it had happened a thousand life times ago and not,a mere sixty years,sixty mere years
609,He 'd been talking for,a good five minutes,five good minutes
612,"It 's hard to climb in the dark and cold , but Tara manages to get",a good twenty feet,twenty good feet
613,Now Lionel is taller by,a full two hands,two full hands
615,"My fingers closed around the fob , and I hit the "" unlock "" button while I was still",a good twenty feet,twenty good feet
616,"The dirt track had n't improved any since the last time I 'd driven over it , and I gritted my teeth as I bounced and jounced along at",a steady twenty miles,twenty steady miles
